time,x,y,psi,u,v,omega,theta,pos_err,e_lat,v_max_path,delta_cmd,ax_cmd,vtheta_cmd,steering,throttle,braking,solve_time_ms,mpc_cost
0.0120,0.0800,0.0634,-0.0036,-0.0738,0.0237,-0.0005,0.0000,0.1021,0.0634,3.0533,0.1000,0.0254,5.0000,0.1894,0.0102,0.0000,3.181,344464.7031
0.0240,0.0418,-0.0477,0.0001,-0.1807,0.0084,-0.0003,0.0000,0.0635,-0.0477,3.0533,0.1120,0.0614,5.0000,0.2121,0.0246,0.0000,1.826,348661.4116
0.0360,0.0403,0.0317,0.0004,0.0522,-0.0639,-0.0223,0.0000,0.0513,0.0317,3.0533,0.1000,0.0974,5.0000,0.1894,0.0390,0.0000,1.459,342124.3207
0.0480,0.0271,-0.0007,-0.0022,-0.0263,0.0199,-0.0163,0.0000,0.0272,-0.0007,3.0533,0.1120,0.1334,5.0000,0.2121,0.0534,0.0000,1.364,327458.1902
0.0600,0.0611,-0.0626,-0.0044,-0.0114,-0.0111,-0.0048,0.0000,0.0875,-0.0626,3.0533,0.1000,0.1694,5.0000,0.1894,0.0678,0.0000,1.182,345524.8452
0.0720,0.0911,0.0750,0.0076,0.0091,0.0105,0.0151,0.0000,0.1180,0.0750,3.0533,0.1120,0.2054,5.0000,0.2121,0.0822,0.0000,1.257,343769.8563
0.0840,0.0510,0.0591,0.0004,-0.0831,-0.0485,-0.0119,0.0000,0.0781,0.0591,3.0533,0.1000,0.2414,5.0000,0.1894,0.0966,0.0000,1.248,352628.0018
0.0960,0.0521,-0.0488,-0.0030,-0.0551,-0.0065,-0.0135,0.0000,0.0713,-0.0488,3.0533,0.0948,0.2774,5.0000,0.1796,0.1110,0.0000,1.093,349536.2360
0.1080,-0.0147,0.0239,-0.0006,0.0148,0.0241,0.0019,0.0000,0.0280,0.0239,3.0533,0.0828,0.3134,5.0000,0.1568,0.1254,0.0000,1.094,351007.4166
0.1200,0.0889,-0.0698,-0.0009,0.0139,-0.0317,0.0198,0.0000,0.1131,-0.0698,3.0533,0.0708,0.3494,5.0000,0.1341,0.1398,0.0000,1.114,335870.6271
0.1320,0.1118,0.0803,-0.0153,0.0318,-0.0208,0.0107,0.0000,0.1376,0.0803,3.0533,0.0588,0.3854,5.0000,0.1114,0.1542,0.0000,1.057,324679.9302
0.1440,-0.0538,-0.0381,0.0033,-0.0012,-0.0669,0.0028,0.0000,0.0659,-0.0381,3.0533,0.0708,0.4214,5.0000,0.1341,0.1686,0.0000,1.129,347465.2474
0.1560,0.0449,0.0016,-0.0015,-0.0799,-0.0150,-0.0053,0.0000,0.0450,0.0016,3.0533,0.0588,0.4574,5.0000,0.1114,0.1830,0.0000,1.221,332203.6603
0.1680,0.0741,-0.0601,0.0015,-0.0284,-0.0260,-0.0062,0.0000,0.0954,-0.0601,3.0533,0.0612,0.4934,5.0000,0.1158,0.1974,0.0000,1.139,326161.6163
0.1800,0.0568,0.0097,0.0027,-0.1012,-0.0037,-0.0005,0.0000,0.0576,0.0097,3.0533,0.0492,0.5294,5.0000,0.0931,0.2118,0.0000,1.050,324673.5706
0.1920,-0.0346,-0.0678,-0.0024,-0.1000,-0.0363,0.0067,0.0000,0.0761,-0.0678,3.0533,0.0372,0.5654,5.0000,0.0704,0.2262,0.0000,1.125,332457.1833
0.2040,0.0367,-0.0015,0.0007,0.0101,-0.1136,0.0068,0.0000,0.0367,-0.0015,3.0533,0.0252,0.6014,5.0000,0.0476,0.2406,0.0000,1.057,318863.4386
0.2160,0.0714,-0.0711,0.0047,0.0112,-0.0012,0.0057,0.0000,0.1008,-0.0711,3.0533,0.0132,0.6374,5.0000,0.0249,0.2550,0.0000,1.180,311069.2415
0.2280,-0.0258,0.1141,-0.0004,0.0442,0.0531,0.0012,0.0000,0.1170,0.1141,3.0533,0.0012,0.6734,5.0000,0.0022,0.2694,0.0000,1.029,312686.6659
0.2400,0.0295,0.0389,-0.0046,0.0055,0.0827,0.0038,0.0000,0.0489,0.0389,3.0533,0.0132,0.7094,5.0000,0.0249,0.2838,0.0000,1.124,309957.8673
0.2520,0.0319,-0.0088,0.0024,0.0468,-0.0220,-0.0024,0.0000,0.0331,-0.0088,3.0533,0.0096,0.7454,5.0000,0.0183,0.2982,0.0000,1.109,297697.7482
0.2640,0.0606,0.0196,-0.0005,-0.0109,0.1135,-0.0132,0.0000,0.0637,0.0196,3.0533,-0.0024,0.7814,5.0000,-0.0045,0.3126,0.0000,1.127,301785.4872
