slip_ratio,slip_angle,velocity,vertical_load,steering_rate,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy
0.520931,-0.232647,5.437692,1981.461942,-0.262950,702438.414100,2238.199887,0.361511,9415.167438,0.330961,0.012034,0.071859,1977.288854,590.025769,172.904449
-0.219112,-0.019298,6.951933,6387.242436,0.428576,667081.435428,3192.786504,1.276005,18428.999131,0.458737,0.022052,0.080719,8688.883054,-4023.297660,2280.712315
-0.621283,0.538164,3.796002,2579.754503,0.190935,984999.825047,11121.412505,0.507466,16522.373579,0.396785,0.022322,0.064800,2287.805069,-1004.895287,-225.400795
-0.741651,-0.455278,3.915728,3098.585035,-0.499556,1318890.357397,11665.250160,0.743724,3624.498678,0.177973,0.016896,0.063237,2985.233060,-610.825069,42.997505
0.870079,0.285306,4.566108,6553.076956,0.251758,1455845.863761,18466.626570,0.310410,13713.964508,0.481698,0.020956,0.103355,7900.651479,2682.636642,-953.229145
-0.798759,0.118034,6.152833,3973.194282,-0.202307,1080018.107856,6111.603532,1.157949,14719.993774,0.431532,0.010323,0.137836,4306.717471,-3092.856490,-182.888466
-0.478204,-0.181387,3.537372,6261.297181,-0.526718,3991597.353460,7524.901425,0.814430,20135.490803,0.426265,0.018209,0.124464,8348.440372,-3734.936866,-434.062386
0.507634,-0.432924,7.300475,5867.968976,-0.156899,2671678.760539,8974.019387,0.845954,20518.080435,0.299369,0.021613,0.130609,4747.577953,879.311489,1174.211181
0.659362,0.434476,8.129616,1975.662476,0.093815,2522040.121491,19669.120129,0.616051,16834.591524,0.575528,0.022529,0.138635,3015.746174,937.117510,-1108.333910
-0.416178,-0.406160,4.304976,1555.798998,0.012007,3275749.363618,11277.777089,0.942786,18497.448333,0.401172,0.013684,0.095883,1962.026460,-1139.151198,562.341794
-0.062629,-0.454466,3.657871,2357.451088,0.457589,3291598.074667,10206.629341,1.297310,18235.318450,0.520583,0.020877,0.132550,1864.974744,-267.772254,829.730968
