time,x,y,psi,u,v,omega,theta,pos_err,e_lat,v_max_path,delta_cmd,ax_cmd,vtheta_cmd,steering,throttle,braking,solve_time_ms,mpc_cost
0.0120,0.0669,0.0278,-0.0013,0.0123,0.0941,-0.0003,0.0000,0.0725,0.0278,5.0000,-0.1000,0.3000,0.7097,-0.1894,0.1200,0.0000,1.335,260941.1401
0.0240,0.0535,0.0212,0.0040,0.0634,0.0738,0.0015,0.0000,0.0576,0.0212,5.0000,-0.0880,0.2640,5.0000,-0.1667,0.1056,0.0000,0.817,4642.4633
0.0360,0.1048,0.0268,0.0051,0.0001,-0.0662,0.0242,0.0000,0.1082,0.0268,5.0000,-0.1000,0.3000,5.0000,-0.1894,0.1200,0.0000,0.917,170892.1357
0.0480,-0.0306,0.0131,0.0081,-0.0073,0.0209,0.0157,0.0000,0.0333,0.0131,5.0000,-0.1120,0.3360,5.0000,-0.2121,0.1344,0.0000,0.827,171906.3663
0.0600,0.0284,-0.0106,-0.0056,-0.0194,0.0325,-0.0032,0.0000,0.0303,-0.0106,5.0000,-0.1240,0.3720,5.0000,-0.2348,0.1488,0.0000,0.855,169184.9305
0.0720,0.0742,0.0279,0.0028,0.0198,0.0250,-0.0098,0.0000,0.0793,0.0279,5.0000,-0.1340,0.4080,5.0000,-0.2537,0.1632,0.0000,0.982,165129.0268
0.0840,0.0628,-0.0641,0.0043,-0.0075,0.0660,-0.0089,0.0000,0.0897,-0.0641,5.0000,-0.1460,0.4440,5.0000,-0.2764,0.1776,0.0000,0.884,166672.0048
0.0960,0.1304,0.0415,-0.0074,-0.0174,0.0805,-0.0077,0.2500,0.1266,0.0415,5.0000,-0.1580,0.4800,5.0000,-0.2992,0.1920,0.0000,0.886,163189.9864
0.1080,-0.0497,-0.0604,-0.0005,0.0369,-0.0378,0.0089,0.0000,0.0782,-0.0604,5.0000,-0.1700,0.5160,5.0000,-0.3219,0.2064,0.0000,0.828,186109.4542
0.1200,0.0861,-0.0179,0.0012,0.0214,0.1052,0.0009,0.0000,0.0880,-0.0179,5.0000,-0.1820,0.5520,5.0000,-0.3446,0.2208,0.0000,0.878,163548.9710
0.1320,0.1595,0.0658,-0.0009,0.1105,0.0400,-0.0063,0.2500,0.1119,0.0658,5.0000,-0.1940,0.5880,5.0000,-0.3674,0.2352,0.0000,0.878,149938.2956
0.1440,-0.0357,-0.0586,0.0013,0.0848,0.0153,0.0047,0.0000,0.0687,-0.0586,5.0000,-0.2060,0.6240,5.0000,-0.3901,0.2496,0.0000,0.833,176238.8581
0.1560,0.0594,0.0099,0.0038,-0.0019,-0.0060,-0.0112,0.0000,0.0602,0.0099,5.0000,-0.2180,0.6600,5.0000,-0.4128,0.2640,0.0000,0.761,162399.1617
0.1680,-0.0065,0.0046,-0.0003,-0.0635,0.0031,0.0059,0.0000,0.0080,0.0046,5.0000,-0.2300,0.6960,5.0000,-0.4355,0.2784,0.0000,0.794,164620.1354
0.1800,0.0080,-0.0781,-0.0046,0.0333,0.0848,0.0004,0.0000,0.0785,-0.0781,5.0000,-0.2420,0.7320,5.0000,-0.4583,0.2928,0.0000,0.769,158924.9068
0.1920,0.0846,0.0493,-0.0062,-0.0200,0.0181,-0.0034,0.0000,0.0979,0.0493,5.0000,-0.2540,0.7680,5.0000,-0.4810,0.3072,0.0000,0.797,156535.7861
0.2040,0.0403,-0.0423,0.0076,0.0219,0.0455,-0.0015,0.0000,0.0584,-0.0423,5.0000,-0.2660,0.8040,5.0000,-0.5037,0.3216,0.0000,0.775,155650.9347
0.2160,0.0800,-0.0360,-0.0055,0.1152,0.0393,-0.0025,0.0000,0.0878,-0.0360,5.0000,-0.2780,0.8400,5.0000,-0.5264,0.3360,0.0000,0.798,143876.8869
0.2280,0.0440,-0.0508,-0.0137,-0.0504,0.0058,0.0012,0.0000,0.0672,-0.0508,5.0000,-0.2900,0.8760,5.0000,-0.5492,0.3504,0.0000,0.770,154055.9390
0.2400,0.0421,0.0131,0.0051,-0.0835,0.0312,0.0037,0.0000,0.0441,0.0131,5.0000,-0.3020,0.9120,5.0000,-0.5719,0.3648,0.0000,0.743,153145.1418
0.2520,0.1783,0.0143,0.0034,0.0775,-0.0560,0.0014,0.2500,0.0731,0.0143,5.0000,-0.3097,0.9480,5.0000,-0.5866,0.3792,0.0000,0.793,137728.8793
0.2640,0.1940,-0.0800,0.0021,0.0402,-0.1190,-0.0077,0.2500,0.0977,-0.0800,5.0000,-0.3217,0.9840,5.0000,-0.6094,0.3936,0.0000,0.766,152139.4838
0.2760,0.0283,0.1151,-0.0042,-0.0569,-0.0098,-0.0118,0.0000,0.1185,0.1151,5.0000,-0.3337,1.0200,5.0000,-0.6321,0.4080,0.0000,0.763,164095.7074
0.2880,0.0795,0.0175,0.0114,-0.0059,0.0291,0.0131,0.0000,0.0814,0.0175,5.0000,-0.3384,1.0560,5.0000,-0.6409,0.4224,0.0000,0.827,145475.7871
0.3000,0.0179,-0.0269,-0.0047,0.0901,-0.0261,-0.0122,0.0000,0.0323,-0.0269,5.0000,-0.3475,1.0920,5.0000,-0.6582,0.4368,0.0000,0.837,139685.0351
0.3120,0.0946,0.0910,-0.0021,-0.0102,-0.0173,-0.0231,0.0000,0.1312,0.0910,5.0000,-0.3527,1.1280,5.0000,-0.6679,0.4512,0.0000,0.763,142374.6295
