s,x,y,psi
0.0000,0.0000,0.0000,0.000000
0.2500,0.2500,0.0000,-0.000000
0.5000,0.5000,0.0000,0.000000
0.7500,0.7500,0.0000,-0.000000
1.0000,1.0000,0.0000,0.000000
1.2500,1.2500,0.0000,-0.000000
1.5000,1.5000,0.0000,0.000000
1.7500,1.7500,0.0000,-0.000000
2.0000,2.0000,0.0000,0.000000
2.2500,2.2500,0.0000,-0.000000
2.5000,2.5000,0.0000,0.000000
2.7500,2.7500,0.0000,-0.000000
3.0000,3.0000,0.0000,0.000000
3.2500,3.2500,0.0000,-0.000000
3.5000,3.5000,0.0000,0.000000
3.7500,3.7500,0.0000,-0.000000
4.0000,4.0000,0.0000,0.000000
4.2500,4.2500,0.0000,-0.000000
4.5000,4.5000,0.0000,0.000000
4.7500,4.7500,0.0000,-0.000000
5.0000,5.0000,0.0000,0.000000
5.2500,5.2500,0.0000,-0.000000
5.5000,5.5000,0.0000,0.000000
5.7500,5.7500,0.0000,-0.000000
6.0000,6.0000,0.0000,0.000000
6.2500,6.2500,0.0000,-0.000000
6.5000,6.5000,0.0000,0.000000
6.7500,6.7500,0.0000,-0.000000
7.0000,7.0000,0.0000,0.000000
7.2500,7.2500,0.0000,-0.000000
7.5000,7.5000,0.0000,0.000000
7.7500,7.7500,0.0000,-0.000000
8.0000,8.0000,0.0000,0.000000
8.2500,8.2500,0.0000,-0.000000
8.5000,8.5000,0.0000,0.000000
8.7500,8.7500,0.0000,-0.000000
9.0000,9.0000,0.0000,0.000000
9.2500,9.2500,0.0000,-0.000000
9.5000,9.5000,0.0000,0.000000
9.7500,9.7500,0.0000,-0.000000
10.0000,10.0000,0.0000,0.000000
10.2500,10.2500,0.0000,-0.000000
10.5000,10.5000,0.0000,0.000000
10.7500,10.7500,0.0000,-0.000000
11.0000,11.0000,0.0000,0.000000
11.2500,11.2500,0.0000,-0.000000
11.5000,11.5000,0.0000,0.000000
11.7500,11.7500,0.0000,-0.000000
12.0000,12.0000,0.0000,0.000000
12.2500,12.2500,0.0000,-0.000000
12.5000,12.5000,0.0000,0.000000
12.7500,12.7500,0.0000,-0.000000
13.0000,13.0000,0.0000,0.000000
13.2500,13.2500,0.0000,-0.000000
13.5000,13.5000,0.0000,0.000001
13.7500,13.7500,0.0000,-0.000004
14.0000,14.0000,0.0000,0.000015
14.2500,14.2500,0.0000,-0.000057
14.5000,14.5000,0.0000,0.000213
14.7500,14.7500,0.0000,-0.000796
15.0000,15.0000,0.0000,0.002970
15.2500,15.2500,0.0025,0.018915
15.5001,15.5000,0.0098,0.038939
15.7504,15.7500,0.0218,0.056787
16.0009,16.0000,0.0382,0.074311
16.2518,16.2500,0.0590,0.091502
16.5031,16.5000,0.0840,0.107702
16.7547,16.7500,0.1130,0.123135
17.0069,17.0000,0.1458,0.137561
17.2595,17.2500,0.1822,0.151726
17.5127,17.5000,0.2222,0.165237
17.7664,17.7500,0.2655,0.177772
18.0207,18.0000,0.3120,0.189851
18.2756,18.2500,0.3615,0.200922
18.5310,18.5000,0.4138,0.211543
18.7869,18.7500,0.4688,0.221222
19.0434,19.0000,0.5262,0.230275
19.3005,19.2500,0.5860,0.239099
19.5581,19.5000,0.6480,0.246972
19.8161,19.7500,0.7120,0.254145
20.0747,20.0000,0.7778,0.260386
20.3336,20.2500,0.8452,0.266414
20.5929,20.5000,0.9142,0.271856
20.8526,20.7500,0.9845,0.276408
21.1126,21.0000,1.0560,0.280564
21.3729,21.2500,1.1285,0.283797
21.6335,21.5000,1.2018,0.286640
21.8942,21.7500,1.2758,0.288612
22.1550,22.0000,1.3502,0.290021
22.4160,22.2500,1.4250,0.291233
22.6770,22.5000,1.5000,0.291587
22.9380,22.7500,1.5750,0.291159
23.1989,23.0000,1.6498,0.290315
23.4598,23.2500,1.7243,0.288613
23.7205,23.5000,1.7982,0.286343
23.9810,23.7500,1.8715,0.283882
24.2413,24.0000,1.9440,0.280522
24.5013,24.2500,2.0155,0.276494
24.7610,24.5000,2.0858,0.271555
25.0204,24.7500,2.1547,0.266416
25.2793,25.0000,2.2222,0.260685
25.5378,25.2500,2.2880,0.254065
25.7959,25.5000,2.3520,0.246994
26.0535,25.7500,2.4140,0.239093
26.3105,26.0000,2.4738,0.230276
26.5670,26.2500,2.5312,0.221222
26.8230,26.5000,2.5862,0.211542
27.0784,26.7500,2.6385,0.200928
27.3333,27.0000,2.6880,0.189828
27.5876,27.2500,2.7345,0.177857
27.8413,27.5000,2.7778,0.164923
28.0944,27.7500,2.8177,0.151728
28.3471,28.0000,2.8542,0.137876
28.5992,28.2500,2.8870,0.123045
28.8509,28.5000,2.9160,0.107747
29.1022,28.7500,2.9410,0.091410
29.3530,29.0000,2.9618,0.074633
29.6036,29.2500,2.9783,0.056786
29.8538,29.5000,2.9902,0.038618
30.1040,29.7500,2.9975,0.019001
30.3540,30.0000,3.0000,0.002947
30.6040,30.2500,3.0000,-0.000790
30.8540,30.5000,3.0000,0.000212
31.1040,30.7500,3.0000,-0.000057
31.3540,31.0000,3.0000,0.000015
31.6040,31.2500,3.0000,-0.000004
31.8540,31.5000,3.0000,0.000001
32.1040,31.7500,3.0000,-0.000000
32.3540,32.0000,3.0000,0.000000
32.6040,32.2500,3.0000,-0.000000
32.8540,32.5000,3.0000,0.000000
33.1040,32.7500,3.0000,-0.000000
33.3540,33.0000,3.0000,0.000000
33.6040,33.2500,3.0000,-0.000000
33.8540,33.5000,3.0000,0.000000
34.1040,33.7500,3.0000,-0.000000
34.3540,34.0000,3.0000,0.000000
34.6040,34.2500,3.0000,-0.000000
34.8540,34.5000,3.0000,0.000000
35.1040,34.7500,3.0000,-0.000000
35.3540,35.0000,3.0000,0.000000
35.6040,35.2500,3.0000,-0.000000
35.8540,35.5000,3.0000,0.000000
36.1040,35.7500,3.0000,-0.000000
36.3540,36.0000,3.0000,0.000000
36.6040,36.2500,3.0000,-0.000000
36.8540,36.5000,3.0000,0.000000
37.1040,36.7500,3.0000,-0.000000
37.3540,37.0000,3.0000,0.000000
37.6040,37.2500,3.0000,-0.000000
37.8540,37.5000,3.0000,0.000000
38.1040,37.7500,3.0000,-0.000000
38.3540,38.0000,3.0000,0.000000
38.6040,38.2500,3.0000,-0.000000
38.8540,38.5000,3.0000,0.000000
39.1040,38.7500,3.0000,-0.000000
39.3540,39.0000,3.0000,0.000000
39.6040,39.2500,3.0000,-0.000000
39.8540,39.5000,3.0000,0.000000
40.1040,39.7500,3.0000,-0.000000
40.3540,40.0000,3.0000,0.000000
40.6040,40.2500,3.0000,-0.000000
40.8540,40.5000,3.0000,0.000000
41.1040,40.7500,3.0000,-0.000000
41.3540,41.0000,3.0000,0.000000
41.6040,41.2500,3.0000,-0.000000
41.8540,41.5000,3.0000,0.000000
42.1040,41.7500,3.0000,-0.000000
42.3540,42.0000,3.0000,0.000000
42.6040,42.2500,3.0000,-0.000000
42.8540,42.5000,3.0000,0.000000
43.1040,42.7500,3.0000,-0.000000
43.3540,43.0000,3.0000,0.000000
43.6040,43.2500,3.0000,-0.000000
43.8540,43.5000,3.0000,0.000000
44.1040,43.7500,3.0000,-0.000000
44.3540,44.0000,3.0000,0.000000
44.6040,44.2500,3.0000,-0.000000
44.8540,44.5000,3.0000,0.000000
45.1040,44.7500,3.0000,-0.000000
45.3540,45.0000,3.0000,0.000000
45.6040,45.2500,3.0000,-0.000000
45.8540,45.5000,3.0000,0.000000
46.1040,45.7500,3.0000,-0.000000
46.3540,46.0000,3.0000,0.000000
46.6040,46.2500,3.0000,-0.000000
46.8540,46.5000,3.0000,0.000000
47.1040,46.7500,3.0000,-0.000000
47.3540,47.0000,3.0000,0.000000
47.6040,47.2500,3.0000,-0.000000
47.8540,47.5000,3.0000,0.000000
48.1040,47.7500,3.0000,-0.000000
48.3540,48.0000,3.0000,0.000000
48.6040,48.2500,3.0000,-0.000000
48.8540,48.5000,3.0000,0.000000
49.1040,48.7500,3.0000,-0.000000
49.3540,49.0000,3.0000,0.000000
49.6040,49.2500,3.0000,-0.000000
49.8540,49.5000,3.0000,0.000000
50.1040,49.7500,3.0000,-0.000000
50.3540,50.0000,3.0000,0.000000
50.6040,50.2500,3.0000,-0.000000
50.8540,50.5000,3.0000,0.000000
51.1040,50.7500,3.0000,-0.000000
51.3540,51.0000,3.0000,0.000000
51.6040,51.2500,3.0000,-0.000000
51.8540,51.5000,3.0000,0.000000
52.1040,51.7500,3.0000,-0.000000
52.3540,52.0000,3.0000,0.000000
52.6040,52.2500,3.0000,-0.000000
52.8540,52.5000,3.0000,0.000000
53.1040,52.7500,3.0000,-0.000000
