s,x,y,psi
0.0000,0.0000,0.0000,0.396674
0.2710,0.2500,0.1047,0.396186
0.5419,0.5000,0.2091,0.394721
0.8126,0.7500,0.3129,0.392279
1.0830,1.0000,0.4158,0.388862
1.3529,1.2500,0.5176,0.384471
1.6224,1.5000,0.6180,0.379107
1.8911,1.7500,0.7167,0.372773
2.1592,2.0000,0.8135,0.365474
2.4265,2.2500,0.9080,0.357213
2.6929,2.5000,1.0000,0.347997
2.9583,2.7500,1.0893,0.337834
3.2228,3.0000,1.1756,0.326734
3.4862,3.2500,1.2586,0.314711
3.7486,3.5000,1.3383,0.301780
4.0099,3.7500,1.4142,0.287960
4.2701,4.0000,1.4863,0.273273
4.5292,4.2500,1.5543,0.257746
4.7872,4.5000,1.6180,0.241409
5.0441,4.7500,1.6773,0.224299
5.3000,5.0000,1.7321,0.206455
5.5550,5.2500,1.7820,0.187923
5.8090,5.5000,1.8271,0.168753
6.0622,5.7500,1.8672,0.149000
6.3146,6.0000,1.9021,0.128725
6.5664,6.2500,1.9319,0.107992
6.8176,6.5000,1.9563,0.086871
7.0683,6.7500,1.9754,0.065434
7.3187,7.0000,1.9890,0.043757
7.5688,7.2500,1.9973,0.021919
7.8188,7.5000,2.0000,-0.000000
8.0688,7.7500,1.9973,-0.021919
8.3190,8.0000,1.9890,-0.043757
8.5693,8.2500,1.9754,-0.065434
8.8201,8.5000,1.9563,-0.086871
9.0713,8.7500,1.9319,-0.107992
9.3230,9.0000,1.9021,-0.128725
9.5755,9.2500,1.8672,-0.149000
9.8286,9.5000,1.8271,-0.168753
10.0827,9.7500,1.7820,-0.187923
10.3376,10.0000,1.7321,-0.206455
10.5935,10.2500,1.6773,-0.224299
10.8505,10.5000,1.6180,-0.241409
11.1085,10.7500,1.5543,-0.257746
11.3676,11.0000,1.4863,-0.273273
11.6277,11.2500,1.4142,-0.287960
11.8890,11.5000,1.3383,-0.301780
12.1514,11.7500,1.2586,-0.314711
12.4148,12.0000,1.1756,-0.326734
12.6793,12.2500,1.0893,-0.337834
12.9448,12.5000,1.0000,-0.347997
13.2112,12.7500,0.9080,-0.357213
13.4784,13.0000,0.8135,-0.365474
13.7465,13.2500,0.7167,-0.372773
14.0153,13.5000,0.6180,-0.379107
14.2847,13.7500,0.5176,-0.384471
14.5546,14.0000,0.4158,-0.388862
14.8250,14.2500,0.3129,-0.392279
15.0957,14.5000,0.2091,-0.394721
15.3666,14.7500,0.1047,-0.396186
15.6376,15.0000,0.0000,-0.396675
15.9087,15.2500,-0.1047,-0.396186
16.1796,15.5000,-0.2091,-0.394721
16.4503,15.7500,-0.3129,-0.392279
16.7206,16.0000,-0.4158,-0.388862
16.9906,16.2500,-0.5176,-0.384471
17.2600,16.5000,-0.6180,-0.379107
17.5288,16.7500,-0.7167,-0.372773
17.7968,17.0000,-0.8135,-0.365474
18.0641,17.2500,-0.9080,-0.357213
18.3305,17.5000,-1.0000,-0.347997
18.5960,17.7500,-1.0893,-0.337834
18.8604,18.0000,-1.1756,-0.326734
19.1239,18.2500,-1.2586,-0.314711
19.3862,18.5000,-1.3383,-0.301780
19.6475,18.7500,-1.4142,-0.287960
19.9077,19.0000,-1.4863,-0.273273
20.1668,19.2500,-1.5543,-0.257746
20.4248,19.5000,-1.6180,-0.241409
20.6817,19.7500,-1.6773,-0.224299
20.9376,20.0000,-1.7321,-0.206455
21.1926,20.2500,-1.7820,-0.187923
21.4466,20.5000,-1.8271,-0.168753
21.6998,20.7500,-1.8672,-0.149000
21.9522,21.0000,-1.9021,-0.128725
22.2040,21.2500,-1.9319,-0.107992
22.4552,21.5000,-1.9563,-0.086871
22.7059,21.7500,-1.9754,-0.065434
22.9563,22.0000,-1.9890,-0.043757
23.2064,22.2500,-1.9973,-0.021919
23.4564,22.5000,-2.0000,0.000000
23.7065,22.7500,-1.9973,0.021919
23.9566,23.0000,-1.9890,0.043757
24.2070,23.2500,-1.9754,0.065434
24.4577,23.5000,-1.9563,0.086871
24.7089,23.7500,-1.9319,0.107992
24.9607,24.0000,-1.9021,0.128725
25.2131,24.2500,-1.8672,0.149000
25.4663,24.5000,-1.8271,0.168753
25.7203,24.7500,-1.7820,0.187923
25.9752,25.0000,-1.7321,0.206455
26.2312,25.2500,-1.6773,0.224299
26.4881,25.5000,-1.6180,0.241409
26.7461,25.7500,-1.5543,0.257746
27.0052,26.0000,-1.4863,0.273273
27.2654,26.2500,-1.4142,0.287960
27.5267,26.5000,-1.3383,0.301780
