time,x,y,psi,u,v,omega,theta,pos_err,e_lat,v_max_path,delta_cmd,ax_cmd,vtheta_cmd,steering,throttle,braking,solve_time_ms,mpc_cost
0.0120,0.0769,-0.0453,0.0016,-0.0042,0.1231,-0.0008,0.0000,0.0892,-0.0453,7.0000,0.0167,0.3000,8.0000,0.0317,0.1200,0.0000,2.212,404747.3960
0.0240,0.0425,0.0030,-0.0029,-0.0564,0.1214,-0.0051,0.0000,0.0426,0.0030,7.0000,0.0165,0.3360,8.0000,0.0312,0.1344,0.0000,1.391,616173.7002
0.0360,0.0420,0.0085,0.0019,0.0025,-0.0239,-0.0093,0.0000,0.0428,0.0085,7.0000,0.0178,0.3720,8.0000,0.0338,0.1488,0.0000,1.622,603202.4604
0.0480,0.0962,-0.0368,-0.0014,0.0399,0.0184,0.0027,0.0000,0.1030,-0.0368,7.0000,0.0058,0.4080,8.0000,0.0110,0.1632,0.0000,1.297,580028.5831
0.0600,0.1025,-0.0086,0.0010,-0.0439,0.0760,0.0135,0.0000,0.1029,-0.0086,7.0000,0.0178,0.4440,8.0000,0.0338,0.1776,0.0000,1.265,601788.7358
0.0720,0.1647,-0.0549,0.0035,0.0841,0.0222,-0.0010,0.2500,0.1014,-0.0549,7.0000,0.0058,0.4800,8.0000,0.0110,0.1920,0.0000,1.044,570608.7654
0.0840,0.0102,-0.0045,0.0024,-0.0443,0.0271,0.0005,0.0000,0.0111,-0.0045,7.0000,0.0127,0.5160,8.0000,0.0240,0.2064,0.0000,0.960,608933.6719
0.0960,0.0944,-0.0118,-0.0048,-0.0392,0.0253,0.0062,0.0000,0.0951,-0.0118,7.0000,0.0247,0.5520,8.0000,0.0467,0.2208,0.0000,1.382,550488.8612
0.1080,0.1520,-0.0731,0.0089,0.0711,0.0175,-0.0090,0.2500,0.1222,-0.0731,7.0000,0.0127,0.5880,8.0000,0.0240,0.2352,0.0000,1.140,549337.7441
0.1200,0.1731,-0.0494,0.0044,-0.0617,-0.0473,-0.0029,0.2500,0.0914,-0.0494,7.0000,0.0247,0.6240,8.0000,0.0467,0.2496,0.0000,1.043,606661.3178
0.1320,0.0945,-0.0438,0.0061,-0.0118,-0.0788,0.0034,0.0000,0.1041,-0.0438,7.0000,0.0127,0.6600,8.0000,0.0240,0.2640,0.0000,1.165,602993.1530
0.1440,0.0520,-0.0126,-0.0033,0.0547,-0.0494,0.0014,0.0000,0.0535,-0.0126,7.0000,0.0177,0.6960,8.0000,0.0335,0.2784,0.0000,1.253,552024.1239
0.1560,0.0110,0.0516,0.0027,-0.0175,-0.0049,0.0033,0.0000,0.0528,0.0516,7.0000,0.0297,0.7320,8.0000,0.0562,0.2928,0.0000,1.338,557318.2887
0.1680,0.0884,0.0148,0.0091,0.0937,-0.0094,-0.0100,0.0000,0.0896,0.0148,7.0000,0.0177,0.7680,8.0000,0.0335,0.3072,0.0000,1.215,547659.3822
0.1800,0.1488,0.0189,-0.0027,0.0289,-0.0398,-0.0077,0.2500,0.1030,0.0189,7.0000,0.0297,0.8040,8.0000,0.0562,0.3216,0.0000,1.345,562126.1035
0.1920,0.0245,0.0711,0.0013,0.0618,0.0506,0.0017,0.0000,0.0753,0.0711,7.0000,0.0177,0.8400,8.0000,0.0335,0.3360,0.0000,1.120,584309.6483
0.2040,-0.0769,0.0589,-0.0024,0.0375,-0.0495,-0.0010,0.0000,0.0968,0.0589,7.0000,0.0152,0.8760,8.0000,0.0287,0.3504,0.0000,1.134,546167.8353
0.2160,0.0594,0.0103,-0.0054,-0.0499,-0.0091,0.0067,0.0000,0.0603,0.0103,7.0000,0.0272,0.9120,8.0000,0.0514,0.3648,0.0000,1.427,518094.0150
0.2280,0.0633,-0.0297,0.0095,-0.0221,0.0527,-0.0084,0.0000,0.0700,-0.0297,7.0000,0.0152,0.9480,8.0000,0.0287,0.3792,0.0000,0.861,544584.0457
0.2400,0.0472,-0.0174,0.0012,0.0471,0.0023,0.0003,0.0000,0.0503,-0.0174,7.0000,0.0272,0.9840,8.0000,0.0514,0.3936,0.0000,0.894,556170.8371
0.2520,0.0690,-0.0316,0.0012,0.0284,-0.0035,-0.0050,0.0000,0.0759,-0.0316,7.0000,0.0152,1.0200,8.0000,0.0287,0.4080,0.0000,0.828,544370.0880
0.2640,0.1036,0.0598,0.0052,-0.0482,-0.0965,-0.0069,0.0000,0.1197,0.0598,7.0000,0.0215,1.0560,8.0000,0.0408,0.4224,0.0000,0.878,521980.2372
0.2760,0.1175,0.0893,-0.0074,0.1265,-0.0129,0.0089,0.0000,0.1476,0.0893,7.0000,0.0335,1.0920,8.0000,0.0635,0.4368,0.0000,1.163,487850.8302
0.2880,0.0614,-0.0261,0.0005,-0.0455,0.0758,-0.0065,0.0000,0.0667,-0.0261,7.0000,0.0215,1.1280,8.0000,0.0408,0.4512,0.0000,1.061,535745.6101
0.3000,0.0030,0.1112,0.0016,-0.0550,0.0052,-0.0040,0.0000,0.1112,0.1112,7.0000,0.0335,1.1640,8.0000,0.0635,0.4656,0.0000,1.120,553618.2377
0.3120,0.1385,0.0258,-0.0089,0.0611,0.0485,-0.0043,0.2500,0.1145,0.0258,7.0000,0.0215,1.2000,8.0000,0.0408,0.4800,0.0000,1.091,523995.3690
0.3240,-0.0444,-0.0842,-0.0043,-0.0049,0.0442,-0.0018,0.0000,0.0952,-0.0842,7.0000,0.0335,1.2360,8.0000,0.0635,0.4944,0.0000,1.041,566261.7550
0.3360,0.1386,0.0222,0.0096,-0.0216,0.0078,0.0129,0.2500,0.1136,0.0222,7.0000,0.0435,1.2720,8.0000,0.0825,0.5088,0.0000,1.612,504899.0132
0.3480,0.1516,0.1028,-0.0082,0.0351,0.0107,-0.0136,0.2500,0.1423,0.1028,7.0000,0.0315,1.3080,8.0000,0.0597,0.5232,0.0000,1.223,515573.1238
0.3600,0.0557,-0.0524,0.0018,0.0075,0.0468,0.0036,0.0000,0.0765,-0.0524,7.0000,0.0435,1.3440,8.0000,0.0825,0.5376,0.0000,1.075,563768.9620
0.3720,0.0853,-0.0026,0.0120,-0.0366,-0.0280,-0.0001,0.0000,0.0853,-0.0026,7.0000,0.0315,1.3800,8.0000,0.0597,0.5520,0.0000,1.189,525880.3658
0.3840,0.0775,0.0173,0.0014,-0.0665,0.0338,-0.0037,0.0000,0.0794,0.0173,7.0000,0.0435,1.4160,8.0000,0.0825,0.5664,0.0000,1.105,506253.7869
0.3960,-0.0240,-0.0059,0.0075,0.0509,0.0550,-0.0020,0.0000,0.0247,-0.0059,7.0000,0.0555,1.4520,8.0000,0.1052,0.5808,0.0000,1.305,500281.7725
0.4080,0.0824,0.0974,0.0067,0.1263,0.0014,-0.0073,0.0000,0.1276,0.0974,7.0000,0.0435,1.4880,8.0000,0.0825,0.5952,0.0000,1.161,495609.8534
0.4200,0.0358,0.0682,-0.0058,0.0391,0.0572,0.0004,0.0000,0.0771,0.0682,7.0000,0.0555,1.5240,8.0000,0.1052,0.6096,0.0000,1.305,521860.6471
0.4320,0.1474,0.0917,-0.0068,0.0658,0.0744,0.0032,0.2500,0.1376,0.0917,7.0000,0.0435,1.5600,8.0000,0.0825,0.6240,0.0000,1.179,503751.0453
0.4440,0.0554,-0.0404,-0.0011,0.0346,0.0669,0.0023,0.0000,0.0686,-0.0404,7.0000,0.0555,1.5960,8.0000,0.1052,0.6384,0.0000,1.218,540791.7126
0.4560,-0.0135,-0.0385,0.0060,0.0822,-0.0066,0.0004,0.0000,0.0408,-0.0385,7.0000,0.0435,1.6320,8.0000,0.0825,0.6528,0.0000,1.064,503118.1665
0.4680,-0.0056,0.0942,-0.0047,0.1097,0.0175,0.0103,0.0000,0.0943,0.0942,7.0000,0.0315,1.6680,8.0000,0.0597,0.6672,0.0000,0.967,484759.1776
0.4800,0.0431,0.0333,-0.0027,0.2783,-0.0345,0.0103,0.0000,0.0545,0.0333,7.0000,0.0435,1.7040,8.0000,0.0825,0.6816,0.0000,0.899,463316.1580
0.4920,0.1537,0.0448,0.0056,0.0303,0.0044,-0.0049,0.2500,0.1062,0.0448,7.0000,0.0315,1.7400,8.0000,0.0597,0.6960,0.0000,1.233,498629.7960
0.5040,0.0407,-0.0092,0.0025,0.1805,-0.0286,0.0094,0.0000,0.0417,-0.0092,7.0000,0.0435,1.7760,8.0000,0.0825,0.7104,0.0000,1.083,516232.1082
0.5160,-0.0011,-0.0739,-0.0044,0.1841,-0.0088,-0.0109,0.0000,0.0739,-0.0739,7.0000,0.0315,1.8120,8.0000,0.0597,0.7248,0.0000,1.182,484852.9318
0.5280,0.0591,-0.1101,0.0027,0.0068,-0.0222,0.0030,0.0000,0.1249,-0.1101,7.0000,0.0435,1.8480,8.0000,0.0825,0.7392,0.0000,1.030,489843.0276
0.5400,0.1457,-0.0280,-0.0061,0.0027,-0.0292,-0.0085,0.2500,0.1080,-0.0280,7.0000,0.0555,1.8840,8.0000,0.1052,0.7536,0.0000,1.288,478368.6894
0.5520,0.0880,0.0457,0.0036,-0.0446,0.0124,-0.0107,0.0000,0.0991,0.0457,7.0000,0.0435,1.9200,8.0000,0.0825,0.7680,0.0000,1.221,521787.8503
0.5640,0.0914,-0.0615,-0.0071,-0.0460,-0.0572,-0.0020,0.0000,0.1102,-0.0615,7.0000,0.0555,1.9560,8.0000,0.1052,0.7824,0.0000,1.052,505944.2975
0.5760,0.0433,-0.0869,0.0018,-0.0580,-0.0452,0.0000,0.0000,0.0971,-0.0869,7.0000,0.0435,1.9920,8.0000,0.0825,0.7968,0.0000,1.261,506922.7501
0.5880,0.0972,-0.0405,0.0083,0.0262,-0.0280,0.0001,0.0000,0.1053,-0.0405,7.0000,0.0555,2.0280,8.0000,0.1052,0.8112,0.0000,1.150,487281.9390
0.6000,0.0024,0.0076,0.0106,-0.0636,0.0121,-0.0087,0.0000,0.0080,0.0076,7.0000,0.0435,2.0640,8.0000,0.0825,0.8256,0.0000,1.353,490023.5550
0.6120,0.0430,0.1293,0.0058,-0.0689,0.0473,-0.0035,0.0000,0.1363,0.1293,7.0000,0.0315,2.1000,8.0000,0.0597,0.8400,0.0000,1.118,479343.0755
0.6240,0.0870,0.0027,-0.0001,-0.0152,0.0986,0.0073,0.0000,0.0871,0.0027,7.0000,0.0435,2.1360,8.0000,0.0825,0.8544,0.0000,1.175,499333.0608
0.6360,0.0153,0.1279,-0.0009,0.0034,-0.0538,0.0011,0.0000,0.1288,0.1279,7.0000,0.0315,2.1720,8.0000,0.0597,0.8688,0.0000,1.216,507079.0074
0.6480,0.0527,-0.0831,-0.0045,0.0858,-0.0365,-0.0102,0.0000,0.0984,-0.0831,7.0000,0.0435,2.2080,8.0000,0.0825,0.8832,0.0000,1.259,489566.7065
0.6600,0.0381,-0.0501,0.0030,-0.0136,0.0090,-0.0136,0.0000,0.0629,-0.0501,7.0000,0.0315,2.2430,8.0000,0.0597,0.8972,0.0000,1.091,499879.4775
0.6720,0.0531,-0.0140,-0.0033,0.0022,0.0324,-0.0114,0.0000,0.0549,-0.0140,7.0000,0.0435,2.2739,8.0000,0.0825,0.9096,0.0000,1.368,488985.5395
0.6840,0.0964,0.0794,-0.0086,0.0142,0.0152,-0.0065,0.0000,0.1249,0.0794,7.0000,0.0555,2.3010,8.0000,0.1052,0.9204,0.0000,1.299,474919.4619
0.6960,0.0823,0.0276,-0.0017,0.0698,-0.0504,-0.0065,0.0000,0.0868,0.0276,7.0000,0.0435,2.3249,8.0000,0.0825,0.9300,0.0000,1.205,465729.5461
0.7080,0.0530,0.0676,-0.0066,-0.0122,0.0103,-0.0103,0.0000,0.0859,0.0676,7.0000,0.0555,2.3459,8.0000,0.1052,0.9384,0.0000,1.216,501454.6886
0.7200,0.0200,0.0290,0.0027,-0.1185,0.0002,-0.0080,0.0000,0.0353,0.0290,7.0000,0.0435,2.3644,8.0000,0.0825,0.9458,0.0000,0.906,503886.9603
0.7320,0.0339,0.0840,-0.0074,0.0381,0.0471,-0.0098,0.0000,0.0906,0.0840,7.0000,0.0555,2.3807,8.0000,0.1052,0.9523,0.0000,0.808,490260.4518
0.7440,0.0882,0.0360,-0.0037,0.0106,0.1396,-0.0128,0.0000,0.0953,0.0360,7.0000,0.0435,2.3950,8.0000,0.0825,0.9580,0.0000,0.972,478195.5779
0.7560,0.0507,-0.0297,-0.0051,0.0970,-0.0733,-0.0152,0.0000,0.0587,-0.0297,7.0000,0.0315,2.4076,8.0000,0.0597,0.9630,0.0000,1.048,462103.6774
0.7680,0.1241,-0.0020,0.0013,0.1588,-0.0102,-0.0068,0.0000,0.1241,-0.0020,7.0000,0.0435,2.4187,8.0000,0.0825,0.9675,0.0000,0.938,459290.5293
0.7800,0.0664,0.0102,-0.0074,0.1132,0.0520,-0.0119,0.0000,0.0672,0.0102,7.0000,0.0315,2.4284,8.0000,0.0597,0.9714,0.0000,1.267,478388.1892
0.7920,0.1713,-0.0185,-0.0033,0.1791,0.0404,-0.0085,0.2500,0.0808,-0.0185,7.0000,0.0435,2.4370,8.0000,0.0825,0.9748,0.0000,1.292,462726.6821
0.8040,0.1499,0.0316,-0.0052,0.1245,-0.0303,0.0124,0.2500,0.1050,0.0316,7.0000,0.0315,2.4446,8.0000,0.0597,0.9778,0.0000,0.862,493721.5961
0.8160,0.0874,-0.0420,0.0104,0.1632,-0.1017,0.0186,0.0000,0.0970,-0.0420,7.0000,0.0435,2.4512,8.0000,0.0825,0.9805,0.0000,1.142,482168.7692
0.8280,-0.0296,-0.0274,-0.0071,0.0840,-0.0224,0.0241,0.0000,0.0404,-0.0274,7.0000,0.0555,2.4571,8.0000,0.1052,0.9828,0.0000,1.528,476313.1962
0.8400,0.0284,-0.0077,0.0020,0.0592,-0.0160,0.0336,0.0000,0.0294,-0.0077,7.0000,0.0435,2.4622,8.0000,0.0825,0.9849,0.0000,1.196,473548.5320
0.8520,0.1048,-0.0023,0.0040,0.2211,0.0224,0.0452,0.0000,0.1049,-0.0023,7.0000,0.0555,2.4668,8.0000,0.1052,0.9867,0.0000,1.248,461142.5332
0.8640,0.0798,-0.0950,0.0012,0.2345,-0.0540,0.0499,0.0000,0.1241,-0.0950,7.0000,0.0435,2.4708,8.0000,0.0825,0.9883,0.0000,1.277,459285.1556
0.8760,0.0947,-0.0168,-0.0004,0.2547,-0.1001,0.0513,0.0000,0.0962,-0.0168,7.0000,0.0555,2.4743,8.0000,0.1052,0.9897,0.0000,1.227,439410.3730
0.8880,0.0320,0.0339,0.0044,0.2689,-0.0038,0.0360,0.0000,0.0466,0.0339,7.0000,0.0675,2.4774,8.0000,0.1279,0.9909,0.0000,1.484,438980.8033
0.9000,0.2165,0.0848,0.0014,0.2639,0.0486,0.0323,0.2500,0.0912,0.0848,7.0000,0.0555,2.4801,8.0000,0.1052,0.9920,0.0000,1.224,425329.7797
0.9120,0.0595,0.0111,0.0048,0.3042,-0.0736,0.0479,0.0000,0.0605,0.0111,7.0000,0.0675,2.4825,8.0000,0.1279,0.9930,0.0000,1.282,475042.3879
