variant,n_runs,n_ok,collisions_mean,collisions_std,near_misses_mean,near_misses_std,min_clearance_m_mean,min_clearance_m_std,rms_cte_m_mean,rms_cte_m_std,speed_ratio_mean,speed_ratio_std,mean_solve_ms_mean,mean_solve_ms_std,progress_m_mean,progress_m_std
pacejka,6,6,0.0,0.0,0.0,0.0,8.462855833333334,4.179219727734899,0.07776982892778712,0.033202938261294786,0.5509537122149039,0.10172357683365657,2.138391513108182,0.30066668940965857,23.45914339183227,4.748561184248933
tmeasy,6,6,0.0,0.0,0.0,0.0,8.532437833333333,4.227154312214183,0.0629499543487062,0.015387260577898557,0.5475645069534719,0.10299923027327215,2.184697559585712,0.32554954114451073,23.346658857475074,4.8067763971321895
closed_loop_v2_rate_mlp,6,6,0.0,0.0,0.0,0.0,6.2476005,3.0314476135279502,0.09816281614749367,0.0709800954642586,0.5961238600184933,0.069853249221969,5.361281679132386,0.5886466395841579,25.889633997483372,3.255542452713789
closed_loop_v3_axle_rate_mlp,6,6,0.0,0.0,0.0,0.0,7.160129833333333,3.8551247448049946,0.06559546529929751,0.00920583519820656,0.5790661589764702,0.09033851943953507,7.002436897460392,0.1633306395578886,24.846881920670853,4.304384189712068
