label,yaml,true_n,coh_scale,phi_delta_deg,preset_proxy,Kphi,Kc,cohesion,friction_angle,janosi_shear
terrain1,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Shared/data/terrain_yamls_random/terrain1.yaml,0.8837,0.525,-2.25,dirt,1518856.8,3279.8,723.8,27.21,0.025
terrain2,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Shared/data/terrain_yamls_random/terrain2.yaml,0.6339,1.236,1.77,dirt,1243173.4,7909.9,3098.7,25.48,0.02
