step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
71,19.892,0.621,8.22,4.307,23.79,5,18,10.00,3.91,+0.847,0.480,0.000,+0.053,0.000,0.730,1,-0.368,50.84,7.026
72,20.306,0.672,7.54,4.106,26.45,5,18,10.00,3.73,+0.942,0.470,0.000,-0.200,0.316,0.000,1,-0.474,49.99,5.616
73,20.702,0.718,7.20,3.941,27.73,5,18,10.00,3.65,+0.988,0.476,0.000,-0.375,0.287,0.000,1,-0.450,50.51,4.469
74,21.086,0.757,6.82,3.870,28.07,5,18,10.00,3.62,+1.000,0.500,0.000,-0.280,0.159,0.000,1,-0.455,50.23,3.880
75,21.465,0.786,6.21,3.827,28.07,5,18,10.00,3.62,+1.000,0.538,0.000,-0.236,0.109,0.000,1,-0.371,50.13,3.502
76,21.842,0.808,5.57,3.802,26.80,5,18,10.00,3.71,+0.955,0.591,0.000,-0.423,0.144,0.000,1,-0.187,50.71,2.624
77,22.217,0.825,4.87,3.775,26.80,5,18,10.00,3.71,+0.955,0.641,0.000,-0.378,0.265,0.000,1,-0.003,49.60,2.540
78,22.588,0.834,4.02,3.720,26.80,5,18,10.00,3.71,+0.955,0.690,0.000,-0.776,0.567,0.000,1,0.147,50.12,2.320
79,22.957,0.836,3.13,3.723,27.44,5,18,10.00,3.66,+0.977,0.738,0.000,-0.818,0.603,0.000,1,0.246,48.93,2.724
80,23.329,0.827,1.90,3.779,28.07,5,18,10.00,3.62,+1.000,0.789,0.000,-0.772,0.526,0.000,1,0.304,47.88,3.592
81,23.706,0.805,0.60,3.834,25.52,5,18,10.00,3.79,+0.909,0.828,0.000,-0.758,0.302,0.000,1,0.365,47.54,2.737
82,24.090,0.771,-0.73,3.903,26.84,5,18,10.00,3.70,+0.956,0.857,0.000,-0.791,0.249,0.000,1,0.370,49.87,4.011
83,24.478,0.725,-2.19,3.950,25.56,5,18,10.00,3.79,+0.910,0.877,0.000,-0.925,0.100,0.000,1,0.390,49.19,3.635
84,24.868,0.668,-3.80,3.969,24.92,5,18,10.00,3.83,+0.888,0.891,0.000,+0.040,0.566,0.000,1,-0.480,47.45,1.302
85,25.257,0.600,-5.89,3.985,26.20,5,18,10.00,3.75,+0.933,0.908,0.000,+0.226,0.458,0.000,1,-0.411,47.52,1.023
