time,x,y,psi,u,v,omega,theta,pos_err,e_lat,v_max_path,delta_cmd,ax_cmd,vtheta_cmd,steering,throttle,braking,solve_time_ms,mpc_cost
0.0120,-0.0374,-0.0097,0.0016,-0.0413,-0.0720,-0.0001,0.0000,0.0387,-0.0097,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.371,970500.0000
0.0240,0.0399,0.0186,-0.0020,-0.0209,-0.0075,0.0009,0.0000,0.0440,0.0186,5.0000,-0.0120,0.0360,3.2183,-0.0227,0.0144,0.0000,1.205,17480723.0200
0.0360,0.0701,-0.0063,-0.0014,-0.0232,-0.0249,0.0034,0.0000,0.0704,-0.0063,5.0000,-0.0240,0.0691,2.7377,-0.0455,0.0276,0.0000,1.407,16783380.7699
0.0480,0.0009,-0.0536,-0.0113,-0.0424,0.0647,0.0083,0.0000,0.0536,-0.0536,5.0000,-0.0360,0.1051,5.0000,-0.0682,0.0420,0.0000,1.401,14573524.5953
0.0600,-0.0181,0.0287,-0.0036,-0.0056,-0.0277,0.0081,0.0000,0.0339,0.0287,5.0000,-0.0240,0.1411,5.0000,-0.0455,0.0564,0.0000,1.109,765616.8308
0.0720,0.1068,0.0418,0.0030,0.0495,-0.1309,-0.0088,0.0000,0.1147,0.0418,5.0000,-0.0360,0.1771,5.0000,-0.0682,0.0708,0.0000,1.035,309380.1161
0.0840,0.1157,-0.0769,-0.0052,0.0214,0.0249,-0.0099,0.0000,0.1390,-0.0769,5.0000,-0.0245,0.2131,5.0000,-0.0465,0.0852,0.0000,1.146,306361.7559
0.0960,0.0213,0.0615,0.0054,0.0390,-0.0664,-0.0048,0.0000,0.0650,0.0615,5.0000,-0.0130,0.2491,5.0000,-0.0245,0.0996,0.0000,1.228,528257.2023
0.1080,0.1210,0.0280,-0.0040,0.0364,0.1125,0.0006,0.0000,0.1242,0.0280,5.0000,-0.0250,0.2851,5.0000,-0.0473,0.1140,0.0000,1.035,534666.6459
0.1200,0.0481,-0.0982,0.0010,-0.0846,-0.0417,0.0058,0.0000,0.1094,-0.0982,5.0000,-0.0370,0.3211,5.0000,-0.0700,0.1284,0.0000,1.316,532764.3078
