variant,n_runs,n_ok,collisions_mean,collisions_std,near_misses_mean,near_misses_std,min_clearance_m_mean,min_clearance_m_std,intervention_rate_pct_mean,intervention_rate_pct_std,mean_abs_dsteer_mean,mean_abs_dsteer_std,mean_abs_dthrottle_mean,mean_abs_dthrottle_std,rms_cte_m_mean,rms_cte_m_std
sigma_inflate,32,32,0.1875,0.39655776945626603,1.84375,0.8466013648510979,0.06139062499999996,0.17844226925720627,59.199999999999996,18.14902467831794,0.5021244364188231,0.3269831615969919,0.21991570842496697,0.2018774495308957,1.149111083355972,0.7079150303826318
sigma_tighten,32,32,0.1875,0.47092907485988494,2.0,0.8798826901281197,0.031206249999999963,0.12418484905120661,60.01875,16.986891293184037,0.4761676629979529,0.2516858205150289,0.24748823966807715,0.20603438481078346,0.9589620653927204,0.5921665161360534
sigma_both,32,32,0.25,0.43994134506405985,2.0625,0.981687158630159,0.018693750000000002,0.17117494905938743,59.534375,16.88291003380867,0.46151987987155346,0.2817950129030372,0.21305835362221034,0.19470527357967163,1.0786850596362594,0.6019005866406366
sigma_off,32,32,0.21875,0.42001344064515445,1.96875,0.9327162898863485,0.04843749999999998,0.11579159463059821,58.95,17.501907730117548,0.462426182482763,0.3003927020477828,0.23326068484299628,0.20595646332405965,0.9687595818967097,0.6050731850087554
no_live_terrain,32,32,0.15625,0.36890203262847354,2.03125,0.9666828882584055,0.11549999999999996,0.18633432665594007,62.371875,15.59580659881822,0.3986538165413197,0.15457899000184405,0.2264136496029108,0.15203252074439338,1.034300773794722,0.8733845301801847
