frenet_improvement_pct,frenet_lat_rms_m_mean,frenet_lat_rms_m_std,mean_speed_mps_mean,mean_speed_mps_std,path,path_err_improvement_pct,path_err_m_mean,path_err_m_std,rate_hz_mean,rate_hz_std,run,solve_ms_mean,solve_ms_std,terrain
,0.0985,0.008866228059327139,3.833,0.07171471257698804,sinusoidal,,0.111,0.0044034077712608,240.93333333333334,1.0263202878893738,baseline,4.153333333333333,0.015275252316519529,clay
,0.09163333333333333,0.006357148207595395,3.852333333333333,0.031262330900515556,sinusoidal,,0.10743333333333334,0.0035725807665234572,239.0,0.6928203230275608,warmup,4.1866666666666665,0.011547005383792781,clay
,0.08086666666666667,0.0020256686138984663,3.782,0.03899999999999994,sinusoidal,,0.10016666666666667,0.0015947831618540929,233.4,0.5567764362829987,loaded,4.283333333333333,0.015275252316519529,clay
17.901861252115058,-0.017633333333333334,nan,-0.051000000000000156,nan,sinusoidal,9.759759759759762,-0.010833333333333334,nan,-7.533333333333331,nan,delta_loaded_vs_baseline,0.1299999999999999,nan,clay
,0.15133333333333335,0.015451321410589228,5.76,0.029999999999999805,sinusoidal,,0.1428,0.007800000000000001,240.86666666666667,2.3158871590242316,baseline,4.153333333333333,0.041633319989322765,dirt
,0.14606666666666668,0.016264173306176157,5.775666666666667,0.009504384952922228,sinusoidal,,0.1408,0.008860586888011423,238.06666666666666,0.7505553499465131,warmup,4.2,0.009999999999999787,dirt
,0.10693333333333334,0.011184066046538408,5.705,0.043920382511995336,sinusoidal,,0.11776666666666667,0.006251666444503682,230.56666666666666,1.9731531449264943,loaded,4.336666666666667,0.03785938897200184,dirt
29.339207048458157,-0.04440000000000001,nan,-0.054999999999999716,nan,sinusoidal,17.530345471521944,-0.025033333333333338,nan,-10.300000000000011,nan,delta_loaded_vs_baseline,0.18333333333333357,nan,dirt
,0.10123333333333333,0.011107354920652056,4.125,0.001000000000000334,sinusoidal,,0.11549999999999999,0.005450688029964654,239.73333333333332,0.0577350269189757,baseline,4.17,0.0,sand
,0.10439999999999999,0.013754635582231903,4.125,0.002645751311064635,sinusoidal,,0.11616666666666667,0.00608796627235511,239.3,1.6522711641858365,warmup,4.18,0.029999999999999805,sand
,0.07743333333333334,0.0037287173844813295,4.129333333333333,0.0015275252316520691,sinusoidal,,0.10066666666666667,0.0017009801096230768,232.23333333333332,1.5502687938978095,loaded,4.306666666666667,0.025166114784235707,sand
23.510042805400058,-0.023799999999999988,nan,0.0043333333333333,nan,sinusoidal,12.842712842712835,-0.014833333333333323,nan,-7.5,nan,delta_loaded_vs_baseline,0.13666666666666671,nan,sand
,0.5376666666666666,0.02219376789401324,3.4233333333333333,0.06466323014923814,right_left,,0.3514,0.018080099557248014,239.43333333333334,2.8919428302325265,baseline,4.176666666666667,0.05131601439446873,clay
,0.5898333333333333,0.012191937226435074,3.5036666666666667,0.021733231083604008,right_left,,0.3895,0.010605658866850281,240.23333333333332,0.1527525231652015,warmup,4.163333333333333,0.005773502691896135,clay
,0.4723333333333333,0.04455898712194135,3.4803333333333333,0.10690806018880594,right_left,,0.3054,0.036203176656199675,231.23333333333335,0.9451631252505271,loaded,4.326666666666666,0.015275252316519626,clay
12.151270923744569,-0.0653333333333333,nan,0.05699999999999994,nan,right_left,13.090495162208306,-0.045999999999999985,nan,-8.199999999999989,nan,delta_loaded_vs_baseline,0.14999999999999947,nan,clay
,0.5697666666666666,0.00373139830805199,4.460666666666667,0.054601587278515586,right_left,,0.38716666666666666,0.005589573627150225,238.76666666666668,1.7616280348965079,baseline,4.1866666666666665,0.030550504633038766,dirt
,0.5946,0.005807753438292613,4.457,0.021656407827707832,right_left,,0.40373333333333333,0.002874601421646717,238.86666666666667,0.6506407098647772,warmup,4.19,0.010000000000000231,dirt
,0.5416333333333333,0.020116991160045124,4.469,0.025238858928247593,right_left,,0.3661666666666667,0.008031396723692172,231.8,1.5099668870541507,loaded,4.316666666666666,0.025166114784235766,dirt
4.9376937927806726,-0.028133333333333344,nan,0.008333333333333748,nan,right_left,5.424020662935849,-0.020999999999999963,nan,-6.966666666666669,nan,delta_loaded_vs_baseline,0.1299999999999999,nan,dirt
,0.6669,0.015352198539622896,4.049,0.0034641016151378858,right_left,,0.4293666666666667,0.007735847292529316,239.29999999999998,0.26457513110646014,baseline,4.176666666666667,0.005773502691896135,sand
,0.6488666666666667,0.009827681991870355,4.049666666666667,0.0032145502536640564,right_left,,0.41673333333333334,0.0065683584961033865,238.86666666666667,2.20529665426975,warmup,4.1866666666666665,0.041633319989322765,sand
,0.6264333333333334,0.007250057471036585,4.0553333333333335,0.006110100926607986,right_left,,0.40113333333333334,0.00220302821891444,232.26666666666668,0.6429100507328596,loaded,4.303333333333333,0.01154700538379227,sand
6.067876243314837,-0.04046666666666665,nan,0.00633333333333308,nan,right_left,6.575576430401366,-0.028233333333333333,nan,-7.033333333333303,nan,delta_loaded_vs_baseline,0.12666666666666604,nan,sand
