distribution,n_runs,n_ok,n_abs_err_tail_mean,n_abs_err_tail_std,phi_abs_err_tail_deg_mean,phi_abs_err_tail_deg_std,rms_cte_m_mean,mean_speed_mps_mean,first_update_time_s_mean
id,60,60,0.06897120460636487,0.037604593682883554,,,0.15010334821993118,4.371530739446925,4.222983050847458
ood,120,120,0.08075303656155457,0.05531135579298526,,,0.1085115753125173,4.669366903060745,4.221478991596639
