variant,n_runs,n_ok,collisions_mean,collisions_std,near_misses_mean,near_misses_std,min_clearance_m_mean,min_clearance_m_std,rms_cte_m_mean,rms_cte_m_std,speed_ratio_mean,speed_ratio_std
pacejka,32,32,0.0,0.0,0.84375,0.6772513232461859,1.93658946875,2.96211752329136,0.36004578811490073,0.4491899670315403,0.4843988260243837,0.09185353621116464
tmeasy,32,32,0.09375,0.3901509219974802,0.78125,0.6591477880199651,1.9312265937499997,2.8539228516718014,0.34271703874686293,0.442786809512772,0.48412587682116065,0.0939594388504307
closed_loop_v2_rate_mlp,32,32,0.03125,0.1767766952966369,0.9375,0.7156093726283553,1.1232429375,1.6986838858693103,0.3295743824649813,0.38641379247121066,0.510956056017976,0.08629178662588213
closed_loop_v3_axle_rate_mlp,32,32,0.0,0.0,0.875,0.7071067811865476,1.32281584375,2.090505916521121,0.34173198932472454,0.38409182132114494,0.5038738325621439,0.08951854504774723
