estimator,mode,n,mean,median,p90,p95,within10,within20
Bekker-UKF,OL,100,41.01050524159849,34.27254435356058,63.153992647185554,134.8735001748766,8.0,19.0
Bekker-UKF,CL,100,26.352232723364104,20.860764158484265,53.78001607246536,61.530375198285384,28.000000000000004,49.0
Bekker-UKF,both,200,33.68136898248129,30.859797768356994,58.540177869266756,80.57224122204897,18.0,34.0
NN-UKF,OL,100,18.222262738076797,12.883394659560631,38.1161025217218,50.621887286763226,37.0,64.0
NN-UKF,CL,100,13.543438560359952,9.356535115355609,31.56316055365989,38.59548810712428,53.0,79.0
NN-UKF,both,200,15.882850649218375,10.692608870624554,35.202770852782926,41.48781825427325,45.0,71.5
Learned MLP,OL,100,19.028414957145944,16.98513234506578,39.62535454977425,44.83812470358589,31.0,56.99999999999999
Learned MLP,CL,100,18.84606989069235,15.68800146654165,38.64790275239258,43.26376134529392,31.0,59.0
Learned MLP,both,200,18.937242423919145,16.27032400000749,39.48310846783378,44.288479467239014,31.0,57.99999999999999
