distribution,case_label,terrain,terrain_config,path,excitation_source,true_n,true_phi_deg,status,run_dir,diag_csv,open_loop_throttle,steer_amp,steer_period,bumpiness,seed,notes,n_samples,mean_speed_mps,p95_speed_mps,n_est_final,n_est_mean_tail,n_abs_err_final,n_abs_err_tail,terrain_update_count,first_update_time_s
id,dirt,dirt,,sinusoidal,open_loop_command,0.7,29.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0017_id_dirt_ol_thr75_amp60_b0_s714,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0017_id_dirt_ol_thr75_amp60_b0_s714/open_loop_diag.csv,0.75,0.6,3.0,0,714,,1668,8.865896725274725,8.965925,0.699884,0.6918412627372628,0.00011600000000000499,0.008158737262737192,133,4.164
id,dirt,dirt,,sinusoidal,open_loop_command,0.7,29.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0018_id_dirt_ol_thr75_amp60_b0_s715,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0018_id_dirt_ol_thr75_amp60_b0_s715/open_loop_diag.csv,0.75,0.6,3.0,0,715,,1668,8.865325779220779,8.968767,0.702338,0.7004083396603397,0.0023380000000000623,0.00040833966033970714,133,4.164
id,dirt,dirt,,sinusoidal,open_loop_command,0.7,29.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0019_id_dirt_ol_thr75_amp60_b4_s710,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0019_id_dirt_ol_thr75_amp60_b4_s710/open_loop_diag.csv,0.75,0.6,3.0,4,710,,1668,8.844599119880119,8.957797,0.701628,0.7048354325674325,0.0016280000000000738,0.004835432567432574,133,4.164
id,dirt,dirt,,sinusoidal,open_loop_command,0.7,29.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0020_id_dirt_ol_thr75_amp60_b4_s711,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0020_id_dirt_ol_thr75_amp60_b4_s711/open_loop_diag.csv,0.75,0.6,3.0,4,711,,1668,8.848254795204795,8.961301,0.681856,0.6964911548451549,0.018143999999999938,0.003508845154845064,133,4.164
id,sand,sand,,sinusoidal,open_loop_command,1.1,30.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0025_id_sand_ol_thr75_amp60_b0_s710,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0025_id_sand_ol_thr75_amp60_b0_s710/open_loop_diag.csv,0.75,0.6,3.0,0,710,,1668,4.195909765234765,4.28059,1.1,1.09831999000999,0.0,0.0016800099900100562,133,4.164
id,dirt,dirt,,sinusoidal,open_loop_command,0.7,29.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0021_id_dirt_ol_thr75_amp60_b4_s712,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0021_id_dirt_ol_thr75_amp60_b4_s712/open_loop_diag.csv,0.75,0.6,3.0,4,712,,1668,8.842826887112887,8.950232,0.685227,0.6955457512487513,0.014772999999999925,0.004454248751248668,133,4.164
id,dirt,dirt,,sinusoidal,open_loop_command,0.7,29.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0024_id_dirt_ol_thr75_amp60_b4_s715,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0024_id_dirt_ol_thr75_amp60_b4_s715/open_loop_diag.csv,0.75,0.6,3.0,4,715,,1668,8.849372542457544,8.961459,0.693173,0.6998036993006993,0.0068269999999999165,0.00019630069930065552,133,4.164
id,dirt,dirt,,sinusoidal,open_loop_command,0.7,29.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0023_id_dirt_ol_thr75_amp60_b4_s714,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0023_id_dirt_ol_thr75_amp60_b4_s714/open_loop_diag.csv,0.75,0.6,3.0,4,714,,1668,8.84518297002997,8.953664,0.68599,0.6960566533466533,0.014009999999999967,0.003943346653346613,133,4.164
id,dirt,dirt,,sinusoidal,open_loop_command,0.7,29.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0022_id_dirt_ol_thr75_amp60_b4_s713,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0022_id_dirt_ol_thr75_amp60_b4_s713/open_loop_diag.csv,0.75,0.6,3.0,4,713,,1668,8.845818011988012,8.963621,0.696587,0.702240146853147,0.0034129999999999994,0.002240146853146996,133,4.164
id,sand,sand,,sinusoidal,open_loop_command,1.1,30.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0026_id_sand_ol_thr75_amp60_b0_s711,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0026_id_sand_ol_thr75_amp60_b0_s711/open_loop_diag.csv,0.75,0.6,3.0,0,711,,1668,4.193601464535465,4.279682,1.1,1.0999419480519481,0.0,5.805194805197367e-05,133,4.164
