idx,n_true,Kphi,Kc,cohesion,friction_angle,janosi_shear,estimator,converged_n,pct_err
7,0.7337181277923127,2257976.439647804,9257.877592720422,17338.174572715387,15.905913317845767,0.011391696040466514,Bekker-UKF,0.6826135407146742,6.965152575881875
7,0.7337181277923127,2257976.439647804,9257.877592720422,17338.174572715387,15.905913317845767,0.011391696040466514,NN-UKF,0.6802260964404281,7.290542420266622
7,0.7337181277923127,2257976.439647804,9257.877592720422,17338.174572715387,15.905913317845767,0.011391696040466514,Learned MLP,0.6296255360769871,14.187000126128844
5,1.0618260528230925,668249.4895646033,19345.946357338762,11070.609710677863,27.123871627807016,0.021482806094690984,Bekker-UKF,0.49314000032055993,53.557364785932556
5,1.0618260528230925,668249.4895646033,19345.946357338762,11070.609710677863,27.123871627807016,0.021482806094690984,NN-UKF,1.3094608334041287,23.32159584167726
5,1.0618260528230925,668249.4895646033,19345.946357338762,11070.609710677863,27.123871627807016,0.021482806094690984,Learned MLP,1.299999999999964,22.43059930048194
6,0.596755362102797,1964029.163248855,1323.7039504728493,16204.259105123983,21.185708843674053,0.01480687365754835,Bekker-UKF,0.6051799984427428,1.4117403671514237
6,0.596755362102797,1964029.163248855,1323.7039504728493,16204.259105123983,21.185708843674053,0.01480687365754835,NN-UKF,0.5426184417473184,9.071878326273499
6,0.596755362102797,1964029.163248855,1323.7039504728493,16204.259105123983,21.185708843674053,0.01480687365754835,Learned MLP,0.6508157496225605,9.059053500461227
11,0.6998390774325318,3798016.682518744,6206.4200487808075,7119.682045633129,6.083147615877411,0.02484143645715026,Bekker-UKF,1.3601240033277784,94.34810761319649
11,0.6998390774325318,3798016.682518744,6206.4200487808075,7119.682045633129,6.083147615877411,0.02484143645715026,NN-UKF,0.7648713591644091,9.292462200090092
11,0.6998390774325318,3798016.682518744,6206.4200487808075,7119.682045633129,6.083147615877411,0.02484143645715026,Learned MLP,0.6310913008349064,9.823369230800502
4,0.9498347125904214,2913502.4575272375,11867.318909022524,2273.3916335551094,34.58680320881883,0.011740558904705035,Bekker-UKF,0.6526760286553815,31.28530469523678
4,0.9498347125904214,2913502.4575272375,11867.318909022524,2273.3916335551094,34.58680320881883,0.011740558904705035,NN-UKF,1.2844463122536627,35.22840292398634
4,0.9498347125904214,2913502.4575272375,11867.318909022524,2273.3916335551094,34.58680320881883,0.011740558904705035,Learned MLP,0.5836179921969795,38.555836667064234
3,0.6502523732664953,1088330.0659837238,5001.299751935611,16027.97694869514,12.80207674920702,0.02052332192497177,Bekker-UKF,0.6908760812107062,6.24737557513872
