model,terrain,path,coupling,rms_cte_mean_m,rms_cte_std_m,rms_speed_mean_mps,rms_speed_std_mps,speed_bias_mean_mps,throttle_sat_mean_frac,mean_u_mps,n_runs
MLP,clay,lane_change,open_loop,0.0917194128463253,,1.0584604818918213,,-0.0425807333333333,0.0,3.774933933333333,1
MLP,clay,lane_change,tire_fx,0.04577176972556296,0.002180761014975687,1.5131845246893445,0.015495432924039942,-0.11727583218441924,0.0,4.017890519798384,3
MLP,clay,sinusoidal,open_loop,0.3219342717842707,0.0031791361800459733,0.8009920335184829,0.010828746919710112,0.00934726666666665,0.095,4.478160933333333,2
MLP,clay,sinusoidal,tire_fx,0.29188199386081365,0.03070611011739399,0.9850502887102944,0.021516753735138488,-0.3863304499680318,0.0923249708559915,4.083150835994961,3
MLP,dirt,lane_change,open_loop,0.0141312337998901,0.0018859318617765403,0.7168216569099547,0.031971325548069786,0.07888626666666666,0.0,3.4953628444444447,3
MLP,dirt,lane_change,tire_fx,0.0569628876260197,0.012382164775931048,1.158412493433085,0.011293546745697894,0.36958121971684826,0.0,3.713518020087466,3
MLP,dirt,sinusoidal,open_loop,0.0517070385840649,0.008393081976010408,0.7718660314580369,0.026140429386251555,0.32942217777777777,0.0,5.330859222222223,3
MLP,dirt,sinusoidal,tire_fx,0.4840157320774772,0.020481587220505297,1.5929253292585963,0.05670124750428197,1.2204426184879817,0.0,6.2195502518664725,3
MLP,sand,lane_change,open_loop,0.019950067862714402,0.002289731139096175,0.865168491051164,0.006522995238311382,-0.3860608359498925,0.3865271662589875,3.5784058005633383,3
MLP,sand,lane_change,tire_fx,0.049000583302234835,0.004461915620882417,0.8597918227030853,0.0006793581383616745,-0.3759733403517293,0.5517058960040512,3.6181219719373616,3
MLP,sand,sinusoidal,open_loop,0.035085609235232865,0.0013204938155850952,0.7829304951587027,0.0037048077748345694,-0.7777855796160402,0.7897301904973686,4.220889445081906,3
MLP,sand,sinusoidal,tire_fx,0.036309625189289964,0.0006135844659132145,0.7940133786904612,0.002342301015335852,-0.7854088029797642,0.8494842487584315,4.214980288785116,3
Pacejka,clay,lane_change,open_loop,0.0341029015947954,0.004040775435160906,1.2591752924875648,0.33136753715129075,0.13913529999999996,0.0,3.8803020000000004,2
Pacejka,clay,lane_change,tire_fx,5.591715408654288,4.342445106050135,1.1894676477135242,0.1978073817064671,0.06390002510997038,0.023841354723707634,3.941957969012595,3
Pacejka,clay,sinusoidal,open_loop,2.069172068635996,0.09300670784072976,0.7558608251396143,0.028664361752186847,0.13755310432139947,0.0284491883477874,4.595020510310577,3
Pacejka,clay,sinusoidal,tire_fx,3.2081371184266474,0.6804609581592342,1.0142568989207321,0.06756233636372322,-0.20575801477686675,0.0,4.264998970842137,3
Pacejka,dirt,lane_change,open_loop,0.033326954675122,0.0004146455651791446,0.7471228822327589,0.008265949941183173,0.01997726666666655,0.0,3.5343008666666664,2
Pacejka,dirt,lane_change,tire_fx,0.07366549720511208,0.0072949735418137715,1.1486886957445495,0.09452755401842211,-0.047603117648802866,0.0,3.567355249544141,3
Pacejka,dirt,sinusoidal,open_loop,1.0967988656740502,0.06551127206778967,0.9812997265505184,0.022018793741166956,0.5561463333333334,0.0,5.556422333333333,3
Pacejka,dirt,sinusoidal,tire_fx,5.641645500579799,1.1274543616238888,0.944903113705157,0.056909895782836714,-0.2725341839924753,0.0,4.728549293631931,3
Pacejka,sand,lane_change,open_loop,0.03011842818322727,0.000976795917614088,0.874505372615435,0.00774176423317362,-0.39558239999999995,0.3171111111111111,3.582161644444445,3
Pacejka,sand,lane_change,tire_fx,0.040344867261927535,0.0019110266604192053,0.8320706498472727,0.0013732470423522768,-0.33342986666666663,0.708888888888889,3.5498174444444444,3
Pacejka,sand,sinusoidal,open_loop,0.09743869150288957,0.0018050084191078891,0.793178612749292,0.0030837897133492234,-0.7870414888888888,0.7693333333333333,4.2125708444444445,3
Pacejka,sand,sinusoidal,tire_fx,2.6870320707759223,0.15268520257959345,0.7233833477850825,0.006679704271775709,-0.7201032083184788,0.9962156862745098,4.278802255139632,3
