idx,n_true,Kphi,Kc,cohesion,friction_angle,janosi_shear,estimator,converged_n,pct_err
5,1.0618260528230925,668249.4895646033,19345.946357338762,11070.609710677863,27.123871627807016,0.021482806094690984,Bekker-UKF,0.4954999357521126,53.335112240397606
5,1.0618260528230925,668249.4895646033,19345.946357338762,11070.609710677863,27.123871627807016,0.021482806094690984,NN-UKF,1.2674722346298934,19.367219448048616
5,1.0618260528230925,668249.4895646033,19345.946357338762,11070.609710677863,27.123871627807016,0.021482806094690984,Learned MLP,1.299999999999964,22.43059930048194
10,0.7920125476939719,3649633.317272281,2327.9999519708185,18431.265157323473,29.179470152987964,0.016416399986731937,Bekker-UKF,0.9585069693363056,21.021689886997347
10,0.7920125476939719,3649633.317272281,2327.9999519708185,18431.265157323473,29.179470152987964,0.016416399986731937,NN-UKF,0.7526064122317453,4.975443328134348
10,0.7920125476939719,3649633.317272281,2327.9999519708185,18431.265157323473,29.179470152987964,0.016416399986731937,Learned MLP,0.5259503646677356,33.59317775973429
9,1.103540247833783,3077681.2384836306,4721.826201133398,1397.689922989045,36.913200366303826,0.01725691831626365,Bekker-UKF,0.7172034256258545,35.00885653842679
9,1.103540247833783,3077681.2384836306,4721.826201133398,1397.689922989045,36.913200366303826,0.01725691831626365,NN-UKF,1.3263977463993213,20.194777580881258
9,1.103540247833783,3077681.2384836306,4721.826201133398,1397.689922989045,36.913200366303826,0.01725691831626365,Learned MLP,0.8661818673724593,21.508810478571238
2,0.6308489599400158,1410928.7589389351,1039.7675301373297,15195.260766860943,13.081969788303743,0.012488389852581386,Bekker-UKF,0.8855658539702366,40.376842985433555
2,0.6308489599400158,1410928.7589389351,1039.7675301373297,15195.260766860943,13.081969788303743,0.012488389852581386,NN-UKF,0.5317485288221706,15.7090583342276
2,0.6308489599400158,1410928.7589389351,1039.7675301373297,15195.260766860943,13.081969788303743,0.012488389852581386,Learned MLP,0.5016193685530596,20.485028841015133
7,0.7337181277923127,2257976.439647804,9257.877592720422,17338.174572715387,15.905913317845767,0.011391696040466514,Bekker-UKF,0.9090250389851448,23.892950787561116
7,0.7337181277923127,2257976.439647804,9257.877592720422,17338.174572715387,15.905913317845767,0.011391696040466514,NN-UKF,0.8286088401314815,12.932856466922226
7,0.7337181277923127,2257976.439647804,9257.877592720422,17338.174572715387,15.905913317845767,0.011391696040466514,Learned MLP,0.47349340479685487,35.46657948583729
8,1.177331628704052,1397248.955549254,17672.966435794016,11719.506159669683,25.816431277795175,0.015540498188156875,Bekker-UKF,0.6295388100638066,46.5283362210551
8,1.177331628704052,1397248.955549254,17672.966435794016,11719.506159669683,25.816431277795175,0.015540498188156875,NN-UKF,1.3638610347741904,15.843403975773642
8,1.177331628704052,1397248.955549254,17672.966435794016,11719.506159669683,25.816431277795175,0.015540498188156875,Learned MLP,1.2016224103443496,2.0632064108424237
1,0.9977972963771675,3471226.2848696695,6417.387766525882,655.974342497333,27.709009071357226,0.016075803293215507,Bekker-UKF,1.3691551841765621,37.21776849343369
1,0.9977972963771675,3471226.2848696695,6417.387766525882,655.974342497333,27.709009071357226,0.016075803293215507,NN-UKF,0.9494146817602953,4.848942244335725
1,0.9977972963771675,3471226.2848696695,6417.387766525882,655.974342497333,27.709009071357226,0.016075803293215507,Learned MLP,0.6846640353696776,31.382452342216563
6,0.596755362102797,1964029.163248855,1323.7039504728493,16204.259105123983,21.185708843674053,0.01480687365754835,Bekker-UKF,0.8321644616198318,39.44817499209723
6,0.596755362102797,1964029.163248855,1323.7039504728493,16204.259105123983,21.185708843674053,0.01480687365754835,NN-UKF,0.5627788551346329,5.693540289012323
6,0.596755362102797,1964029.163248855,1323.7039504728493,16204.259105123983,21.185708843674053,0.01480687365754835,Learned MLP,0.517525254607982,13.276815346179795
3,0.6502523732664953,1088330.0659837238,5001.299751935611,16027.97694869514,12.80207674920702,0.02052332192497177,Bekker-UKF,0.6639150662746738,2.1011369692577855
3,0.6502523732664953,1088330.0659837238,5001.299751935611,16027.97694869514,12.80207674920702,0.02052332192497177,NN-UKF,0.578311042336914,11.063601439574807
