label,n_true,phi_true,throttle,steer_amp,seed,ok,wall_s,csv
lhs0003_n0460_phi341,0.460,34.13,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0003_n0460_phi341_thr40_amp70_seed0.csv
lhs0003_n0460_phi341,0.460,34.13,0.60,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0003_n0460_phi341_thr60_amp40_seed0.csv
lhs0004_n0463_phi223,0.463,22.30,0.40,0.40,0,1,24.9,data/terrain_traces_lhs/lhs0004_n0463_phi223_thr40_amp40_seed0.csv
lhs0003_n0460_phi341,0.460,34.13,0.60,0.70,0,1,24.9,data/terrain_traces_lhs/lhs0003_n0460_phi341_thr60_amp70_seed0.csv
lhs0004_n0463_phi223,0.463,22.30,0.40,0.70,0,1,24.9,data/terrain_traces_lhs/lhs0004_n0463_phi223_thr40_amp70_seed0.csv
lhs0004_n0463_phi223,0.463,22.30,0.60,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0004_n0463_phi223_thr60_amp40_seed0.csv
lhs0004_n0463_phi223,0.463,22.30,0.60,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0004_n0463_phi223_thr60_amp70_seed0.csv
lhs0005_n0468_phi139,0.468,13.93,0.40,0.40,0,1,24.7,data/terrain_traces_lhs/lhs0005_n0468_phi139_thr40_amp40_seed0.csv
lhs0005_n0468_phi139,0.468,13.93,0.60,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0005_n0468_phi139_thr60_amp40_seed0.csv
lhs0005_n0468_phi139,0.468,13.93,0.40,0.70,0,1,24.9,data/terrain_traces_lhs/lhs0005_n0468_phi139_thr40_amp70_seed0.csv
lhs0005_n0468_phi139,0.468,13.93,0.60,0.70,0,1,24.9,data/terrain_traces_lhs/lhs0005_n0468_phi139_thr60_amp70_seed0.csv
lhs0006_n0468_phi097,0.468,9.70,0.40,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0006_n0468_phi097_thr40_amp70_seed0.csv
lhs0006_n0468_phi097,0.468,9.70,0.40,0.40,0,1,24.9,data/terrain_traces_lhs/lhs0006_n0468_phi097_thr40_amp40_seed0.csv
lhs0006_n0468_phi097,0.468,9.70,0.60,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0006_n0468_phi097_thr60_amp40_seed0.csv
lhs0006_n0468_phi097,0.468,9.70,0.60,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0006_n0468_phi097_thr60_amp70_seed0.csv
lhs0007_n0473_phi136,0.473,13.63,0.40,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0007_n0473_phi136_thr40_amp70_seed0.csv
lhs0007_n0473_phi136,0.473,13.63,0.40,0.40,0,1,24.9,data/terrain_traces_lhs/lhs0007_n0473_phi136_thr40_amp40_seed0.csv
lhs0007_n0473_phi136,0.473,13.63,0.60,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0007_n0473_phi136_thr60_amp40_seed0.csv
lhs0008_n0476_phi122,0.476,12.22,0.40,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0008_n0476_phi122_thr40_amp40_seed0.csv
lhs0007_n0473_phi136,0.473,13.63,0.60,0.70,0,1,24.9,data/terrain_traces_lhs/lhs0007_n0473_phi136_thr60_amp70_seed0.csv
lhs0008_n0476_phi122,0.476,12.22,0.40,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0008_n0476_phi122_thr40_amp70_seed0.csv
lhs0008_n0476_phi122,0.476,12.22,0.60,0.40,0,1,24.9,data/terrain_traces_lhs/lhs0008_n0476_phi122_thr60_amp40_seed0.csv
lhs0008_n0476_phi122,0.476,12.22,0.60,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0008_n0476_phi122_thr60_amp70_seed0.csv
lhs0009_n0478_phi359,0.478,35.89,0.40,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0009_n0478_phi359_thr40_amp40_seed0.csv
lhs0009_n0478_phi359,0.478,35.89,0.60,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0009_n0478_phi359_thr60_amp40_seed0.csv
lhs0009_n0478_phi359,0.478,35.89,0.40,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0009_n0478_phi359_thr40_amp70_seed0.csv
lhs0009_n0478_phi359,0.478,35.89,0.60,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0009_n0478_phi359_thr60_amp70_seed0.csv
lhs0010_n0481_phi352,0.481,35.20,0.40,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0010_n0481_phi352_thr40_amp70_seed0.csv
lhs0010_n0481_phi352,0.481,35.20,0.40,0.40,0,1,24.9,data/terrain_traces_lhs/lhs0010_n0481_phi352_thr40_amp40_seed0.csv
lhs0010_n0481_phi352,0.481,35.20,0.60,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0010_n0481_phi352_thr60_amp40_seed0.csv
lhs0011_n0484_phi234,0.484,23.42,0.40,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0011_n0484_phi234_thr40_amp40_seed0.csv
lhs0010_n0481_phi352,0.481,35.20,0.60,0.70,0,1,24.9,data/terrain_traces_lhs/lhs0010_n0481_phi352_thr60_amp70_seed0.csv
