t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,clay,0.494,0.400,0.0000,0.0498,-0.0090,-0.0007,-0.6761,-0.0072,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,clay,0.494,0.400,0.0101,-0.0104,0.0196,-0.0013,-0.6120,0.0046,-0.0292,-0.0292,-0.0292,-0.0292,0.0000
0.0240,clay,0.494,0.400,0.0201,-0.1209,-0.0510,-0.0005,-0.2177,-0.0447,-0.0078,-0.0078,-0.0078,-0.0078,0.0047
0.0360,clay,0.494,0.400,0.0301,0.0020,-0.0876,-0.0041,-0.5200,0.0701,0.0153,0.0153,0.0153,0.0153,0.0122
0.0480,clay,0.494,0.400,0.0401,-0.0503,0.0193,-0.0024,0.1451,-0.0079,0.0227,0.0227,0.0227,0.0227,0.0177
0.0600,clay,0.494,0.400,0.0501,0.0451,-0.0578,-0.0015,0.4791,0.0066,-0.0148,-0.0148,-0.0148,-0.0148,0.0222
0.0720,clay,0.494,0.400,0.0601,-0.0243,0.0186,-0.0030,-0.1952,-0.0039,-0.0193,-0.0193,-0.0193,-0.0193,0.0265
0.0840,clay,0.494,0.400,0.0700,0.0585,-0.0903,-0.0015,-0.2430,-0.0943,-0.0068,-0.0068,-0.0068,-0.0068,0.0313
0.0960,clay,0.494,0.400,0.0799,-0.0291,0.0133,-0.0028,0.0571,0.2663,-0.0039,-0.0039,-0.0039,-0.0039,0.0364
0.1080,clay,0.494,0.400,0.0897,0.0016,0.0483,-0.0024,-0.0448,0.0210,-0.0043,-0.0043,-0.0043,-0.0043,0.0407
0.1200,clay,0.494,0.400,0.0995,-0.0789,0.0004,-0.0046,0.0697,-0.1319,-0.0083,-0.0083,-0.0083,-0.0083,0.0466
0.1320,clay,0.494,0.400,0.1092,0.0355,-0.0387,-0.0029,0.0481,-0.0383,-0.0269,-0.0269,-0.0269,-0.0269,0.0524
0.1440,clay,0.494,0.400,0.1188,-0.1081,0.0131,-0.0040,0.1783,-0.2821,-0.0184,-0.0184,-0.0184,-0.0184,0.0582
0.1560,clay,0.494,0.400,0.1284,-0.0471,-0.0618,-0.0002,-0.2272,0.2023,-0.0245,-0.0245,-0.0245,-0.0245,0.0613
0.1680,clay,0.494,0.400,0.1379,-0.0019,0.0098,-0.0014,0.1272,-0.0069,-0.0318,-0.0318,-0.0318,-0.0318,0.0647
0.1800,clay,0.494,0.400,0.1472,-0.0731,-0.0176,-0.0034,0.1400,-0.3815,-0.0406,-0.0406,-0.0406,-0.0406,0.0729
0.1920,clay,0.494,0.400,0.1565,0.0331,-0.0373,-0.0043,0.0412,-0.2549,-0.0486,-0.0486,-0.0486,-0.0486,0.0802
0.2040,clay,0.494,0.400,0.1658,-0.0419,0.0021,-0.0005,0.1205,0.6959,-0.0633,-0.0633,-0.0633,-0.0633,0.0820
0.2160,clay,0.494,0.400,0.1748,0.0083,0.0399,0.0017,-0.0046,0.1666,-0.0784,-0.0784,-0.0784,-0.0784,0.0829
0.2280,clay,0.494,0.400,0.1838,-0.0149,-0.0477,-0.0026,0.2653,0.2737,-0.0890,-0.0890,-0.0890,-0.0890,0.0871
0.2400,clay,0.494,0.400,0.1927,0.0492,0.0736,-0.0047,0.1528,-0.8398,-0.1088,-0.1088,-0.1088,-0.1088,0.0964
0.2520,clay,0.494,0.400,0.2014,-0.0175,0.0567,-0.0057,-0.0449,0.0444,-0.1254,-0.1254,-0.1254,-0.1254,0.1052
0.2640,clay,0.494,0.400,0.2101,-0.0578,0.0047,-0.0051,0.6261,-0.6158,-0.1553,-0.1551,-0.1552,-0.1552,0.1096
0.2760,clay,0.494,0.400,0.2186,-0.0361,-0.0124,0.0016,0.0432,0.2783,-0.1726,-0.1724,-0.1725,-0.1725,0.1098
0.2880,clay,0.494,0.400,0.2269,-0.0406,-0.0324,0.0007,-0.2538,0.0955,-0.2108,-0.2106,-0.2107,-0.2107,0.1112
0.3000,clay,0.494,0.400,0.2351,-0.0948,-0.0117,-0.0013,-0.2791,-0.4421,-0.2276,-0.2274,-0.2275,-0.2276,0.1157
0.3120,clay,0.494,0.400,0.2432,-0.0463,0.0382,-0.0055,0.0129,0.0538,-0.2521,-0.2519,-0.2520,-0.2520,0.1276
0.3240,clay,0.494,0.400,0.2511,0.0520,-0.0275,0.0065,0.0183,-0.1905,-0.2809,-0.2807,-0.2809,-0.2809,0.1237
0.3360,clay,0.494,0.400,0.2588,-0.0568,0.0301,-0.0046,-0.1166,1.5903,-0.3236,-0.3233,-0.3236,-0.3236,0.1317
0.3480,clay,0.494,0.400,0.2664,0.0600,-0.0331,-0.0005,-0.0227,0.0914,-0.3587,-0.3584,-0.3587,-0.3587,0.1340
0.3600,clay,0.494,0.400,0.2738,0.0480,0.0055,-0.0008,0.0058,0.0859,-0.3955,-0.3952,-0.3955,-0.3955,0.1374
0.3720,clay,0.494,0.400,0.2811,0.0826,0.1777,-0.0023,0.1076,-0.0719,-0.4387,-0.4385,-0.4387,-0.4387,0.1431
0.3840,clay,0.494,0.400,0.2881,-0.0319,0.1311,-0.0006,-0.0110,-0.0143,-0.4804,-0.4802,-0.4804,-0.4804,0.1462
0.3960,clay,0.494,0.400,0.2950,0.0105,0.0527,-0.0001,-0.1377,0.3695,-0.5280,-0.5278,-0.5280,-0.5280,0.1477
0.4080,clay,0.494,0.400,0.3017,0.0518,0.0212,-0.0035,0.0375,0.0970,-0.5698,-0.5696,-0.5698,-0.5698,0.1550
0.4200,clay,0.494,0.400,0.3082,0.0320,0.0512,-0.0017,-0.0262,-0.0454,-0.6215,-0.6212,-0.6215,-0.6215,0.1603
0.4320,clay,0.494,0.400,0.3145,0.0370,0.0406,0.0006,2.3060,-1.5680,-0.3607,-0.4361,-0.4527,-0.5629,0.1608
