t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,sand,1.113,0.600,0.0000,-0.0552,0.0778,-0.0010,-0.6833,-0.0109,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,sand,1.113,0.600,0.0101,-0.0033,0.0419,-0.0021,-0.6276,0.0256,-0.0291,-0.0291,-0.0291,-0.0291,0.0000
0.0240,sand,1.113,0.600,0.0201,0.0096,-0.0635,0.0011,-0.3021,-0.0505,-0.0056,-0.0056,-0.0056,-0.0056,0.0038
0.0360,sand,1.113,0.600,0.0301,-0.0454,-0.0319,-0.0037,-0.0036,0.0800,0.0154,0.0154,0.0154,0.0154,0.0129
0.0480,sand,1.113,0.600,0.0401,0.0515,0.0159,-0.0002,-0.0463,-0.1033,0.0223,0.0223,0.0223,0.0223,0.0177
0.0600,sand,1.113,0.600,0.0501,-0.0478,0.0316,-0.0001,0.6052,0.0158,-0.0171,-0.0171,-0.0171,-0.0171,0.0192
0.0720,sand,1.113,0.600,0.0601,-0.0133,-0.0053,-0.0021,-0.0461,0.0106,-0.0191,-0.0191,-0.0191,-0.0191,0.0258
0.0840,sand,1.113,0.600,0.0700,0.0477,-0.0059,-0.0046,-0.0542,-0.1164,-0.0040,-0.0040,-0.0040,-0.0040,0.0329
0.0960,sand,1.113,0.600,0.0799,0.0217,0.0919,-0.0017,0.0039,0.2051,-0.0108,-0.0108,-0.0108,-0.0108,0.0365
0.1080,sand,1.113,0.600,0.0897,-0.1180,-0.0440,-0.0004,0.0468,-0.0274,-0.0168,-0.0168,-0.0168,-0.0168,0.0416
0.1200,sand,1.113,0.600,0.0995,0.0093,0.0810,-0.0031,0.1248,-0.0377,-0.0260,-0.0260,-0.0260,-0.0260,0.0470
0.1320,sand,1.113,0.600,0.1092,-0.0564,0.0490,0.0009,0.1652,-0.0154,-0.0367,-0.0367,-0.0366,-0.0366,0.0517
0.1440,sand,1.113,0.600,0.1188,-0.0546,-0.0239,-0.0010,0.0483,-0.1880,-0.0537,-0.0537,-0.0537,-0.0537,0.0559
0.1560,sand,1.113,0.600,0.1284,-0.0211,0.0532,-0.0033,0.2205,0.2506,-0.0715,-0.0715,-0.0715,-0.0715,0.0624
0.1680,sand,1.113,0.600,0.1379,-0.0144,-0.0229,-0.0003,0.0070,-0.0233,-0.0869,-0.0869,-0.0869,-0.0869,0.0634
0.1800,sand,1.113,0.600,0.1472,0.0602,-0.0181,-0.0018,0.0912,0.4215,-0.1157,-0.1157,-0.1157,-0.1157,0.0677
0.1920,sand,1.113,0.600,0.1565,-0.0241,-0.0317,-0.0055,0.0544,-0.0409,-0.1422,-0.1422,-0.1422,-0.1422,0.0779
0.2040,sand,1.113,0.600,0.1658,-0.0032,0.0375,-0.0020,-0.0160,-0.2121,-0.1808,-0.1808,-0.1808,-0.1808,0.0827
0.2160,sand,1.113,0.600,0.1748,0.0069,0.0560,-0.0003,-0.0894,0.2356,-0.2191,-0.2191,-0.2191,-0.2191,0.0854
0.2280,sand,1.113,0.600,0.1838,0.0081,0.0712,-0.0028,-0.1488,0.0592,-0.2594,-0.2594,-0.2594,-0.2594,0.0881
0.2400,sand,1.113,0.600,0.1927,0.0410,0.0493,-0.0045,-0.3345,-0.6687,-0.2919,-0.2919,-0.2919,-0.2919,0.0973
0.2520,sand,1.113,0.600,0.2014,-0.0037,0.0121,-0.0031,0.3261,-0.6225,-0.3646,-0.3646,-0.3646,-0.3646,0.1007
0.2640,sand,1.113,0.600,0.2101,0.0124,0.0478,0.0002,0.6055,-0.0135,-0.4210,-0.4211,-0.4211,-0.4210,0.0984
0.2760,sand,1.113,0.600,0.2186,-0.1273,-0.0069,0.0011,-0.0115,0.1876,-0.4795,-0.4797,-0.4794,-0.4797,0.1054
0.2880,sand,1.113,0.600,0.2269,-0.0187,0.0326,-0.0045,-0.0457,-0.1947,-0.5557,-0.5559,-0.5556,-0.5559,0.1166
0.3000,sand,1.113,0.600,0.2351,-0.0362,0.0442,-0.0008,-0.0890,-0.7850,-0.6300,-0.6302,-0.6299,-0.6302,0.1205
0.3120,sand,1.113,0.600,0.2432,0.0162,0.0214,0.0004,0.0577,0.0989,-0.7060,-0.7061,-0.7058,-0.7062,0.1212
0.3240,sand,1.113,0.600,0.2511,-0.0356,-0.0610,-0.0016,-0.0169,0.2402,-0.7893,-0.7895,-0.7891,-0.7895,0.1246
0.3360,sand,1.113,0.600,0.2588,0.0480,0.0232,-0.0016,-0.0176,0.0227,-0.8925,-0.8926,-0.8923,-0.8926,0.1295
0.3480,sand,1.113,0.600,0.2664,-0.0156,0.0180,-0.0023,0.1103,0.0151,-1.0072,-1.0074,-1.0071,-1.0074,0.1354
0.3600,sand,1.113,0.600,0.2738,-0.0320,-0.0115,-0.0008,-0.0713,-0.2145,-1.1270,-1.1271,-1.1268,-1.1271,0.1395
0.3720,sand,1.113,0.600,0.2811,-0.0048,0.0314,-0.0016,0.0369,0.0652,-1.2679,-1.2680,-1.2677,-1.2681,0.1424
0.3840,sand,1.113,0.600,0.2881,-0.0073,0.0132,-0.0006,-0.0786,0.3502,-1.4217,-1.4219,-1.4216,-1.4219,0.1452
0.3960,sand,1.113,0.600,0.2950,-0.0927,0.0967,-0.0027,-0.0131,0.1728,-1.5718,-1.5720,-1.5717,-1.5720,0.1492
0.4080,sand,1.113,0.600,0.3017,-0.0704,0.1092,-0.0023,-0.0268,0.1145,-1.7692,-1.7693,-1.7690,-1.7694,0.1537
0.4200,sand,1.113,0.600,0.3082,-0.0147,0.0997,-0.0007,0.0299,0.1051,-1.9338,-1.9872,-1.9522,-1.9817,0.1578
0.4320,sand,1.113,0.600,0.3145,0.0614,0.0647,-0.0053,1.8960,-1.6346,-1.2678,-2.2508,-1.3980,-2.2729,0.1603
0.4440,sand,1.113,0.600,0.3206,0.1332,-0.0137,-0.0004,7.2339,-1.9659,-0.7715,-1.3380,-1.1716,-1.7961,0.1627
0.4560,sand,1.113,0.600,0.3265,0.1544,-0.0034,0.0096,4.6561,-0.5182,-0.9646,-0.3423,-1.3555,-1.6780,0.1677
0.4680,sand,1.113,0.600,0.3322,0.3327,0.0556,0.0266,4.8909,1.2037,-1.2401,-0.3186,-1.1912,-1.4152,0.1688
0.4800,sand,1.113,0.600,0.3377,0.2902,-0.0158,0.0266,5.3561,-1.3945,-1.2473,-0.6538,-0.9681,-1.2274,0.1641
