filter,delay_s,mpc_delay_comp,n_runs,n_ok,collisions_mean,min_clearance_m_mean,rms_cte_m_mean,speed_ratio_mean,intervention_rate_pct_mean
none,0.0,on,1,1,1.0,-1.626,0.909511787321484,0.5297897719087634,
mppi,0.0,on,1,1,0.0,0.1878000000000002,0.851253486481939,0.2822452261306533,64.8
