t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0960,sand,1.100,0.082,0.3258,0.0720,-0.0570,-0.0471,3.3113,-9.9325,0.0128,0.0123,0.0114,0.0120,0.1106
0.1080,sand,1.100,0.087,0.3485,-0.0902,0.0335,-0.0567,0.3956,-0.7509,0.0166,0.0161,0.0153,0.0159,0.2099
0.1200,sand,1.100,0.093,0.3712,-0.0514,-0.0394,-0.0347,0.2220,0.3518,0.0134,0.0108,0.0108,0.0119,0.2679
0.1320,sand,1.100,0.099,0.3939,-0.0302,0.0137,-0.0137,-3.5865,-0.3907,0.0122,0.0104,0.0096,0.0115,0.2727
0.1440,sand,1.100,0.106,0.4167,-0.0883,-0.0137,-0.0059,0.0142,1.7607,0.0054,0.0035,0.0030,0.0049,0.2589
0.1560,sand,1.100,0.112,0.4394,0.0133,0.0257,-0.0096,0.6581,0.0680,0.0046,0.0027,0.0022,0.0041,0.2451
0.1680,sand,1.100,0.119,0.4621,0.0465,0.0171,-0.0126,-0.0051,-1.2606,0.0035,0.0015,0.0010,0.0029,0.2409
0.1800,sand,1.100,0.126,0.4848,-0.0475,0.0037,-0.0130,0.1199,0.4898,0.0053,0.0033,0.0029,0.0047,0.2427
0.1920,sand,1.100,0.134,0.5076,0.0157,0.0151,-0.0303,0.7781,-1.5713,0.0083,0.0063,0.0058,0.0077,0.2855
0.2040,sand,1.100,0.150,0.5530,-0.0206,0.0210,-0.0261,0.3037,-0.2225,0.0107,0.0084,0.0080,0.0099,0.2971
0.2160,sand,1.100,0.150,0.5530,-0.0577,-0.0022,-0.0102,-1.6519,0.0348,0.0067,0.0044,0.0039,0.0058,0.2723
0.2280,sand,1.100,0.158,0.5758,0.0274,0.0303,-0.0172,-0.6236,0.7847,0.0023,0.0007,0.0001,0.0020,0.2764
0.2400,sand,1.100,0.166,0.5985,0.0445,0.0647,-0.0228,-0.4530,1.9155,0.0038,0.0022,0.0016,0.0035,0.2985
0.2520,sand,1.100,0.175,0.6212,0.1277,0.0305,-0.0247,0.0906,-0.8212,0.0063,0.0048,0.0042,0.0061,0.3265
0.2640,sand,1.100,0.184,0.6439,0.0173,0.0742,-0.0264,0.0999,-0.0161,0.0074,0.0059,0.0052,0.0071,0.3547
0.2760,sand,1.100,0.192,0.6667,0.0196,-0.1018,-0.0244,-1.4738,0.4049,0.0069,0.0052,0.0045,0.0064,0.3636
0.2880,sand,1.100,0.202,0.6894,0.0599,-0.0538,-0.0168,0.4904,0.1929,0.0052,0.0035,0.0028,0.0046,0.3570
0.3000,sand,1.100,0.211,0.7121,-0.0566,0.0224,-0.0172,-0.0139,0.4740,0.0021,0.0004,-0.0003,0.0015,0.3546
