t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0960,clay,0.500,0.082,0.3258,-0.0003,-0.0317,-0.0537,-1.5924,-0.2481,0.0115,0.0112,0.0117,0.0118,0.1710
0.1080,clay,0.500,0.087,0.3485,0.0682,0.0492,-0.0295,-3.6287,-1.3878,0.0103,0.0104,0.0104,0.0104,0.2160
0.1200,clay,0.500,0.093,0.3712,0.0188,0.0168,-0.0193,-3.3245,-1.4533,0.0440,0.0428,0.0434,0.0434,0.2304
0.1320,clay,0.500,0.099,0.3939,-0.0192,-0.0508,-0.0100,0.3833,-0.0803,0.0100,0.0084,0.0094,0.0091,0.2222
0.1440,clay,0.500,0.106,0.4167,-0.0609,-0.0147,-0.0095,-0.1062,0.1288,0.0044,0.0028,0.0039,0.0035,0.2188
0.1560,clay,0.500,0.112,0.4394,0.0596,-0.0370,-0.0136,0.6134,0.2421,0.0061,0.0045,0.0056,0.0052,0.2358
0.1680,clay,0.500,0.119,0.4621,0.1079,-0.0047,-0.0206,0.0095,-0.0140,0.0074,0.0058,0.0069,0.0065,0.2557
0.1800,clay,0.500,0.126,0.4848,0.0144,-0.0347,-0.0127,-2.7131,0.2470,0.0064,0.0048,0.0059,0.0055,0.2564
0.1920,clay,0.500,0.134,0.5076,0.0083,-0.0678,-0.0119,0.0617,-0.1219,0.0122,0.0107,0.0118,0.0114,0.2555
0.2040,clay,0.500,0.150,0.5530,0.0527,-0.0550,-0.0186,0.7732,3.3665,0.0034,0.0019,0.0029,0.0025,0.2757
0.2160,clay,0.500,0.150,0.5530,0.0078,0.0665,-0.0212,-1.4134,0.5969,0.0076,0.0061,0.0071,0.0067,0.3000
0.2280,clay,0.500,0.158,0.5758,0.1059,-0.0545,-0.0176,0.0061,0.0706,0.0072,0.0058,0.0067,0.0064,0.3161
0.2400,clay,0.500,0.166,0.5985,0.0500,-0.0086,-0.0106,0.0117,0.3147,0.0056,0.0041,0.0051,0.0047,0.3130
0.2520,clay,0.500,0.175,0.6212,-0.0053,-0.0657,-0.0119,-0.0696,-0.0049,0.0042,0.0028,0.0037,0.0034,0.3054
0.2640,clay,0.500,0.184,0.6439,0.0117,0.0741,-0.0255,-0.6842,-1.0433,0.0026,0.0014,0.0023,0.0019,0.3463
0.2760,clay,0.500,0.192,0.6667,-0.0482,0.0150,-0.0241,-0.0700,0.2417,0.0063,0.0052,0.0061,0.0057,0.3776
0.2880,clay,0.500,0.202,0.6894,-0.0156,0.0689,-0.0141,-0.1197,0.0616,0.0047,0.0035,0.0045,0.0041,0.3739
0.3000,clay,0.500,0.211,0.7121,0.0135,-0.0193,-0.0125,0.4110,0.2787,0.0012,-0.0001,0.0009,0.0005,0.3655
0.3120,clay,0.500,0.220,0.7348,-0.0874,0.0422,-0.0189,-2.1136,2.9734,-0.0026,-0.0043,-0.0031,-0.0035,0.3730
0.3240,clay,0.500,0.230,0.7576,0.0279,0.0713,-0.0181,2.9240,0.3755,0.0000,-0.0016,-0.0004,-0.0008,0.3892
0.3360,clay,0.500,0.240,0.7803,0.0067,0.0128,-0.0199,-0.2095,-0.1503,-0.0001,-0.0017,-0.0006,-0.0010,0.4093
0.3480,clay,0.500,0.250,0.8030,0.0519,0.0375,-0.0183,-0.0755,0.1076,-0.0029,-0.0044,-0.0033,-0.0038,0.4188
0.3600,clay,0.500,0.260,0.8258,-0.0487,0.0214,-0.0178,-0.0007,-0.0705,-0.0031,-0.0047,-0.0036,-0.0040,0.4262
0.3720,clay,0.500,0.270,0.8485,-0.0168,-0.0807,-0.0157,0.1309,0.0012,-0.0091,-0.0106,-0.0095,-0.0100,0.4288
0.3840,clay,0.500,0.280,0.8712,-0.0049,-0.0670,-0.0177,0.1726,0.1686,-0.0108,-0.0123,-0.0112,-0.0116,0.4403
0.3960,clay,0.500,0.291,0.8939,0.0445,0.1305,-0.0217,0.3121,-0.0138,-0.0138,-0.0152,-0.0141,-0.0146,0.4565
0.4080,clay,0.500,0.312,0.9394,-0.0092,-0.0175,-0.0183,0.0662,0.0774,-0.0160,-0.0174,-0.0164,-0.0168,0.4736
