t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.1440,dirt,0.700,0.018,0.3258,0.0443,-0.0152,-0.0394,2.3432,-1.7147,0.0067,0.0061,0.0064,0.0064,0.0784
0.1560,dirt,0.700,0.021,0.3485,0.0490,-0.1094,-0.0476,-0.6140,-0.2360,0.0128,0.0122,0.0125,0.0125,0.1755
0.1680,dirt,0.700,0.024,0.3712,0.0190,0.0424,-0.0220,-0.8892,-0.2041,0.0167,0.0147,0.0157,0.0157,0.2299
0.1800,dirt,0.700,0.028,0.3939,-0.0306,0.0687,-0.0082,0.7342,0.3990,0.0107,0.0086,0.0096,0.0096,0.2165
0.1920,dirt,0.700,0.032,0.4167,0.0100,-0.0441,-0.0132,-0.1697,0.7050,0.0083,0.0061,0.0073,0.0073,0.2140
0.2040,dirt,0.700,0.041,0.4621,-0.0038,-0.0133,-0.0166,0.0405,-0.1327,0.0069,0.0047,0.0059,0.0059,0.2327
0.2160,dirt,0.700,0.041,0.4621,-0.0481,0.0186,-0.0195,-1.7323,-0.3756,0.0081,0.0058,0.0070,0.0070,0.2503
0.2280,dirt,0.700,0.046,0.4848,0.0438,0.0157,-0.0153,-0.1515,-0.9858,0.0034,0.0012,0.0024,0.0024,0.2622
0.2400,dirt,0.700,0.052,0.5076,0.0345,-0.0128,-0.0150,0.0533,1.0356,0.0073,0.0050,0.0062,0.0062,0.2669
0.2520,dirt,0.700,0.058,0.5303,0.0417,-0.0469,-0.0184,0.2722,-0.5060,0.0062,0.0040,0.0052,0.0052,0.2816
0.2640,dirt,0.700,0.064,0.5530,0.0020,-0.0185,-0.0137,0.0515,1.0001,0.0173,0.0151,0.0162,0.0162,0.2942
0.2760,dirt,0.700,0.071,0.5758,-0.0756,0.0259,-0.0147,-1.6443,-0.2616,0.0075,0.0053,0.0064,0.0064,0.3008
0.2880,dirt,0.700,0.077,0.5985,-0.0356,0.0357,-0.0163,-0.2160,0.3063,0.0056,0.0035,0.0046,0.0046,0.3114
0.3000,dirt,0.700,0.084,0.6212,0.0427,0.0406,-0.0203,-0.0652,-0.4106,0.0053,0.0031,0.0042,0.0043,0.3320
0.3120,dirt,0.700,0.092,0.6439,-0.0814,0.0847,-0.0172,-0.3296,0.1754,0.0071,0.0049,0.0060,0.0060,0.3474
