experiment,variant,controller_mode,mpc_model,nn_model,terrain,path,speed_mps,bumpiness,seed,run_dir,status,rc,wall_s,sim_s,rt_factor,diag_csv,collision_csv,shield_csv,n_samples,rms_cte_m,max_abs_cte_m,mean_abs_cte_m,mean_speed_mps,p95_speed_mps,speed_ratio,mean_solve_ms,p99_solve_ms,progress_m,final_x_m,final_y_m,collisions,near_misses,min_clearance_m,intervention_rate_pct,mean_abs_dsteer,mean_abs_dthrottle,notes,extra_sim_diag_csv,extra_mean_vtheta_cmd,extra_mean_vmax_path
mpcc_vs_mpc_speed_tracking,standard_mpc,standard,nn,closed_loop_v1_mlp_32_16,clay,sinusoidal,5.0,0,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0000_standard_mpc_clay_sinusoidal_v5_b0_s200,ok,0,24.8983736038208,8.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0000_standard_mpc_clay_sinusoidal_v5_b0_s200/20260513_010503_737639_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,667,0.08304627407008698,0.158605,0.06586419599999999,2.2205012,3.663465,0.44410024000000003,4.3728035982009,4.893400000000001,14.446324976758312,15.758545,1.608705,0,0,,,,,Baseline reference-tracking MPC with the closed-loop NN surrogate.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc,standard,nn,closed_loop_v1_mlp_32_16,clay,sinusoidal,5.0,4,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0001_standard_mpc_clay_sinusoidal_v5_b4_s200,ok,0,10.701262950897217,8.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0001_standard_mpc_clay_sinusoidal_v5_b4_s200/20260513_010514_127300_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,667,0.08018963633870652,0.176389,0.06522941399999999,2.7173846,3.8484949999999993,0.54347692,5.5053223388305845,7.4634,17.75118050953551,18.869942,0.511072,0,0,,,,,Baseline reference-tracking MPC with the closed-loop NN surrogate.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc,standard,nn,closed_loop_v1_mlp_32_16,clay,lane_change,5.0,0,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0002_standard_mpc_clay_lane_change_v5_b0_s200,ok,0,10.297433376312256,8.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0002_standard_mpc_clay_lane_change_v5_b0_s200/20260513_010524_827088_clay_lane_change_acados_static_mlp/diag_clay_lane_change_acados_static_mlp.csv,,,667,0.09877290661570104,0.234443,0.06631161800000002,3.947701,4.535405,0.7895402,4.405202398800599,4.81,25.058083807512226,26.369529,2.530751,0,0,,,,,Baseline reference-tracking MPC with the closed-loop NN surrogate.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc,standard,nn,closed_loop_v1_mlp_32_16,clay,lane_change,5.0,4,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0003_standard_mpc_clay_lane_change_v5_b4_s200,ok,0,10.647539854049683,8.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0003_standard_mpc_clay_lane_change_v5_b4_s200/20260513_010535_144756_clay_lane_change_acados_static_mlp/diag_clay_lane_change_acados_static_mlp.csv,,,667,0.09793272932805457,0.230188,0.070538426,4.007785999999999,4.59035,0.8015571999999999,5.250329835082459,6.103400000000001,25.63812530555991,26.927967,2.620282,0,0,,,,,Baseline reference-tracking MPC with the closed-loop NN surrogate.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc,standard,nn,closed_loop_v1_mlp_32_16,sand,sinusoidal,5.0,0,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0004_standard_mpc_sand_sinusoidal_v5_b0_s200,ok,0,24.14873480796814,8.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0004_standard_mpc_sand_sinusoidal_v5_b0_s200/20260513_010559_965142_sand_sinusoidal_acados_static_mlp/diag_sand_sinusoidal_acados_static_mlp.csv,,,663,0.14220950837485516,0.249631,0.12323957799999999,2.9683453999999996,4.15447,0.59366908,2.9858672699849165,6.329199999999998,18.76986108217988,19.613319,0.152274,0,0,,,,,Baseline reference-tracking MPC with the closed-loop NN surrogate.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc,standard,nn,closed_loop_v1_mlp_32_16,sand,sinusoidal,5.0,4,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0005_standard_mpc_sand_sinusoidal_v5_b4_s200,ok,0,10.653562545776367,8.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0005_standard_mpc_sand_sinusoidal_v5_b4_s200/20260513_010609_981409_sand_sinusoidal_acados_static_mlp/diag_sand_sinusoidal_acados_static_mlp.csv,,,667,0.14289593331452088,0.2578,0.122795496,2.9624638000000005,4.186204999999999,0.5924927600000001,2.679535232383808,5.777000000000001,20.211724444472683,20.945817,-0.469515,0,0,,,,,Baseline reference-tracking MPC with the closed-loop NN surrogate.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc,standard,nn,closed_loop_v1_mlp_32_16,sand,lane_change,5.0,0,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0006_standard_mpc_sand_lane_change_v5_b0_s200,ok,0,10.400527238845825,8.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0006_standard_mpc_sand_lane_change_v5_b0_s200/20260513_010620_623655_sand_lane_change_acados_static_mlp/diag_sand_lane_change_acados_static_mlp.csv,,,667,0.09829954335763721,0.21772,0.085869528,4.229683199999999,4.36772,0.8459366399999999,4.019370314842579,6.033800000000002,27.62684004328859,28.897213,3.011434,0,0,,,,,Baseline reference-tracking MPC with the closed-loop NN surrogate.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc,standard,nn,closed_loop_v1_mlp_32_16,sand,lane_change,5.0,4,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0007_standard_mpc_sand_lane_change_v5_b4_s200,ok,0,10.651261329650879,8.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0007_standard_mpc_sand_lane_change_v5_b4_s200/20260513_010631_024892_sand_lane_change_acados_static_mlp/diag_sand_lane_change_acados_static_mlp.csv,,,667,0.10209210720596378,0.200523,0.090556918,4.2359336,4.38044,0.8471867200000001,4.044587706146927,6.951400000000007,27.82847342186961,29.099692,3.081825,0,0,,,,,Baseline reference-tracking MPC with the closed-loop NN surrogate.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc_soft_speed,standard,nn,closed_loop_v1_mlp_32_16,clay,sinusoidal,5.0,0,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0008_standard_mpc_soft_speed_clay_sinusoidal_v5_b0_s200,ok,0,24.04680299758911,8.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0008_standard_mpc_soft_speed_clay_sinusoidal_v5_b0_s200/20260513_010655_869476_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,657,0.07148191203610427,0.181159,0.05580473493975903,1.960841967871486,2.9784349999999997,0.39216839357429717,4.584383561643835,7.275199999999951,12.350630933435827,13.650103,1.940082,0,0,,,,,Same MPC with weaker speed tracking so turns prioritize path tracking over v_ref recovery.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc_soft_speed,standard,nn,closed_loop_v1_mlp_32_16,clay,sinusoidal,5.0,4,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0009_standard_mpc_soft_speed_clay_sinusoidal_v5_b4_s200,ok,0,10.651795625686646,8.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_010447/raw/0009_standard_mpc_soft_speed_clay_sinusoidal_v5_b4_s200/20260513_010705_708992_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,667,0.0770231852682035,0.196679,0.056382576000000004,2.2299788,3.254765,0.44599576,4.822323838080959,6.12,14.87602622751093,16.146489,1.476312,0,0,,,,,Same MPC with weaker speed tracking so turns prioritize path tracking over v_ref recovery.,,,
