slip_front_mean,slip_front_std,slip_front_max,slip_rear_mean,slip_rear_std,slip_rear_max,yaw_accel_std,az_std,sideslip_ratio_mean,yaw_rate_mean,ax_std,ay_std,speed_mean,steering_std,terrain_label
7.235694253012908,12.555029405777187,63.27921209852209,128.45815456969618,511.0345610765167,4303.085357971507,0.40612407765154707,16.134555304937923,0.11219069570082899,0.01886856962745654,3.6425932111579664,1.6641252588356352,0.9868308922061632,0.026200108830778054,dirt
4.3584593911357485,10.615236076907713,63.27921209852209,40.12452811013034,210.35102185667955,1865.2632258773256,0.4069467569112548,14.814801906135646,0.09073218650407389,0.019776653230659504,3.39003096987583,1.742855097121778,1.696879697960431,0.034281512229795676,dirt
1.0822526659808647,0.9770098688220974,3.130904020271772,0.28669719250181425,0.22354409054876062,0.8089120226897861,0.224245760033844,3.663848771294438,0.04579474673284878,0.015632857340757273,1.7108813573373667,1.2839793399341046,2.410421517584937,0.03632333540199986,dirt
0.6798198252421972,0.8100983686191644,3.1197769016317265,0.16667306709188767,0.12067153843471438,0.6732617056327557,0.18927129004243565,1.8790626779456687,0.020795486479875693,0.008151015378416601,1.6018858496578428,1.194653074353263,3.020667053365589,0.03055681039278963,dirt
0.2415049674317282,0.16852054406392977,0.5996933502739159,0.10326962578256214,0.05592198776603584,0.19910976922023815,0.20518249400291985,1.9963614610306188,0.014580850452923847,0.01222154916908332,1.271045045096865,1.220593996267104,3.545364453088994,0.05427626986062545,dirt
0.13609425179835008,0.08527998472954275,0.3993529179937766,0.06793472318204553,0.05378099842863741,0.19910976922023815,0.2293484966404472,1.9522398215578791,0.015254826057931927,0.030844005521394637,1.2746732227776132,1.034161281602594,3.9256109102958625,0.09843123259942722,dirt
0.08326855416971433,0.043818717466047846,0.19745517285608996,0.03954480470344418,0.037449909655661626,0.18640102983852624,0.21631480246943033,1.9423644858373332,0.02187663230973687,0.060921918652687014,1.1768788304321238,1.0871295945211608,4.186567520477436,0.11674234339967964,dirt
0.10133742560421952,0.10153173013897278,0.4087278156285643,0.04077520450918329,0.06605820245100306,0.3413215126660032,0.2179407033371535,0.9656193428852912,0.03249704633105078,0.10036796156047904,1.2347244258249708,1.1363430478897973,4.382215097131718,0.0969880174372445,dirt
0.14882752301638624,0.13093021804156685,0.4087278156285643,0.05250712871341806,0.06771637522631195,0.3413215126660032,0.19589441301295404,0.5242557320427311,0.038242476508759296,0.1464957616062498,1.3523299639445776,1.1084961918911962,4.651915719632901,0.05349326062207066,dirt
0.1839420606781734,0.12524347486101936,0.4087278156285643,0.06867297557900572,0.06486288694088416,0.3413215126660032,0.24365897770734699,0.40986592799240484,0.037387712907804925,0.17317003452551566,1.397148236338173,1.1700618399045088,4.991830761231098,0.06349659141027571,dirt
0.22163591257277077,0.0973613331583204,0.4087278156285643,0.07631014655353265,0.060388941122480534,0.3413215126660032,0.3352045347971648,0.3777479250394033,0.029526411241441803,0.1622278770921766,1.2883314210129218,1.1930749173479922,5.412247904725639,0.13107715134997835,dirt
