name,estimated_runs,note,command
safety,1620,Obstacle safety shield comparison.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/safety_filter_sweep.py --flavors none dob_cbf mppi nmpc --terrains clay dirt sand --paths sinusoidal lane_change right_left --speeds 5 7 9 --bumpiness 0 4 8 --seeds 5 --time 15.0 --base-port 81000
terrain_estimator,270,Terrain estimator under excited sinusoidal maneuvers.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/terrain_estimator_benchmark.py --distributions id ood --terrains clay dirt sand --paths sinusoidal --speeds 5 7 --bumpiness 0 4 8 --seeds 5 --ood-terrains 6 --time 20 --metric-start 8 --base-port 111000
latency_compensation,1215,5G-profile command/camera latency robustness.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/latency_compensation_sweep.py --filters none dob_cbf mppi --latency-profile-json /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/config/latency_profiles/5g_nhits_youtube_ul_scm_youtube_ul_smoke.json --terrains clay dirt sand --paths sinusoidal lane_change right_left --speeds 5 7 9 --bumpiness 0 4 8 --seeds 5 --time 15.0 --base-port 121000
