name,estimated_runs,note,command
tire_models,1,Quick smoke run.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/mpc_tire_model_sweep.py --quick --base-port 20000
mpcc,1,Quick smoke run.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/mpcc_vs_mpc_speed_tracking.py --quick --base-port 25000
safety,1,Quick smoke run.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/safety_filter_sweep.py --quick --base-port 30000
dob_cbf_ablation,1,Quick smoke run.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/dob_cbf_nn_ablation.py --quick --base-port 35000
autonomous_obstacle_tire,1,Quick smoke run.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/autonomous_obstacle_tire_model_sweep.py --quick --base-port 40000
terrain_estimator,1,Quick smoke run.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/terrain_estimator_benchmark.py --quick --base-port 45000
latency_profile,0,Latency profile raw data/figures.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/latency_profile_figure.py --profile-json /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/config/latency_profiles/5g_nhits_youtube_ul_scm_youtube_ul_smoke.json
latency_compensation,2,Quick latency profile closed-loop smoke run.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/latency_compensation_sweep.py --quick --base-port 50000 --latency-profile-json /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/config/latency_profiles/5g_nhits_youtube_ul_scm_youtube_ul_smoke.json
