model,terrain,path,rms_mean_m,rms_std_m,n_runs
MLP,clay,lane_change,0.10276688309397497,0.013546974254281563,5
MLP,clay,sinusoidal,0.2961225066578347,0.012468546732582658,5
MLP,dirt,lane_change,0.01713756246748225,0.0016030414700872258,5
MLP,dirt,sinusoidal,0.0879424525378779,0.012075867508271056,5
MLP,sand,lane_change,0.018043648138700203,0.0011739514200808819,5
MLP,sand,sinusoidal,0.0650687399050185,0.008265852057747275,5
Pacejka,clay,lane_change,0.04014676867981688,0.0010339033793412304,2
Pacejka,clay,sinusoidal,0.8350291165192688,0.3858956044438668,5
Pacejka,dirt,lane_change,0.03728527411102851,0.0015146675044297913,5
Pacejka,dirt,sinusoidal,0.6022262696058079,0.09381497375149316,5
Pacejka,sand,lane_change,0.026978984846350713,0.00040128106875457644,5
Pacejka,sand,sinusoidal,0.10052671708062992,0.001617963814691451,5
Rate-MLP,clay,lane_change,0.08722360127256013,0.024160983034718343,3
Rate-MLP,clay,sinusoidal,0.29624820365491644,0.07226121653065627,5
Rate-MLP,dirt,lane_change,0.017941082267612773,0.0009380224756615281,5
Rate-MLP,dirt,sinusoidal,0.06782924326148118,0.004491510172813594,5
Rate-MLP,sand,lane_change,0.01765279521674263,0.0009368029161813813,5
Rate-MLP,sand,sinusoidal,0.05032926078834789,0.004869755949836618,5
Rate-ResNet,clay,lane_change,0.12871016710081098,0.00830700146344737,3
Rate-ResNet,clay,sinusoidal,0.3056899813192556,0.03799485694400298,5
Rate-ResNet,dirt,lane_change,0.01540585461959804,0.0011524366769786695,5
Rate-ResNet,dirt,sinusoidal,0.06471602364359016,0.01060983980655761,5
Rate-ResNet,sand,lane_change,0.01669408114802227,0.000995394053339544,5
Rate-ResNet,sand,sinusoidal,0.05049069844639818,0.004446522960745671,5
ResNet,clay,lane_change,0.11449521299972444,0.04808332225723243,3
ResNet,clay,sinusoidal,0.33102333740248413,0.03984328177807962,5
ResNet,dirt,lane_change,0.019485149006679303,0.0003917249857589101,4
ResNet,dirt,sinusoidal,0.07735212625890447,0.007753356180870552,5
ResNet,sand,lane_change,0.01889558809703785,0.0012681922467107306,5
ResNet,sand,sinusoidal,0.05260692724906586,0.005375652723529879,5
TMeasy,clay,lane_change,0.029803610767297272,0.001067471278196872,5
TMeasy,clay,sinusoidal,1.5744941901089764,0.5101475699299718,5
TMeasy,dirt,lane_change,0.026204793987504815,0.002395437300360875,3
TMeasy,dirt,sinusoidal,1.7114474546182055,0.6020610649416309,5
TMeasy,sand,lane_change,0.02113575993838001,0.0012023677838027714,5
TMeasy,sand,sinusoidal,0.08014623826989806,0.0030443934061182613,5
