idx,model,terrain,path,repeat,coupling,rms_cte_m,rms_speed_mps,speed_bias_mps,throttle_sat_frac,mean_u_mps,wall_s,error
50,MLP,sand,lane_change,2,tire_fx,0.04582957464471482,0.8598924142853729,-0.3727212950600801,0.5607476635514018,3.6068517356475303,24.1,
51,MLP,sand,sinusoidal,0,tire_fx,0.03674276726476473,0.7915342568328928,-0.783213,0.8693333333333333,4.217741333333334,24.1,
52,MLP,sand,sinusoidal,1,tire_fx,0.03657862273955032,0.7943165421833566,-0.7857154769846564,0.8458972648432288,4.2146665777184795,24.1,
53,MLP,sand,sinusoidal,2,tire_fx,0.035607485563554926,0.7961893370551338,-0.7872979319546364,0.8332221480987325,4.212532955303536,24.1,
54,Pacejka,clay,lane_change,0,tire_fx,7.288435364739704,0.9762994826895416,-0.02381008010680909,0.0,3.7824518024032043,25.2,
55,Pacejka,clay,lane_change,1,tire_fx,0.6570752710991534,1.367095803326648,0.1794268666666666,0.0,3.8535328666666673,24.1,
56,Pacejka,clay,lane_change,2,tire_fx,8.829635590124004,1.2250076571243826,0.0360832887700535,0.07152406417112299,4.189889237967915,24.1,
57,Pacejka,clay,sinusoidal,0,tire_fx,3.8358178045642775,1.0909674960503142,-0.2328290860573716,0.0,4.2426707805203465,24.0,
58,Pacejka,clay,sinusoidal,1,tire_fx,3.3036130745279593,0.9636019047929564,-0.1753987324883256,0.0,4.288190193462309,24.0,
59,Pacejka,clay,sinusoidal,2,tire_fx,2.484980476187706,0.9882012959189261,-0.20904622578490312,0.0,4.264135938543754,24.0,
60,Pacejka,dirt,lane_change,0,tire_fx,0.0699821956799823,1.1496814080228197,-0.07584846666666664,0.0,3.565715466666667,25.2,
61,Pacejka,dirt,lane_change,1,tire_fx,0.06894653775352803,1.0536686951535887,-0.061331466666666626,0.0,3.532627333333334,24.0,
62,Pacejka,dirt,lane_change,2,tire_fx,0.08206775818182595,1.24271598405724,-0.005629419613075406,0.0,3.603722948632422,24.0,
63,Pacejka,dirt,sinusoidal,0,tire_fx,5.8995911359079605,0.9303972757916554,-0.24771734489659775,0.0,4.752774249499666,24.0,
64,Pacejka,dirt,sinusoidal,1,tire_fx,4.407570255782336,0.8966499812996126,-0.34430354041416167,0.0,4.65798236472946,24.0,
65,Pacejka,dirt,sinusoidal,2,tire_fx,6.617775110049102,1.007662084024203,-0.22558166666666668,0.0,4.774891266666667,23.9,
66,Pacejka,sand,lane_change,0,tire_fx,0.04254232605649735,0.8308401898800997,-0.33465493333333335,0.714,3.5476962,24.0,
67,Pacejka,sand,lane_change,1,tire_fx,0.039420505383002555,0.833552068979497,-0.3328119333333333,0.7113333333333334,3.5503367333333333,24.0,
68,Pacejka,sand,lane_change,2,tire_fx,0.039071770346282834,0.8318196906822216,-0.33282273333333334,0.7013333333333334,3.5514194,24.0,
69,Pacejka,sand,sinusoidal,0,tire_fx,2.786333247658387,0.7306100473303114,-0.7276541999999999,0.996,4.270586733333333,23.9,
70,Pacejka,sand,sinusoidal,1,tire_fx,2.7635449805783954,0.7221044271548109,-0.71833435828877,0.9926470588235294,4.280062032085561,23.9,
71,Pacejka,sand,sinusoidal,2,tire_fx,2.5112179840909836,0.7174355688701252,-0.7143210666666666,1.0,4.2857579999999995,24.0,
