idx,model,terrain,path,repeat,coupling,rms_cte_m,rms_speed_mps,speed_bias_mps,throttle_sat_frac,mean_u_mps,wall_s,error
0,MLP,clay,lane_change,0,open_loop,,,,,,240.0,timeout
1,MLP,clay,lane_change,1,open_loop,,,,,,240.1,timeout
2,MLP,clay,lane_change,2,open_loop,0.09171941284632532,1.0584604818918213,-0.04258073333333338,0.0,3.774933933333333,26.7,
3,MLP,clay,sinusoidal,0,open_loop,,,,,,240.0,timeout
4,MLP,clay,sinusoidal,1,open_loop,0.31968628303304475,0.8086491138971629,0.006709133333333341,0.102,4.474916933333334,24.0,
5,MLP,clay,sinusoidal,2,open_loop,0.3241822605354967,0.793334953139803,0.011985400000000007,0.088,4.481404933333334,24.0,
6,MLP,dirt,lane_change,0,open_loop,0.014488808864476519,0.6979275976154928,0.09850233333333333,0.0,3.490506466666667,26.7,
7,MLP,dirt,lane_change,1,open_loop,0.0158127806574724,0.6988018602054996,0.05233160000000002,0.0,3.4917479999999994,24.0,
8,MLP,dirt,lane_change,2,open_loop,0.012092111877721497,0.7537355129088718,0.0858248666666667,0.0,3.5038340666666663,24.0,
9,MLP,dirt,sinusoidal,0,open_loop,0.044348628941753475,0.7461319902045929,0.3260812666666667,0.0,5.3263932,24.0,
10,MLP,dirt,sinusoidal,1,open_loop,0.04992417596623905,0.7983947280094811,0.2949795333333334,0.0,5.295434533333334,24.0,
11,MLP,dirt,sinusoidal,2,open_loop,0.0608483108442023,0.771071376160037,0.3672057333333333,0.0,5.370749933333334,24.0,
12,MLP,sand,lane_change,0,open_loop,0.02223086033297173,0.8675156745002762,-0.3879617745163442,0.3722481654436291,3.5829025350233485,24.0,
13,MLP,sand,lane_change,1,open_loop,0.017651501532107688,0.8701930856961191,-0.38886593333333336,0.382,3.5767667333333333,24.2,
14,MLP,sand,lane_change,2,open_loop,0.019967841723063946,0.8577967129570968,-0.38135480000000005,0.4053333333333333,3.575548133333333,24.2,
15,MLP,sand,sinusoidal,0,open_loop,0.03498120895594281,0.7786549552401243,-0.7744618666666665,0.7986666666666666,4.223238599999999,24.3,
16,MLP,sand,sinusoidal,1,open_loop,0.03382041446322029,0.7851924402038861,-0.7797865999999999,0.7846666666666666,4.219026866666667,24.1,
17,MLP,sand,sinusoidal,2,open_loop,0.03645520428653567,0.7849440900320975,-0.7791082721814543,0.7858572381587725,4.220402868579053,24.2,
18,Pacejka,clay,lane_change,0,open_loop,,,,,,240.0,timeout
19,Pacejka,clay,lane_change,1,open_loop,0.031245641883341106,1.0248630599028015,0.07119046666666672,0.0,3.8163047999999997,24.9,
20,Pacejka,clay,lane_change,2,open_loop,0.03696016130624974,1.4934875250723276,0.20708013333333322,0.0,3.9442992,23.9,
21,Pacejka,clay,sinusoidal,0,open_loop,2.015452162657772,0.787116194730274,0.1668768666666667,0.03,4.632535333333333,24.0,
22,Pacejka,clay,sinusoidal,1,open_loop,2.1765669611211984,0.7496656394019937,0.12221300000000002,0.034,4.5769298,24.0,
23,Pacejka,clay,sinusoidal,2,open_loop,2.0154970821290177,0.7308006412865754,0.1235694462975317,0.02134756504336224,4.575596397598399,24.0,
24,Pacejka,dirt,lane_change,0,open_loop,,,,,,240.1,timeout
25,Pacejka,dirt,lane_change,1,open_loop,0.033620153366049156,0.7412779729763997,0.023040999999999978,0.0,3.552387933333333,24.9,
26,Pacejka,dirt,lane_change,2,open_loop,0.03303375598419491,0.7529677914891181,0.016913533333333286,0.0,3.5162138,23.9,
27,Pacejka,dirt,sinusoidal,0,open_loop,1.1029428764901448,0.977889709108343,0.5416486,0.0,5.542899266666666,23.9,
28,Pacejka,dirt,sinusoidal,1,open_loop,1.1590216924984142,1.004824591219781,0.5941204000000001,0.0,5.593691200000001,24.0,
29,Pacejka,dirt,sinusoidal,2,open_loop,1.0284320280335915,0.9611848793234317,0.5326700000000001,0.0,5.5326765333333325,23.9,
30,Pacejka,sand,lane_change,0,open_loop,0.02959468969461695,0.88016583351851,-0.40316266666666667,0.30533333333333335,3.5869252000000005,24.0,
31,Pacejka,sand,lane_change,1,open_loop,0.031245400751609295,0.8776671618747811,-0.3943687333333334,0.2986666666666667,3.580573866666667,23.9,
32,Pacejka,sand,lane_change,2,open_loop,0.02951519410345571,0.865683122453014,-0.38921579999999995,0.3473333333333333,3.5789858666666667,23.9,
33,Pacejka,sand,sinusoidal,0,open_loop,0.09850215952964349,0.7933732971642878,-0.7871214666666666,0.7686666666666667,4.213841666666666,23.9,
34,Pacejka,sand,sinusoidal,1,open_loop,0.09845932091671158,0.7900020933010241,-0.7846806,0.77,4.215457466666667,23.9,
35,Pacejka,sand,sinusoidal,2,open_loop,0.09535459406231389,0.7961604477825643,-0.7893224,0.7693333333333333,4.2084134,23.9,
36,MLP,clay,lane_change,0,tire_fx,0.04478716292829279,1.5099251674970389,-0.08354482988659107,0.0,4.027239092728486,26.9,
37,MLP,clay,lane_change,1,tire_fx,0.04827121803563693,1.499578033014621,-0.12794700000000003,0.0,3.9936347999999997,24.0,
38,MLP,clay,lane_change,2,tire_fx,0.04425692821275934,1.5300503735563742,-0.1403356666666667,0.0,4.032797666666666,24.0,
39,MLP,clay,sinusoidal,0,tire_fx,0.32273761604059625,0.9753980316807425,-0.3845563333333334,0.08733333333333333,4.089141533333334,24.0,
40,MLP,clay,sinusoidal,1,tire_fx,0.26132761232467094,1.009703069538943,-0.3920299465240642,0.09090909090909091,4.074850334224599,24.0,
41,MLP,clay,sinusoidal,2,tire_fx,0.29158075321717386,0.9700497649111975,-0.3824050700466979,0.09873248832555037,4.085460640426951,24.0,
42,MLP,dirt,lane_change,0,tire_fx,0.04429649093035098,1.1703827581493729,0.31895493333333325,0.0,3.7217636666666665,26.5,
43,MLP,dirt,lane_change,1,tire_fx,0.057552411139806615,1.1479464270134134,0.4093468979319547,0.0,3.7080702468312206,24.1,
44,MLP,dirt,lane_change,2,tire_fx,0.06903976080790167,1.1569082951364686,0.3804418278852569,0.0,3.7107201467645097,24.0,
45,MLP,dirt,sinusoidal,0,tire_fx,0.4910683499518123,1.533777459813131,1.163488258839226,0.0,6.162096731154103,24.0,
46,MLP,dirt,sinusoidal,1,tire_fx,0.4609397210732673,1.6468134290623777,1.2795553404539386,0.0,6.2785826435247,24.1,
47,MLP,dirt,sinusoidal,2,tire_fx,0.5000391252073522,1.5981850989002802,1.2182842561707805,0.0,6.2179713809206145,24.2,
48,MLP,sand,lane_change,0,tire_fx,0.05410279334491581,0.8604152764799101,-0.38090973333333333,0.5393333333333333,3.625243933333334,24.2,
49,MLP,sand,lane_change,1,tire_fx,0.047069381917073966,0.8590677773439729,-0.3742889926617745,0.5550366911274183,3.622270246831221,24.1,
