idx,model,terrain,path,repeat,rms_cte_m,n_solves,mean_speed,wall_s,error
27,Pacejka,sand,sinusoidal,2,0.09981133281170863,1500,4.141505176294074,20.2,
28,Pacejka,sand,sinusoidal,3,0.10123417462429729,1500,4.150977494373594,20.3,
29,Pacejka,sand,sinusoidal,4,0.10078433584213886,1500,4.139382145536384,20.2,
30,TMeasy,clay,lane_change,0,0.030547147414321487,1496,4.40244096024006,21.0,
31,TMeasy,clay,lane_change,1,0.03041038035684299,1499,4.386081995498875,20.2,
32,TMeasy,clay,lane_change,2,0.02848481523983545,1499,4.424709677419354,20.2,
33,TMeasy,clay,lane_change,3,0.03076182808514938,1500,4.357089422355589,20.2,
34,TMeasy,clay,lane_change,4,0.02881388274033705,1500,4.399364591147787,20.0,
35,TMeasy,clay,sinusoidal,0,2.184641176896993,1500,4.340677344336084,20.1,
36,TMeasy,clay,sinusoidal,1,1.6568860105780112,1500,4.577817404351087,20.2,
37,TMeasy,clay,sinusoidal,2,1.0230140507154482,1500,4.407458664666167,20.2,
38,TMeasy,clay,sinusoidal,3,1.9210111946216988,1498,4.387764237415477,20.0,
39,TMeasy,clay,sinusoidal,4,1.0869185177327305,1500,4.548733908477119,20.1,
40,TMeasy,dirt,lane_change,0,,0,,240.1,timeout
41,TMeasy,dirt,lane_change,1,,0,,240.1,timeout
42,TMeasy,dirt,lane_change,2,0.024874978089824366,1492,4.474647636909227,20.8,
43,TMeasy,dirt,lane_change,3,0.02897013334885711,1500,4.453931432858214,19.9,
44,TMeasy,dirt,lane_change,4,0.024769270523832966,1500,4.424632183045762,20.0,
45,TMeasy,dirt,sinusoidal,0,1.8254889459104406,1500,5.036170742685671,19.9,
46,TMeasy,dirt,sinusoidal,1,1.3798606180773785,1499,4.945266741741741,19.9,
47,TMeasy,dirt,sinusoidal,2,1.2630272451548636,1500,5.206439009752438,19.9,
48,TMeasy,dirt,sinusoidal,3,2.7167839586258355,1499,4.675780555555556,19.9,
49,TMeasy,dirt,sinusoidal,4,1.372076505322509,1500,4.726504576144036,19.9,
50,TMeasy,sand,lane_change,0,0.020983574675976818,1500,4.219170217554388,19.9,
51,TMeasy,sand,lane_change,1,0.020641861171570908,1500,4.229067441860465,19.9,
52,TMeasy,sand,lane_change,2,0.02253810650327991,1500,4.234632258064517,19.9,
53,TMeasy,sand,lane_change,3,0.022034952905926337,1500,4.219441860465116,19.9,
54,TMeasy,sand,lane_change,4,0.019480304435146065,1500,4.223264666166542,19.9,
55,TMeasy,sand,sinusoidal,0,0.08184336889047325,1500,4.150950187546886,19.9,
56,TMeasy,sand,sinusoidal,1,0.08323878314479889,1500,4.151488897224306,19.9,
57,TMeasy,sand,sinusoidal,2,0.07946175748387463,1500,4.142680570142535,19.9,
58,TMeasy,sand,sinusoidal,3,0.08089849500679595,1500,4.153067291822956,19.9,
59,TMeasy,sand,sinusoidal,4,0.07528878682354757,1500,4.1439048012003,19.9,
60,MLP,clay,lane_change,0,0.11913579872115679,1496,4.3144544636159035,22.5,
61,MLP,clay,lane_change,1,0.08190378444707203,1495,4.342146961740435,20.0,
62,MLP,clay,lane_change,2,0.10469506095318082,1496,4.363315078769692,20.0,
63,MLP,clay,lane_change,3,0.10750399197875209,1495,4.412724231057765,20.0,
64,MLP,clay,lane_change,4,0.10059577936971313,1494,4.364322822822823,20.0,
65,MLP,clay,sinusoidal,0,0.3026365464976483,1494,4.239660090022505,20.2,
66,MLP,clay,sinusoidal,1,0.30949192465627223,1493,4.275131756756757,20.3,
67,MLP,clay,sinusoidal,2,0.29931064656432693,1495,4.214672768192048,20.2,
68,MLP,clay,sinusoidal,3,0.27670092847940286,1493,4.222389030803908,20.1,
69,MLP,clay,sinusoidal,4,0.292472487091523,1494,4.231366241560391,20.2,
70,MLP,dirt,lane_change,0,0.01664546196550313,1500,4.400697299324831,240.0,timeout
71,MLP,dirt,lane_change,1,0.019279816484206125,1496,4.444826331582895,23.0,
72,MLP,dirt,lane_change,2,0.015983577778978467,1495,4.412693398349588,20.1,
73,MLP,dirt,lane_change,3,0.01547654135555107,1493,4.448574043510877,20.1,
74,MLP,dirt,lane_change,4,0.01830241475317246,1493,4.41338279489106,20.1,
75,MLP,dirt,sinusoidal,0,0.084717438198912,1493,5.1781358377160025,20.1,
76,MLP,dirt,sinusoidal,1,0.08783718725335148,1494,5.188563813813814,20.1,
77,MLP,dirt,sinusoidal,2,0.09058889061464873,1494,5.23351599099099,20.2,
78,MLP,dirt,sinusoidal,3,0.07146686677908724,1495,5.198359039759939,20.1,
79,MLP,dirt,sinusoidal,4,0.10510187984339006,1495,5.2295431357839455,20.1,
80,MLP,sand,lane_change,0,0.01864580979945321,1494,4.227827948910593,20.2,
81,MLP,sand,lane_change,1,0.018435039278622587,1493,4.2234635612321565,20.1,
82,MLP,sand,lane_change,2,0.016868546181628783,1493,4.214962434259955,20.1,
83,MLP,sand,lane_change,3,0.01947597357302369,1494,4.22888445945946,20.2,
84,MLP,sand,lane_change,4,0.016792871860772746,1495,4.230486121530382,20.1,
85,MLP,sand,sinusoidal,0,0.06046362626309284,1495,4.142375768942236,20.1,
86,MLP,sand,sinusoidal,1,0.07207895954471075,1495,4.153168468468468,20.1,
87,MLP,sand,sinusoidal,2,0.0756353674344515,1496,4.151069167291824,20.1,
88,MLP,sand,sinusoidal,3,0.06047501970212365,1495,4.135198124531133,20.2,
89,MLP,sand,sinusoidal,4,0.05669072658071379,1494,4.1403836336336335,20.2,
90,ResNet,clay,lane_change,0,,0,,240.1,timeout
91,ResNet,clay,lane_change,1,,0,,240.1,timeout
92,ResNet,clay,lane_change,2,0.059102490416097074,1500,4.340348012003001,48.1,
93,ResNet,clay,lane_change,3,0.14546885866626633,1496,4.447629332333084,20.0,
94,ResNet,clay,lane_change,4,0.13891428991680993,1495,4.364099549887472,20.0,
95,ResNet,clay,sinusoidal,0,0.3104452211815587,1492,4.221789022556391,20.1,
96,ResNet,clay,sinusoidal,1,0.33074091173721587,1493,4.236001502629602,20.1,
97,ResNet,clay,sinusoidal,2,0.30334157954315294,1493,4.217670870870871,20.1,
98,ResNet,clay,sinusoidal,3,0.31067412964861696,1494,4.2261015015015015,20.1,
99,ResNet,clay,sinusoidal,4,0.39991484490187623,1492,4.287513383458647,20.1,
100,ResNet,dirt,lane_change,0,,0,,240.1,timeout
101,ResNet,dirt,lane_change,1,0.01993907482960945,1492,4.427235933983496,48.6,
102,ResNet,dirt,lane_change,2,0.019042932879782884,1494,4.431377044261065,20.0,
103,ResNet,dirt,lane_change,3,0.01965057328655427,1494,4.405386711711712,20.1,
104,ResNet,dirt,lane_change,4,0.019308015030770613,1490,4.403246310240964,20.1,
105,ResNet,dirt,sinusoidal,0,0.09057237637005595,1493,5.030058933933934,20.2,
106,ResNet,dirt,sinusoidal,1,0.07249383670168437,1492,5.00275045045045,20.1,
107,ResNet,dirt,sinusoidal,2,0.07106132201722214,1492,5.159665939849624,20.1,
108,ResNet,dirt,sinusoidal,3,0.07589165070073639,1493,5.217330705705706,20.1,
109,ResNet,dirt,sinusoidal,4,0.07674144550482352,1492,4.995114650638618,20.1,
110,ResNet,sand,lane_change,0,0.020521538300329017,1493,4.218948309541698,20.1,
111,ResNet,sand,lane_change,1,0.017566286932580385,1491,4.214893157894736,20.1,
112,ResNet,sand,lane_change,2,0.017820013706019776,1492,4.226120720720721,20.1,
113,ResNet,sand,lane_change,3,0.018754830051964502,1489,4.23437987942728,20.1,
114,ResNet,sand,lane_change,4,0.019815271494295572,1493,4.217567792792793,20.1,
115,ResNet,sand,sinusoidal,0,0.05614798009730634,1492,4.148030255255255,20.1,
116,ResNet,sand,sinusoidal,1,0.044655552789739095,1493,4.132759654395192,20.1,
117,ResNet,sand,sinusoidal,2,0.04975207036281179,1492,4.146286250939143,20.1,
118,ResNet,sand,sinusoidal,3,0.05786517645747704,1494,4.147816741741742,20.1,
119,ResNet,sand,sinusoidal,4,0.05461385653799503,1494,4.146299024024024,20.1,
120,Rate-MLP,clay,lane_change,0,,0,,240.1,timeout
121,Rate-MLP,clay,lane_change,1,,0,,240.0,timeout
122,Rate-MLP,clay,lane_change,2,0.11489068996719462,1500,4.352905476369092,23.8,
123,Rate-MLP,clay,lane_change,3,0.07649686454342083,1494,4.362456606606607,20.0,
124,Rate-MLP,clay,lane_change,4,0.07028324930706492,1495,4.346578469617405,20.1,
125,Rate-MLP,clay,sinusoidal,0,0.30090933266429465,1495,4.258000300075019,20.1,
126,Rate-MLP,clay,sinusoidal,1,0.3059610336218543,1494,4.235032657657658,20.0,
127,Rate-MLP,clay,sinusoidal,2,0.18508721288640204,1494,4.2165227477477485,20.1,
128,Rate-MLP,clay,sinusoidal,3,0.3878275843573565,1494,4.237061486486486,20.1,
129,Rate-MLP,clay,sinusoidal,4,0.3014558547446748,1495,4.2202938484621155,20.1,
130,Rate-MLP,dirt,lane_change,0,0.018817414986117508,1491,4.449989264264263,23.3,
131,Rate-MLP,dirt,lane_change,1,0.01762900386204626,1495,4.420923480870218,20.1,
132,Rate-MLP,dirt,lane_change,2,0.01905630450291472,1494,4.4282164414414416,20.0,
133,Rate-MLP,dirt,lane_change,3,0.01709264564636054,1495,4.428336684171042,20.1,
134,Rate-MLP,dirt,lane_change,4,0.017110042340624833,1495,4.424184546136535,20.1,
135,Rate-MLP,dirt,sinusoidal,0,0.07302434729453967,1494,5.199402102102102,20.0,
136,Rate-MLP,dirt,sinusoidal,1,0.06340688054469451,1494,5.188023273273274,20.1,
137,Rate-MLP,dirt,sinusoidal,2,0.07226585074161349,1494,4.976044744744745,20.1,
138,Rate-MLP,dirt,sinusoidal,3,0.06455519854620413,1495,5.2144701425356335,20.0,
139,Rate-MLP,dirt,sinusoidal,4,0.06589393918035409,1494,5.1622701951951955,20.1,
140,Rate-MLP,sand,lane_change,0,0.01632374711495872,1495,4.212266216216216,20.0,
141,Rate-MLP,sand,lane_change,1,0.017703541205878224,1494,4.224062312312312,20.1,
142,Rate-MLP,sand,lane_change,2,0.018581196815476896,1492,4.229547894736842,20.1,
143,Rate-MLP,sand,lane_change,3,0.017188093189468612,1493,4.2298335837716,20.1,
144,Rate-MLP,sand,lane_change,4,0.018467397757930708,1490,4.21711977443609,20.1,
145,Rate-MLP,sand,sinusoidal,0,0.04799551964843775,1492,4.148841066066066,20.1,
146,Rate-MLP,sand,sinusoidal,1,0.04713448597684853,1491,4.160119939804365,20.1,
147,Rate-MLP,sand,sinusoidal,2,0.05894326444940498,1487,4.141621040723982,20.1,
