terrain,true_n,lines,n_mean,n_std,n_bias,n_abs_err,ok
clay,0.500,215,0.5081,0.0079,+0.0081,0.0081,1
dirt,0.700,215,0.6924,0.0091,-0.0076,0.0076,1
sand,1.100,216,1.0795,0.0105,-0.0205,0.0205,1
