n_true,rep,n_pred_late
1.200,0,1.1858
1.200,1,1.1588
1.200,2,1.1904
1.300,0,1.2916
1.300,1,1.2866
1.300,2,1.2998
0.500,0,0.5530
0.500,1,0.4972
0.500,2,0.5304
0.600,0,0.5846
0.600,1,0.6000
0.600,2,0.5958
0.700,0,0.6838
0.700,1,0.6804
0.700,2,0.6812
0.850,0,0.8722
0.850,1,0.8358
0.850,2,0.8608
1.000,0,0.9822
1.000,1,1.0012
1.000,2,1.0304
1.100,0,1.0742
1.100,1,1.1344
1.100,2,1.0924
