model,split,target,rmse,bias,n_windows
n_only,val,n,0.04146,+0.00054,5248
phi_only,val,phi,0.95917,-0.08945,5248
joint,val,n,0.04180,-0.00265,5248
joint,val,phi,0.99259,+0.09035,5248
