scenario_id,timestep,slip_ratio,slip_angle,velocity,vertical_load,steering_rate,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy
0,0,-0.122243,-0.005032,8.868783,5986.840145,-0.282484,3251225.068469,2562.272654,0.750386,8084.500386,0.619088,0.019658,0.132276,16578.458235,-2.551156,99.893759
0,1,-0.122243,-0.006585,8.868783,5986.840145,-0.282484,3251225.068469,2562.272654,0.750386,8084.500386,0.619088,0.019658,0.132276,12756.068515,-1810.173945,68.321875
0,2,-0.122243,-0.007998,8.868783,5986.840145,-0.282484,3251225.068469,2562.272654,0.750386,8084.500386,0.619088,0.019658,0.132276,24639.450625,-7808.215069,40.781254
0,3,-0.122243,-0.009410,8.868783,5986.840145,-0.282484,3251225.068469,2562.272654,0.750386,8084.500386,0.619088,0.019658,0.132276,19703.040011,-8962.258090,-149.646566
0,4,-0.122243,-0.010822,8.868783,5986.840145,-0.282484,3251225.068469,2562.272654,0.750386,8084.500386,0.619088,0.019658,0.132276,13666.652539,-4212.767637,-168.043198
0,5,-0.122243,-0.012235,8.868783,5986.840145,-0.282484,3251225.068469,2562.272654,0.750386,8084.500386,0.619088,0.019658,0.132276,18804.944796,-7910.082983,-566.451074
0,6,-0.122243,-0.013647,8.868783,5986.840145,-0.282484,3251225.068469,2562.272654,0.750386,8084.500386,0.619088,0.019658,0.132276,12819.373834,-5375.116591,-310.358420
0,7,-0.122243,-0.015060,8.868783,5986.840145,-0.282484,3251225.068469,2562.272654,0.750386,8084.500386,0.619088,0.019658,0.132276,15878.568142,-7279.621938,-855.092089
0,8,-0.122243,-0.016472,8.868783,5986.840145,-0.282484,3251225.068469,2562.272654,0.750386,8084.500386,0.619088,0.019658,0.132276,14578.093217,-5698.955457,-871.155568
0,9,-0.122243,-0.017885,8.868783,5986.840145,-0.282484,3251225.068469,2562.272654,0.750386,8084.500386,0.619088,0.019658,0.132276,10320.956494,-3874.062249,-480.733707
0,10,-0.122243,-0.019297,8.868783,5986.840145,-0.282484,3251225.068469,2562.272654,0.750386,8084.500386,0.619088,0.019658,0.132276,6934.092097,-3322.719794,-655.684460
0,11,-0.122243,-0.020709,8.868783,5986.840145,-0.282484,3251225.068469,2562.272654,0.750386,8084.500386,0.619088,0.019658,0.132276,5550.177250,-2380.968175,-619.188935
