variant,n_runs,n_ok,collisions_mean,collisions_std,near_misses_mean,near_misses_std,min_clearance_m_mean,min_clearance_m_std,intervention_rate_pct_mean,intervention_rate_pct_std,mean_abs_dsteer_mean,mean_abs_dsteer_std,mean_abs_dthrottle_mean,mean_abs_dthrottle_std,rms_cte_m_mean,rms_cte_m_std,speed_ratio_mean,speed_ratio_std
no_filter,8,8,1.5,0.5345224838248488,1.75,0.8864052604279183,-1.68635,0.4969514635684829,,,,,,,0.15410363828061976,0.10708687610435152,0.6870732421289355,0.15779793190865468
dob_cbf_nn,8,8,0.0,0.0,1.25,0.8864052604279183,0.740911625,0.45390255706261684,42.525,17.535005804716135,,,,,2.7041767075846543,0.8695878766983058,0.7080466979010495,0.13730941733462274
dob_cbf_no_nn,8,8,0.125,0.3535533905932738,1.75,0.7071067811865476,0.2369250000000001,0.24083642196075153,39.225,6.246313198313754,,,,,2.2858112914106066,0.9529537409235531,0.6965109358440149,0.13503535858397744
