filter,delay_s,mpc_delay_comp,n_runs,n_ok,collisions_mean,min_clearance_m_mean,rms_cte_m_mean,speed_ratio_mean,intervention_rate_pct_mean
none,0.0,on,1,1,0.0,0.5528,0.0826166149476605,0.47232436,
mppi,0.0,on,1,1,0.0,0.8626,0.5799654481012071,0.4246044444444444,44.4
