experiment,variant,controller_mode,mpc_model,nn_model,terrain,path,speed_mps,bumpiness,seed,run_dir,status,rc,wall_s,sim_s,rt_factor,diag_csv,collision_csv,shield_csv,n_samples,rms_cte_m,max_abs_cte_m,mean_abs_cte_m,mean_speed_mps,p95_speed_mps,speed_ratio,mean_solve_ms,p99_solve_ms,progress_m,final_x_m,final_y_m,collisions,near_misses,min_clearance_m,intervention_rate_pct,mean_abs_dsteer,mean_abs_dthrottle,notes
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,closed_loop_v1_mlp_32_16,clay,sinusoidal,5.0,0,510,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/autonomous_obstacle_tire_model_sweep_20260513_005100/raw/0000_pacejka_clay_sinusoidal_v5_b0_s510,ok,0,6.4375317096710205,3.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/autonomous_obstacle_tire_model_sweep_20260513_005100/raw/0000_pacejka_clay_sinusoidal_v5_b0_s510/20260513_005103_326138_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/autonomous_obstacle_tire_model_sweep_20260513_005100/raw/0000_pacejka_clay_sinusoidal_v5_b0_s510/collision_log.csv,,246,0.05950360761656003,0.091,0.057063963855421694,1.7415469879518064,2.22742,0.3483093975903613,2.856747967479675,5.692,2.106991605500141,3.676346,0.091,0,0,,,,,
autonomous_obstacle_tire_model_sweep,tmeasy,standard,tmeasy,closed_loop_v1_mlp_32_16,clay,sinusoidal,5.0,0,510,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/autonomous_obstacle_tire_model_sweep_20260513_005100/raw/0001_tmeasy_clay_sinusoidal_v5_b0_s510,ok,0,6.279991626739502,3.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/autonomous_obstacle_tire_model_sweep_20260513_005100/raw/0001_tmeasy_clay_sinusoidal_v5_b0_s510/20260513_005109_657795_clay_sinusoidal_acados_tmeasy/diag_clay_sinusoidal_acados_tmeasy.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/autonomous_obstacle_tire_model_sweep_20260513_005100/raw/0001_tmeasy_clay_sinusoidal_v5_b0_s510/collision_log.csv,,242,0.06276720851849969,0.094263,0.060555759036144574,1.7303903614457827,2.2278,0.34607807228915655,2.1296280991735537,4.3355000000000015,2.0919103337652603,3.656133,0.094263,0,0,,,,,
autonomous_obstacle_tire_model_sweep,closed_loop_mlp,standard,nn,closed_loop_v1_mlp_32_16,clay,sinusoidal,5.0,0,510,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/autonomous_obstacle_tire_model_sweep_20260513_005100/raw/0002_closed_loop_mlp_clay_sinusoidal_v5_b0_s510,ok,0,5.4342873096466064,3.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/autonomous_obstacle_tire_model_sweep_20260513_005100/raw/0002_closed_loop_mlp_clay_sinusoidal_v5_b0_s510/20260513_005114_549859_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/autonomous_obstacle_tire_model_sweep_20260513_005100/raw/0002_closed_loop_mlp_clay_sinusoidal_v5_b0_s510/collision_log.csv,,250,0.1260927714634162,0.168097,0.12274168674698797,2.3045783132530118,2.51699,0.46091566265060235,4.10468,5.345599999999995,3.5177166499511725,5.134157,0.168996,0,0,,,,,
