step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
89,28.849,4.722,16.58,4.031,-25.52,5,18,22.35,5.06,-0.909,1.000,0.000,+0.236,0.835,0.000,1,-0.364,58.72,0.554
90,29.230,4.849,17.32,4.100,-28.07,5,18,22.35,4.84,-1.000,1.000,0.000,+0.370,0.766,0.000,1,-0.311,58.72,0.749
91,29.614,4.987,18.12,4.137,-28.07,5,18,22.08,4.83,-1.000,1.000,0.000,+0.460,0.834,0.000,1,-0.179,56.77,0.723
92,29.996,5.139,19.13,4.160,-28.07,5,18,22.08,4.83,-1.000,1.000,0.000,+0.649,0.200,0.000,1,0.266,57.12,1.989
93,30.374,5.305,20.31,4.154,-28.07,5,18,22.05,4.81,-1.000,1.000,0.000,+0.749,0.200,0.000,1,0.340,47.43,2.125
94,30.744,5.487,21.78,4.098,-28.07,5,18,22.05,4.81,-1.000,1.000,0.000,+0.836,0.200,0.000,1,0.415,70.53,2.283
95,31.099,5.681,23.49,4.020,-28.07,5,18,22.27,4.81,-1.000,1.000,0.000,-0.707,0.601,0.000,1,0.323,51.69,1.510
96,31.440,5.888,25.51,4.011,-28.07,5,18,22.27,4.81,-1.000,1.000,0.000,-0.889,0.633,0.000,1,0.466,47.06,2.057
97,31.782,6.089,26.18,3.987,-28.07,5,18,22.73,4.88,-1.000,1.000,0.000,-0.836,0.752,0.000,1,0.444,46.88,0.996
98,32.128,6.271,25.98,3.908,-27.44,5,18,22.73,4.94,-0.977,1.000,0.000,-0.648,0.844,0.000,1,0.445,48.06,0.721
99,32.478,6.432,25.31,3.870,-28.07,5,18,22.96,4.96,-1.000,1.000,0.000,-0.778,0.786,0.000,1,0.445,47.48,0.613
100,32.835,6.574,24.42,3.875,-28.07,5,18,23.12,5.04,-1.000,1.000,0.000,-0.849,0.761,0.000,1,0.450,47.36,0.607
101,33.199,6.699,23.10,3.884,-28.07,5,18,23.12,5.04,-1.000,1.000,0.000,-0.865,0.685,0.000,1,0.489,47.99,0.508
102,33.570,6.809,21.41,3.901,-28.07,5,18,23.34,5.10,-1.000,1.000,0.000,-0.862,0.741,0.000,1,0.561,48.05,0.332
103,33.949,6.902,19.46,3.936,-27.44,5,18,23.34,5.16,-0.977,1.000,0.000,-0.894,0.825,0.000,1,0.665,47.47,0.366
104,34.335,6.979,17.45,3.967,-28.07,5,18,23.59,5.16,-1.000,1.000,0.000,-0.766,0.657,0.000,1,0.792,47.27,0.276
105,34.728,7.037,15.35,3.977,-28.07,5,18,23.88,5.21,-1.000,1.000,0.000,-0.879,0.808,0.000,1,0.921,47.51,0.228
106,35.124,7.081,13.24,3.965,-27.44,5,18,23.88,5.26,-0.977,1.000,0.000,-0.826,0.832,0.000,1,0.760,47.97,0.107
107,35.520,7.111,10.94,3.969,-27.44,5,18,24.17,5.30,-0.977,1.000,0.000,-0.736,0.804,0.000,1,0.911,47.53,0.097
108,35.918,7.126,8.58,3.994,-28.07,5,18,24.17,5.24,-1.000,1.000,0.000,-0.760,0.848,0.000,1,1.002,47.14,0.183
109,36.318,7.130,6.30,4.020,-28.07,5,18,24.43,5.27,-1.000,1.000,0.000,-0.837,0.764,0.000,1,0.911,47.25,0.215
110,36.718,7.118,4.02,4.019,-28.07,5,18,24.43,5.27,-1.000,1.000,0.000,-0.849,0.820,0.000,1,0.916,47.90,0.126
111,37.117,7.090,1.70,4.000,-27.44,5,18,24.66,5.36,-0.977,1.000,0.000,-0.824,0.796,0.000,1,0.980,47.51,0.317
112,37.514,7.045,-0.65,3.998,-26.34,5,18,24.88,5.48,-0.938,1.000,0.000,-0.917,0.800,0.000,1,0.902,47.36,0.299
113,37.908,6.983,-2.98,3.982,-26.30,5,18,24.88,5.49,-0.937,1.000,0.000,-0.814,0.831,0.000,1,0.909,57.96,0.219
114,38.297,6.904,-5.43,3.976,-25.91,5,18,25.09,5.54,-0.923,1.000,0.000,-0.799,0.763,0.000,1,0.909,47.99,0.077
115,38.682,6.808,-7.76,3.976,-23.59,5,18,25.09,5.78,-0.840,1.000,0.000,-0.654,0.897,0.000,1,0.931,47.64,0.035
116,39.064,6.699,-10.08,4.005,-19.77,5,18,25.28,6.21,-0.704,1.000,0.000,-0.694,0.910,0.000,1,0.933,47.18,0.023
117,39.445,6.576,-12.19,4.021,-18.03,5,18,25.40,6.41,-0.642,1.000,0.000,-0.639,0.962,0.000,1,0.961,47.70,0.001
118,39.822,6.440,-14.27,4.035,-14.19,5,18,25.40,6.91,-0.506,1.000,0.000,-0.497,0.994,0.000,1,1.024,48.23,0.000
119,40.198,6.295,-16.23,4.069,-13.10,5,18,25.30,7.03,-0.467,1.000,0.000,-0.482,0.994,0.000,1,1.124,47.42,0.000
120,40.573,6.140,-17.92,4.089,-10.49,5,18,25.30,7.40,-0.374,1.000,0.000,-0.369,0.999,0.000,1,1.259,49.20,0.000
121,40.947,5.978,-19.43,4.119,-10.63,5,18,24.75,7.29,-0.379,1.000,0.000,-0.383,1.000,0.000,1,1.427,47.65,0.000
122,41.321,5.810,-20.71,4.136,-9.94,5,18,24.75,7.39,-0.354,1.000,0.000,-0.352,1.000,0.000,1,1.625,48.72,0.000
