t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,sand,0.923,0.350,0.0672,0.0488,-0.0463,-0.0006,-0.6726,-0.0171,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,sand,0.923,0.350,0.0733,-0.0096,-0.0055,-0.0136,-0.3652,-0.2328,-0.0288,-0.0288,-0.0288,-0.0288,0.0210
0.0240,sand,0.923,0.350,0.0792,-0.0742,0.0219,-0.0125,-0.2174,-0.0291,-0.0068,-0.0068,-0.0068,-0.0068,0.0448
0.0360,sand,0.923,0.350,0.0852,0.0657,-0.0572,-0.0035,-0.2189,-0.0034,0.0149,0.0148,0.0148,0.0148,0.0434
0.0480,sand,0.923,0.350,0.0911,-0.0618,0.0511,0.0018,0.2642,0.0776,0.0215,0.0215,0.0215,0.0215,0.0380
0.0600,sand,0.923,0.350,0.0969,-0.0484,0.0091,-0.0035,0.7193,0.0927,-0.0161,-0.0161,-0.0162,-0.0161,0.0448
0.0720,sand,0.923,0.350,0.1026,0.0262,0.1836,-0.0028,-0.0529,-0.0742,-0.0171,-0.0171,-0.0171,-0.0171,0.0519
0.0840,sand,0.923,0.350,0.1083,-0.1090,-0.0627,0.0013,-0.0660,-0.0647,-0.0065,-0.0065,-0.0065,-0.0065,0.0528
0.0960,sand,0.923,0.350,0.1140,0.0066,0.0468,-0.0003,-0.0719,0.1743,-0.0025,-0.0026,-0.0026,-0.0026,0.0550
0.1080,sand,0.923,0.350,0.1195,-0.0013,-0.0674,-0.0019,0.0254,-0.0283,-0.0029,-0.0029,-0.0029,-0.0029,0.0586
0.1200,sand,0.923,0.350,0.1250,-0.0241,-0.0029,-0.0009,0.0262,-0.0145,-0.0046,-0.0046,-0.0046,-0.0046,0.0615
0.1320,sand,0.923,0.350,0.1304,0.0211,-0.0380,-0.0013,-0.0115,0.0195,-0.0081,-0.0081,-0.0081,-0.0081,0.0642
0.1440,sand,0.923,0.350,0.1357,0.0307,0.0009,-0.0014,-0.0021,-0.0188,-0.0118,-0.0119,-0.0119,-0.0118,0.0667
0.1560,sand,0.923,0.350,0.1410,-0.0049,-0.0488,-0.0002,0.0120,0.0382,-0.0162,-0.0163,-0.0163,-0.0163,0.0694
0.1680,sand,0.923,0.350,0.1461,-0.0422,0.0488,-0.0022,-0.0124,-0.0619,-0.0224,-0.0225,-0.0225,-0.0225,0.0728
0.1800,sand,0.923,0.350,0.1511,0.0055,0.0011,0.0005,0.1039,0.0098,-0.0286,-0.0286,-0.0286,-0.0286,0.0751
0.1920,sand,0.923,0.350,0.1561,-0.0698,-0.0653,-0.0009,-0.0632,0.0630,-0.0378,-0.0378,-0.0378,-0.0378,0.0768
0.2040,sand,0.923,0.350,0.1610,-0.0248,0.0117,-0.0003,0.0490,0.1299,-0.0451,-0.0451,-0.0451,-0.0451,0.0794
0.2160,sand,0.923,0.350,0.1657,0.0725,-0.0913,-0.0009,-0.0233,-0.0185,-0.0564,-0.0564,-0.0564,-0.0564,0.0830
0.2280,sand,0.923,0.350,0.1704,-0.0021,-0.0457,-0.0021,-0.0359,-0.0166,-0.0659,-0.0659,-0.0659,-0.0659,0.0860
0.2400,sand,0.923,0.350,0.1749,-0.0531,0.0004,-0.0003,0.0224,-0.0065,-0.0781,-0.0781,-0.0781,-0.0781,0.0885
0.2520,sand,0.923,0.350,0.1793,0.0273,-0.0367,0.0007,0.0072,0.0266,-0.0917,-0.0917,-0.0917,-0.0917,0.0905
0.2640,sand,0.923,0.350,0.1837,-0.0590,0.0011,-0.0005,0.0968,-0.0260,-0.1103,-0.1103,-0.1103,-0.1103,0.0935
0.2760,sand,0.923,0.350,0.1879,0.0188,0.0250,-0.0006,-0.0794,0.0698,-0.1227,-0.1227,-0.1227,-0.1227,0.0957
0.2880,sand,0.923,0.350,0.1920,0.0082,0.0086,0.0013,0.0275,0.0612,-0.1411,-0.1411,-0.1411,-0.1411,0.0973
0.3000,sand,0.923,0.350,0.1959,-0.0191,0.0111,-0.0007,-0.0040,0.0260,-0.1597,-0.1597,-0.1597,-0.1597,0.0990
