t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,clay,0.591,0.350,0.0672,-0.0199,-0.0123,0.0002,-0.6811,-0.0145,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,clay,0.591,0.350,0.0733,-0.0380,0.0991,-0.0155,-0.3704,-0.2496,-0.0288,-0.0288,-0.0288,-0.0288,0.0210
0.0240,clay,0.591,0.350,0.0792,-0.0042,-0.0525,-0.0106,-0.2224,-0.0394,-0.0068,-0.0068,-0.0068,-0.0068,0.0448
0.0360,clay,0.591,0.350,0.0852,-0.0634,0.0302,-0.0063,-0.1938,-0.0299,0.0149,0.0148,0.0148,0.0148,0.0434
0.0480,clay,0.591,0.350,0.0911,0.0844,0.0307,0.0009,0.2548,0.0734,0.0215,0.0215,0.0215,0.0215,0.0380
0.0600,clay,0.591,0.350,0.0969,-0.0037,-0.0440,-0.0046,0.7278,0.0800,-0.0161,-0.0161,-0.0162,-0.0161,0.0448
0.0720,clay,0.591,0.350,0.1026,-0.0342,0.0481,-0.0045,0.0175,-0.0665,-0.0171,-0.0171,-0.0171,-0.0171,0.0519
0.0840,clay,0.591,0.350,0.1083,0.0493,0.0328,0.0005,-0.0582,-0.0452,-0.0065,-0.0065,-0.0065,-0.0065,0.0528
0.0960,clay,0.591,0.350,0.1140,0.0088,0.0769,0.0007,-0.1330,0.1478,-0.0025,-0.0026,-0.0026,-0.0026,0.0550
0.1080,clay,0.591,0.350,0.1195,-0.0978,0.0826,-0.0013,-0.0019,-0.0583,-0.0029,-0.0029,-0.0029,-0.0029,0.0586
0.1200,clay,0.591,0.350,0.1250,0.0145,-0.0323,-0.0011,0.0457,-0.0513,-0.0046,-0.0046,-0.0046,-0.0046,0.0615
0.1320,clay,0.591,0.350,0.1304,0.0056,-0.0913,-0.0027,0.0220,-0.0036,-0.0081,-0.0081,-0.0081,-0.0081,0.0642
0.1440,clay,0.591,0.350,0.1357,-0.0470,-0.0822,0.0009,-0.0398,0.1788,-0.0123,-0.0124,-0.0124,-0.0124,0.0659
0.1560,clay,0.591,0.350,0.1410,0.0143,-0.0238,-0.0004,0.0761,0.1339,-0.0164,-0.0164,-0.0164,-0.0164,0.0676
0.1680,clay,0.591,0.350,0.1461,-0.0738,-0.0413,-0.0013,-0.4180,-0.1602,-0.0236,-0.0236,-0.0236,-0.0236,0.0718
0.1800,clay,0.591,0.350,0.1511,0.0362,-0.1513,-0.0035,-0.1646,-0.0904,-0.0283,-0.0284,-0.0284,-0.0284,0.0756
0.1920,clay,0.591,0.350,0.1561,0.0036,0.0221,0.0005,-0.0128,0.0260,-0.0376,-0.0376,-0.0376,-0.0376,0.0777
0.2040,clay,0.591,0.350,0.1610,-0.0869,0.0035,-0.0017,-0.0082,0.0118,-0.0449,-0.0449,-0.0449,-0.0449,0.0797
0.2160,clay,0.591,0.350,0.1657,0.0697,0.0186,-0.0006,-0.0063,0.0282,-0.0547,-0.0547,-0.0547,-0.0547,0.0824
0.2280,clay,0.591,0.350,0.1704,-0.0623,-0.0422,-0.0007,-0.0066,-0.0204,-0.0663,-0.0664,-0.0664,-0.0664,0.0853
