idx,model,terrain,path,repeat,rms_cte_m,rms_speed_mps,speed_bias_mps,throttle_sat_frac,n_solves,mean_speed,wall_s,error
0,Pacejka,clay,lane_change,0,0.04151057683054948,0.9697747929956637,-0.17603893473368346,0.02700675168792198,1500,4.477430832708177,22.2,
1,Pacejka,clay,sinusoidal,0,,,,,0,,240.0,timeout
2,Pacejka,dirt,lane_change,0,0.053551029795560805,0.7209946264729375,-0.005936834208552081,0.0,1496,4.4172313578394595,21.7,
3,Pacejka,dirt,sinusoidal,0,0.793909358052821,0.8983927074443544,0.435138784696174,0.0,1500,5.437836759189798,20.9,
4,Pacejka,sand,lane_change,0,0.02655777915570918,0.7247802261248202,-0.656877344336084,0.5731432858214554,1500,4.304657239309827,20.9,
5,Pacejka,sand,sinusoidal,0,0.10756734456278458,0.8192903681505941,-0.8071024006001499,0.7636909227306826,1500,4.190506601650413,20.9,
6,TMeasy,clay,lane_change,0,0.030807815773995422,0.9940203521194156,-0.2309235558889722,0.025506376594148537,1500,4.467547411852964,22.1,
7,TMeasy,clay,sinusoidal,0,2.474707149323308,0.7664170187023767,0.09139309827456864,0.08252063015753938,1500,4.459714778694673,20.9,
8,TMeasy,dirt,lane_change,0,0.025102503225107684,0.6386647535322042,-0.019001875468867235,0.0,1500,4.372254313578395,22.1,
9,TMeasy,dirt,sinusoidal,0,1.2844297167753265,0.7434934744596896,-0.00673120780195049,0.09227306826706677,1500,4.99418672168042,20.9,
10,TMeasy,sand,lane_change,0,0.01763359477826915,0.7247970559219099,-0.6543230307576895,0.5416354088522131,1500,4.304578469617404,20.9,
11,TMeasy,sand,sinusoidal,0,0.08097256345416227,0.8180583674519438,-0.8064751687921979,0.7434358589647412,1500,4.193606676669167,20.9,
12,MLP,clay,lane_change,0,0.08652301095929837,1.1163907132288613,-0.1553580645161291,0.0277569392348087,1486,4.5022062265566385,23.3,
13,MLP,clay,sinusoidal,0,0.2599568444711787,0.7203260166289693,-0.08251687921980498,0.010502625656414103,1495,4.329199399849962,21.1,
14,MLP,dirt,lane_change,0,0.021110343987558997,0.8784471144558014,-0.0073970742685671165,0.0,1486,4.433758664666166,23.6,
15,MLP,dirt,sinusoidal,0,0.09543513232168783,0.7834445927217611,0.1635801200300075,0.046511627906976744,1495,5.1646385596399105,21.1,
16,MLP,sand,lane_change,0,0.019967506217186546,0.720806093910668,-0.6394855963990997,0.6106526631657915,1496,4.314472993248312,21.2,
17,MLP,sand,sinusoidal,0,0.0577476906885242,0.8195172758864631,-0.8059333833458364,0.7606901725431358,1496,4.1928617404351085,21.1,
