model,terrain,path,rms_cte_mean_m,rms_cte_std_m,n_runs,rms_speed_mean_mps,rms_speed_std_mps,speed_bias_mean_mps,throttle_sat_mean_frac,speed_mean_mps
MLP,clay,lane_change,0.08652301095929837,,1,1.1163907132288613,,-0.1553580645161291,0.0277569392348087,4.5022062265566385
MLP,clay,sinusoidal,0.2599568444711787,,1,0.7203260166289693,,-0.08251687921980498,0.010502625656414103,4.329199399849962
MLP,dirt,lane_change,0.021110343987558997,,1,0.8784471144558014,,-0.0073970742685671165,0.0,4.433758664666166
MLP,dirt,sinusoidal,0.09543513232168783,,1,0.7834445927217611,,0.1635801200300075,0.046511627906976744,5.1646385596399105
MLP,sand,lane_change,0.019967506217186546,,1,0.720806093910668,,-0.6394855963990997,0.6106526631657915,4.314472993248312
MLP,sand,sinusoidal,0.0577476906885242,,1,0.8195172758864631,,-0.8059333833458364,0.7606901725431358,4.1928617404351085
Pacejka,clay,lane_change,0.04151057683054948,,1,0.9697747929956637,,-0.17603893473368346,0.02700675168792198,4.477430832708177
Pacejka,clay,sinusoidal,,,0,,,,,
Pacejka,dirt,lane_change,0.053551029795560805,,1,0.7209946264729375,,-0.005936834208552081,0.0,4.4172313578394595
Pacejka,dirt,sinusoidal,0.793909358052821,,1,0.8983927074443544,,0.435138784696174,0.0,5.437836759189798
Pacejka,sand,lane_change,0.02655777915570918,,1,0.7247802261248202,,-0.656877344336084,0.5731432858214554,4.304657239309827
Pacejka,sand,sinusoidal,0.10756734456278458,,1,0.8192903681505941,,-0.8071024006001499,0.7636909227306826,4.190506601650413
TMeasy,clay,lane_change,0.030807815773995422,,1,0.9940203521194156,,-0.2309235558889722,0.025506376594148537,4.467547411852964
TMeasy,clay,sinusoidal,2.474707149323308,,1,0.7664170187023767,,0.09139309827456864,0.08252063015753938,4.459714778694673
TMeasy,dirt,lane_change,0.025102503225107684,,1,0.6386647535322042,,-0.019001875468867235,0.0,4.372254313578395
TMeasy,dirt,sinusoidal,1.2844297167753265,,1,0.7434934744596896,,-0.00673120780195049,0.09227306826706677,4.99418672168042
TMeasy,sand,lane_change,0.01763359477826915,,1,0.7247970559219099,,-0.6543230307576895,0.5416354088522131,4.304578469617404
TMeasy,sand,sinusoidal,0.08097256345416227,,1,0.8180583674519438,,-0.8064751687921979,0.7434358589647412,4.193606676669167
