experiment,variant,controller_mode,mpc_model,nn_model,terrain,path,speed_mps,bumpiness,seed,run_dir,status,rc,wall_s,sim_s,rt_factor,diag_csv,collision_csv,shield_csv,n_samples,rms_cte_m,max_abs_cte_m,mean_abs_cte_m,mean_speed_mps,p95_speed_mps,speed_ratio,mean_solve_ms,p99_solve_ms,progress_m,final_x_m,final_y_m,collisions,near_misses,min_clearance_m,intervention_rate_pct,mean_abs_dsteer,mean_abs_dthrottle,notes,extra_sim_diag_csv,extra_mean_vtheta_cmd,extra_mean_vmax_path
mpcc_vs_mpc_speed_tracking,standard_mpc_soft_speed,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,lane_change,5.0,4,201,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0011_standard_mpc_soft_speed_clay_lane_change_v5_b4_s201,ok,0,14.704254388809204,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0011_standard_mpc_soft_speed_clay_lane_change_v5_b4_s201/20260515_013015_547412_clay_lane_change_acados_rate_mlp/diag_clay_lane_change_acados_rate_mlp.csv,,,1000,0.0700937874680049,0.216447,0.0442445702280912,2.92751212484994,3.7505,0.585502424969988,6.619869999999999,6.880299999999999,30.893114026332363,32.158307,3.032967,0,0,,,,,Same MPC with weaker speed tracking so turns prioritize path tracking over v_ref recovery.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc_soft_speed,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,lane_change,7.0,0,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0012_standard_mpc_soft_speed_clay_lane_change_v7_b0_s200,ok,0,14.359795093536375,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0012_standard_mpc_soft_speed_clay_lane_change_v7_b0_s200/20260515_013030_289173_clay_lane_change_acados_rate_mlp/diag_clay_lane_change_acados_rate_mlp.csv,,,1000,0.0809954609050908,0.247518,0.051253144057623,3.0795830732292915,3.90512,0.4399404390327559,5.2574,6.9752999999999945,32.21389971632556,33.487096,3.042813,0,0,,,,,Same MPC with weaker speed tracking so turns prioritize path tracking over v_ref recovery.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc_soft_speed,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,lane_change,7.0,0,201,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0013_standard_mpc_soft_speed_clay_lane_change_v7_b0_s201,ok,0,14.410510301589966,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0013_standard_mpc_soft_speed_clay_lane_change_v7_b0_s201/20260515_013044_676158_clay_lane_change_acados_rate_mlp/diag_clay_lane_change_acados_rate_mlp.csv,,,1000,0.0754291803291727,0.230532,0.0491451596638655,3.084845858343337,3.93332,0.4406922654776196,5.27526,5.9808,32.24011807626151,33.51571,3.044352,0,0,,,,,Same MPC with weaker speed tracking so turns prioritize path tracking over v_ref recovery.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc_soft_speed,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,lane_change,7.0,4,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0014_standard_mpc_soft_speed_clay_lane_change_v7_b4_s200,ok,0,14.717644214630129,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0014_standard_mpc_soft_speed_clay_lane_change_v7_b4_s200/20260515_013059_039081_clay_lane_change_acados_rate_mlp/diag_clay_lane_change_acados_rate_mlp.csv,,,1000,0.0812557334897026,0.254788,0.0499879675870348,3.067973349339736,3.93076,0.4382819070485336,5.137149999999999,5.550899999999999,32.28454565200492,33.54732,3.041011,0,0,,,,,Same MPC with weaker speed tracking so turns prioritize path tracking over v_ref recovery.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc_soft_speed,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,lane_change,7.0,4,201,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0015_standard_mpc_soft_speed_clay_lane_change_v7_b4_s201,ok,0,14.663144826889038,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0015_standard_mpc_soft_speed_clay_lane_change_v7_b4_s201/20260515_013113_753029_clay_lane_change_acados_rate_mlp/diag_clay_lane_change_acados_rate_mlp.csv,,,999,0.0694024631862885,0.224155,0.0423148283313325,3.099654021608643,3.97582,0.4428077173726633,4.992312312312312,5.1902,32.617062934432894,33.878038,3.03493,0,0,,,,,Same MPC with weaker speed tracking so turns prioritize path tracking over v_ref recovery.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc_soft_speed,standard,nn,closed_loop_v2_both_axles_rate_32_16,sand,sinusoidal,5.0,0,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0016_standard_mpc_soft_speed_sand_sinusoidal_v5_b0_s200,ok,0,35.02571725845337,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0016_standard_mpc_soft_speed_sand_sinusoidal_v5_b0_s200/20260515_013149_501782_sand_sinusoidal_acados_rate_mlp/diag_sand_sinusoidal_acados_rate_mlp.csv,,,996,0.0637069981406944,0.194101,0.0493363769507803,2.7754284513805523,3.74438,0.5550856902761104,5.568524096385542,7.725999999999958,28.8511244588549,29.477889,-1.784427,0,0,,,,,Same MPC with weaker speed tracking so turns prioritize path tracking over v_ref recovery.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc_soft_speed,standard,nn,closed_loop_v2_both_axles_rate_32_16,sand,sinusoidal,5.0,0,201,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0017_standard_mpc_soft_speed_sand_sinusoidal_v5_b0_s201,ok,0,14.412732124328612,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0017_standard_mpc_soft_speed_sand_sinusoidal_v5_b0_s201/20260515_013203_531524_sand_sinusoidal_acados_rate_mlp/diag_sand_sinusoidal_acados_rate_mlp.csv,,,1000,0.0607860424743927,0.181918,0.0443242460984393,3.043346818727491,3.99496,0.6086693637454982,6.03788,7.08,32.33213382003792,32.842112,-0.877125,0,0,,,,,Same MPC with weaker speed tracking so turns prioritize path tracking over v_ref recovery.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc_soft_speed,standard,nn,closed_loop_v2_both_axles_rate_32_16,sand,sinusoidal,5.0,4,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0018_standard_mpc_soft_speed_sand_sinusoidal_v5_b4_s200,ok,0,14.712831735610962,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0018_standard_mpc_soft_speed_sand_sinusoidal_v5_b4_s200/20260515_013217_943692_sand_sinusoidal_acados_rate_mlp/diag_sand_sinusoidal_acados_rate_mlp.csv,,,1000,0.0613184385118131,0.198456,0.0452480864345738,2.9446205282112845,3.86734,0.588924105642257,5.29875,6.891199999999999,31.304023221292532,31.895971,-1.201665,0,0,,,,,Same MPC with weaker speed tracking so turns prioritize path tracking over v_ref recovery.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc_soft_speed,standard,nn,closed_loop_v2_both_axles_rate_32_16,sand,sinusoidal,5.0,4,201,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0019_standard_mpc_soft_speed_sand_sinusoidal_v5_b4_s201,ok,0,14.765474796295166,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0019_standard_mpc_soft_speed_sand_sinusoidal_v5_b4_s201/20260515_013232_649267_sand_sinusoidal_acados_rate_mlp/diag_sand_sinusoidal_acados_rate_mlp.csv,,,1000,0.0623260461446802,0.179131,0.0475402424969988,2.824179351740697,3.7843,0.5648358703481393,5.20912,5.7405,30.000428296503053,30.646477,-1.565262,0,0,,,,,Same MPC with weaker speed tracking so turns prioritize path tracking over v_ref recovery.,,,
mpcc_vs_mpc_speed_tracking,standard_mpc_soft_speed,standard,nn,closed_loop_v2_both_axles_rate_32_16,sand,sinusoidal,7.0,0,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0020_standard_mpc_soft_speed_sand_sinusoidal_v7_b0_s200,ok,0,14.365732431411743,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260515_012713/raw/0020_standard_mpc_soft_speed_sand_sinusoidal_v7_b0_s200/20260515_013247_387339_sand_sinusoidal_acados_rate_mlp/diag_sand_sinusoidal_acados_rate_mlp.csv,,,1000,0.0625745748406059,0.187837,0.0462829411764705,3.2398899159663865,4.12992,0.4628414165666266,5.22223,5.8004,34.39045391276301,34.722401,-0.092263,0,0,,,,,Same MPC with weaker speed tracking so turns prioritize path tracking over v_ref recovery.,,,
