experiment,variant,controller_mode,mpc_model,nn_model,terrain,path,speed_mps,bumpiness,seed,run_dir,status,rc,wall_s,sim_s,rt_factor,diag_csv,collision_csv,shield_csv,n_samples,rms_cte_m,max_abs_cte_m,mean_abs_cte_m,mean_speed_mps,p95_speed_mps,speed_ratio,mean_solve_ms,p99_solve_ms,progress_m,final_x_m,final_y_m,collisions,near_misses,min_clearance_m,intervention_rate_pct,mean_abs_dsteer,mean_abs_dthrottle,notes,extra_mean_vtheta_cmd,extra_mean_vmax_path
mpcc_vs_mpc_speed_tracking,standard_mpc,standard,nn,closed_loop_v1_mlp_32_16,clay,sinusoidal,5.0,0,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_003404/raw/0000_standard_mpc_clay_sinusoidal_v5_b0_s200,ok,0,5.431152105331421,3.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_003404/raw/0000_standard_mpc_clay_sinusoidal_v5_b0_s200/20260513_003406_228298_clay_sinusoidal_acados_static_mlp/diag_clay_sinusoidal_acados_static_mlp.csv,,,250,0.1262712106890542,0.165764,0.12327548192771083,2.216626506024096,2.42734,0.4433253012048192,5.37484,7.524999999999995,3.4076911332714577,5.021353,0.165764,0,0,,,,,Baseline reference-tracking MPC with the closed-loop NN surrogate.,,
mpcc_vs_mpc_speed_tracking,mpcc_default,mpcc,nn,closed_loop_v1_mlp_32_16,clay,sinusoidal,5.0,0,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_003404/raw/0001_mpcc_default_clay_sinusoidal_v5_b0_s200,ok,0,11.607811689376831,3.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_003404/raw/0001_mpcc_default_clay_sinusoidal_v5_b0_s200/diag_mpcc.csv,,,249,0.42357653054544425,0.6184,0.4138204819277109,2.860512048192771,3.49124,0.5721024096385542,0.7289759036144577,0.9367200000000007,4.25,4.1907,0.5172,0,0,,,,,Current MPCC defaults.,5.0,0.8534987951807231
mpcc_vs_mpc_speed_tracking,mpcc_less_speed_cap,mpcc,nn,closed_loop_v1_mlp_32_16,clay,sinusoidal,5.0,0,200,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_003404/raw/0002_mpcc_less_speed_cap_clay_sinusoidal_v5_b0_s200,ok,0,11.60391879081726,3.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mpcc_vs_mpc_speed_tracking_20260513_003404/raw/0002_mpcc_less_speed_cap_clay_sinusoidal_v5_b0_s200/diag_mpcc.csv,,,249,0.6530301911875205,0.9227,0.6324481927710842,2.832646987951807,3.36244,0.5665293975903614,1.0770803212851405,1.3491600000000004,4.25,4.1488,0.9231,0,0,,,,,Tests whether MPCC is being boxed in by vtheta_max and the soft curvature speed cap.,8.0,0.881742168674699
