distribution,n_runs,n_ok,n_abs_err_tail_mean,n_abs_err_tail_std,mean_speed_mps_mean,first_update_time_s_mean
id,36,36,0.0013788488178488754,0.0017906619687062127,7.266109762903763,4.164
ood,96,96,0.041561372242341,0.027054664636185204,5.7215344281968035,4.164
