variant,n_runs,n_ok,collisions_mean,collisions_std,near_misses_mean,near_misses_std,min_clearance_m_mean,min_clearance_m_std,intervention_rate_pct_mean,intervention_rate_pct_std,rms_cte_m_mean,rms_cte_m_std
no_filter,32,32,2.0,0.9837387536759294,2.625,1.2889105176778741,-1.644203125,0.5033213098584852,,,0.19062003632441055,0.40348065152008455
dob_cbf_nn,32,32,0.0,0.0,2.40625,0.7120789644505048,0.52389375,0.2047352467212229,58.246875,9.285228795798334,2.834684132137504,0.7691850188754774
dob_cbf_no_nn,32,32,1.0,0.842423539174232,2.59375,1.1319231422671772,-0.20186874999999993,0.29695391891618034,46.54375,8.934923777135753,2.106322161320765,1.3571184597767212
