time_s,control_delay_ms,manual_delay_ms,camera_delay_ms
0.0,450.0,450.0,660.5
0.05,450.0,450.0,660.5
0.1,450.0,450.0,660.5
0.15000000000000002,450.0,450.0,660.5
0.2,450.0,450.0,660.5
0.25,450.0,450.0,660.5
0.30000000000000004,450.0,450.0,660.5
0.35000000000000003,450.0,450.0,660.5
0.4,450.0,450.0,660.5
0.45,450.0,450.0,660.5
0.5,450.0,450.0,660.5
0.55,450.0,450.0,660.5
0.6000000000000001,450.0,450.0,660.5
0.65,450.0,450.0,660.5
0.7000000000000001,450.0,450.0,660.5
0.75,450.0,450.0,660.5
0.8,450.0,450.0,660.5
0.8500000000000001,450.0,450.0,660.5
0.9,450.0,450.0,660.5
0.9500000000000001,450.0,450.0,660.5
1.0,450.0,450.0,660.5
1.05,450.0,450.0,660.5
1.1,450.0,450.0,660.5
1.1500000000000001,450.0,450.0,660.5
1.2000000000000002,450.0,450.0,660.5
1.25,450.0,450.0,660.5
1.3,450.0,450.0,660.5
1.35,450.0,450.0,660.5
1.4000000000000001,450.0,450.0,660.5
1.4500000000000002,450.0,450.0,660.5
1.5,450.0,450.0,660.5
1.55,450.0,450.0,660.5
1.6,450.0,450.0,660.5
1.6500000000000001,450.0,450.0,660.5
1.7000000000000002,450.0,450.0,660.5
1.75,450.0,450.0,660.5
1.8,450.0,450.0,660.5
1.85,450.0,450.0,660.5
1.9000000000000001,450.0,450.0,660.5
1.9500000000000002,450.0,450.0,660.5
2.0,450.0,450.0,660.5
2.0500000000000003,450.0,450.0,660.5
2.1,450.0,450.0,660.5
2.15,450.0,450.0,660.5
2.2,450.0,450.0,660.5
2.25,450.0,450.0,660.5
2.3000000000000003,450.0,450.0,660.5
2.35,450.0,450.0,660.5
2.4000000000000004,450.0,450.0,660.5
2.45,450.0,450.0,660.5
2.5,450.0,450.0,660.5
2.5500000000000003,450.0,450.0,660.5
2.6,450.0,450.0,660.5
2.6500000000000004,450.0,450.0,660.5
2.7,450.0,450.0,660.5
2.75,450.0,450.0,660.5
2.8000000000000003,450.0,450.0,660.5
2.85,450.0,450.0,660.5
2.9000000000000004,450.0,450.0,660.5
2.95,450.0,450.0,660.5
3.0,450.0,450.0,660.5
3.0500000000000003,450.0,450.0,660.5
3.1,450.0,450.0,660.5
3.1500000000000004,450.0,450.0,660.5
3.2,450.0,450.0,660.5
3.25,450.0,450.0,660.5
3.3000000000000003,450.0,450.0,660.5
3.35,450.0,450.0,660.5
3.4000000000000004,450.0,450.0,660.5
3.45,450.0,450.0,660.5
3.5,450.0,450.0,660.5
3.5500000000000003,450.0,450.0,660.5
3.6,450.0,450.0,660.5
3.6500000000000004,450.0,450.0,660.5
3.7,450.0,450.0,660.5
3.75,450.0,450.0,660.5
3.8000000000000003,450.0,450.0,660.5
3.85,450.0,450.0,660.5
3.9000000000000004,450.0,450.0,660.5
3.95,450.0,450.0,660.5
4.0,450.0,450.0,660.5
4.05,450.0,450.0,660.5
4.1000000000000005,450.0,450.0,660.5
4.15,450.0,450.0,660.5
4.2,450.0,450.0,660.5
4.25,450.0,450.0,660.5
4.3,450.0,450.0,660.5
4.3500000000000005,450.0,450.0,660.5
4.4,450.0,450.0,660.5
4.45,450.0,450.0,660.5
4.5,450.0,450.0,660.5
4.55,450.0,450.0,660.5
4.6000000000000005,450.0,450.0,660.5
4.65,450.0,450.0,660.5
4.7,450.0,450.0,660.5
4.75,450.0,450.0,660.5
4.800000000000001,450.0,450.0,660.5
4.8500000000000005,450.0,450.0,660.5
4.9,450.0,450.0,660.5
4.95,450.0,450.0,660.5
5.0,450.0,450.0,660.5
5.050000000000001,450.0,450.0,660.5
5.1000000000000005,450.0,450.0,660.5
5.15,450.0,450.0,660.5
5.2,450.0,450.0,660.5
