distribution,case_label,n_runs,true_n,n_est_tail,n_abs_err_tail,n_abs_err_std,true_phi_deg,phi_est_tail_deg,phi_abs_err_tail_deg,phi_abs_err_std_deg,rms_cte_m
id,clay,4,0.5,0.5137998130000001,0.013799813000000001,0.004662529601450199,13.0,14.401576625,1.4015766250000001,0.38292728241379154,0.048286786188123196
id,dirt,4,0.7,0.6213158905,0.07868410949999995,0.008392669443523772,29.0,22.745240825,6.254759175000003,0.7201060394993961,0.2156038216064024
id,sand,4,1.1,1.038174473,0.06182552700000005,0.020076174787307697,30.0,29.358651421,0.641348578999998,0.09370680769361167,0.03497831321876205
ood,terrain1,4,0.7283,0.6721685485,0.056131451499999874,0.012654133838916854,30.98,26.078393647000002,4.901606353000002,1.1074176110819025,0.1359808869442728
ood,terrain2,4,0.7638,0.6252193475000001,0.13858065249999996,0.010149880497140027,27.46,22.3790065595,5.0809934405,0.6077367868413268,0.4316271232958976
ood,terrain3,4,0.8824,0.669717123,0.21268287699999994,0.021395390676411163,24.58,23.3884271855,1.1915728144999962,0.9963499558872834,0.08188727669347601
ood,terrain4,4,0.7894,0.761726752,0.02767324799999995,0.02145513599570826,32.64,28.738279165,3.901720835,0.4345250236300958,0.26384516968304267
ood,terrain5,4,0.9641,0.948441318,0.02113035699999996,0.021327316321891526,30.68,29.0678424515,1.6121575484999981,0.5270038475871048,0.03585740745235595
ood,terrain6,4,0.9248,0.8736488525,0.05115114749999995,0.03490428545563271,28.68,28.0726496485,0.6073503514999992,0.6772354445387327,0.040785693095185004
