variant,terrain,path,speed_mps,bumpiness,seed,true_n,n_tail,n_abs_err_tail,true_phi_deg,phi_tail_deg,phi_abs_err_tail_deg
nn_v3_estimator,clay,sinusoidal,5.0,0,400,0.5,0.5136865199999999,0.013686519999999924,13.0,29.0,16.0
nn_v3_estimator,clay,sinusoidal,5.0,4,400,0.5,0.514481174,0.014481174000000041,13.0,29.0,16.0
nn_v3_estimator,clay,sinusoidal,7.0,0,400,0.5,0.50783281,0.007832810000000023,13.0,29.0,16.0
nn_v3_estimator,clay,sinusoidal,7.0,4,400,0.5,0.512446596,0.012446595999999976,13.0,29.0,16.0
nn_v3_estimator,clay,lane_change,5.0,0,400,0.5,0.691576992,0.191576992,13.0,29.0,16.0
nn_v3_estimator,clay,lane_change,5.0,4,400,0.5,0.70409941,0.20409940999999998,13.0,29.0,16.0
nn_v3_estimator,clay,lane_change,7.0,0,400,0.5,0.7958184869739477,0.29581848697394775,13.0,29.0,16.0
nn_v3_estimator,clay,lane_change,7.0,4,400,0.5,0.78765274,0.28765273999999996,13.0,29.0,16.0
nn_v3_estimator,dirt,sinusoidal,5.0,0,400,0.7,0.67388558,0.02611441999999997,29.0,29.0,0.0
nn_v3_estimator,dirt,sinusoidal,5.0,4,400,0.7,0.682624394,0.017375605999999988,29.0,29.0,0.0
nn_v3_estimator,dirt,sinusoidal,7.0,0,400,0.7,0.695977412,0.004022587999999994,29.0,29.0,0.0
nn_v3_estimator,dirt,sinusoidal,7.0,4,400,0.7,0.7003560499999999,0.00035604999999994114,29.0,29.0,0.0
nn_v3_estimator,dirt,lane_change,5.0,0,400,0.7,0.9461902120000001,0.24619021200000013,29.0,29.0,0.0
nn_v3_estimator,dirt,lane_change,5.0,4,400,0.7,0.9384119600000002,0.2384119600000002,29.0,29.0,0.0
nn_v3_estimator,dirt,lane_change,7.0,0,400,0.7,0.9328846059999999,0.23288460599999994,29.0,29.0,0.0
nn_v3_estimator,dirt,lane_change,7.0,4,400,0.7,0.9311413379999999,0.23114133799999992,29.0,29.0,0.0
nn_v3_estimator,sand,sinusoidal,5.0,0,400,1.1,1.0787112280000002,0.0212887719999999,30.0,29.0,1.0
nn_v3_estimator,sand,sinusoidal,5.0,4,400,1.1,1.0851545,0.014845500000000067,30.0,29.0,1.0
nn_v3_estimator,sand,sinusoidal,7.0,0,400,1.1,1.070286654,0.029713346000000085,30.0,29.0,1.0
nn_v3_estimator,sand,sinusoidal,7.0,4,400,1.1,1.0789166300000002,0.021083369999999935,30.0,29.0,1.0
nn_v3_estimator,sand,lane_change,5.0,0,400,1.1,1.0044241260000002,0.0955758739999999,30.0,29.0,1.0
nn_v3_estimator,sand,lane_change,5.0,4,400,1.1,0.9750600500000001,0.12493995000000002,30.0,29.0,1.0
nn_v3_estimator,sand,lane_change,7.0,0,400,1.1,1.0087441639999999,0.0912558360000002,30.0,29.0,1.0
nn_v3_estimator,sand,lane_change,7.0,4,400,1.1,0.9471602100000001,0.15283979000000003,30.0,29.0,1.0
nn_v3_joint_estimator,clay,sinusoidal,5.0,0,400,0.5,0.876109134,0.376109134,13.0,22.612716176,9.612716176
nn_v3_joint_estimator,clay,sinusoidal,5.0,4,400,0.5,0.8385955959999999,0.3385955959999999,13.0,22.72825632,9.72825632
nn_v3_joint_estimator,clay,sinusoidal,7.0,0,400,0.5,0.8436611900000001,0.34366119000000006,13.0,23.57952813,10.57952813
nn_v3_joint_estimator,clay,sinusoidal,7.0,4,400,0.5,0.84721454,0.34721453999999996,13.0,23.810809300000003,10.810809300000003
nn_v3_joint_estimator,clay,lane_change,5.0,0,400,0.5,0.7401146700000001,0.24011467000000009,13.0,13.53834493,0.5383449299999992
nn_v3_joint_estimator,clay,lane_change,5.0,4,400,0.5,0.7442225895895895,0.24422258958958953,13.0,13.673919629629628,0.6739196296296281
nn_v3_joint_estimator,clay,lane_change,7.0,0,400,0.5,0.75013684,0.25013684,13.0,16.08064744,3.08064744
nn_v3_joint_estimator,clay,lane_change,7.0,4,400,0.5,0.72689562,0.22689561999999996,13.0,14.910447347999998,1.9104473479999982
nn_v3_joint_estimator,dirt,sinusoidal,5.0,0,400,0.7,0.5774520339999999,0.12254796600000006,29.0,26.795253566,2.2047464340000005
nn_v3_joint_estimator,dirt,sinusoidal,5.0,4,400,0.7,0.59780163,0.10219836999999998,29.0,26.22183503,2.778164969999999
nn_v3_joint_estimator,dirt,sinusoidal,7.0,0,400,0.7,0.573515354,0.12648464599999998,29.0,28.424486672,0.5755133279999995
nn_v3_joint_estimator,dirt,sinusoidal,7.0,4,400,0.7,0.5884823160000001,0.11151768399999984,29.0,28.862607112000003,0.13739288799999727
nn_v3_joint_estimator,dirt,lane_change,5.0,0,400,0.7,0.74951633,0.04951633,29.0,14.414631689999998,14.585368310000002
nn_v3_joint_estimator,dirt,lane_change,5.0,4,400,0.7,0.7083009039999999,0.008300903999999942,29.0,14.148186366000001,14.851813633999999
nn_v3_joint_estimator,dirt,lane_change,7.0,0,400,0.7,0.69596956,0.0040304399999999685,29.0,17.544627472,11.455372528000002
nn_v3_joint_estimator,dirt,lane_change,7.0,4,400,0.7,0.726788086,0.026788086000000044,29.0,17.064518676,11.935481324000001
nn_v3_joint_estimator,sand,sinusoidal,5.0,0,400,1.1,1.06854673,0.03145327000000009,30.0,26.800879095999996,3.1991209040000044
nn_v3_joint_estimator,sand,sinusoidal,5.0,4,400,1.1,1.0856254619999999,0.014374538000000214,30.0,26.846304607999997,3.153695392000003
nn_v3_joint_estimator,sand,sinusoidal,7.0,0,400,1.1,1.0630812799999998,0.036918720000000294,30.0,28.641532359999996,1.3584676400000042
nn_v3_joint_estimator,sand,sinusoidal,7.0,4,400,1.1,1.08425241,0.015747590000000145,30.0,28.624241887999997,1.3757581120000033
nn_v3_joint_estimator,sand,lane_change,5.0,0,400,1.1,0.859630752,0.24036924800000004,30.0,14.063140074,15.936859926
nn_v3_joint_estimator,sand,lane_change,5.0,4,400,1.1,0.856190418,0.24380958200000014,30.0,14.584605078000001,15.415394921999999
nn_v3_joint_estimator,sand,lane_change,7.0,0,400,1.1,0.858979916,0.24102008400000008,30.0,16.764365612000002,13.235634387999998
nn_v3_joint_estimator,sand,lane_change,7.0,4,400,1.1,0.8576073859999999,0.24239261400000023,30.0,16.78493869,13.21506131
