backend,terrain,mean,std,count
MLP(deployed),clay,0.0719371976286363,0.021524370758566037,6
MLP(deployed),dirt,0.09039816127585576,0.09011481095459654,6
MLP(deployed),sand,0.04324133380528942,0.0059326438981543534,6
NN-UKF(live),clay,0.013141025500008433,0.004867172410774417,6
NN-UKF(live),dirt,0.1129007852954179,0.043297128680608324,6
NN-UKF(live),sand,0.47191538131943295,0.03195258630679496,6
