transition,n_runs,n_ok,pre_abs_err_mean,post_abs_err_mean,track_rmse_mean,response_dist_m_mean,response_dist_m_std,rms_cte_m_mean
clay_to_dirt,5,5,0.017186327465132444,0.021301040366778157,0.10150690176369541,18.773159999999997,5.062951941861583,
clay_to_sand,5,5,0.018061903286758985,0.448521139196445,0.3735705266363571,,,
dirt_to_clay,5,5,0.14620187479672736,0.04697332624320185,0.08804636631851863,38.43795,,
dirt_to_sand,5,5,0.1468913165233488,0.468251001376584,0.38264080579085025,,,
sand_to_clay,5,5,0.006180420449719249,0.018519623673436802,0.26923032860158636,14.049026000000001,1.8505077571385626,
sand_to_dirt,5,5,0.007218599568636286,0.03624815725711863,0.23293637036633036,10.121516000000002,0.6500385570718111,
