filter,delay_s,mpc_delay_comp,n_runs,n_ok,collisions_mean,min_clearance_m_mean,rms_cte_m_mean,speed_ratio_mean,intervention_rate_pct_mean
none,0.0,on,4,4,1.0,-1.2056,0.32053551705469047,0.6474907571214392,
none,0.15,on,4,4,1.0,-1.3163,0.3463013449392344,0.6558030134932533,
none,0.3,on,4,4,1.0,-1.27755,0.38507993995237516,0.6622549250374812,
dob_cbf,0.0,on,4,4,0.0,1.5370515,2.176770831545431,0.6937271814092953,42.4
dob_cbf,0.15,on,4,4,0.0,1.5230000000000001,2.061498863989907,0.653230419790105,52.2
dob_cbf,0.3,on,4,4,0.0,2.1350305,2.4063392639385413,0.5970103448275863,50.975
mppi,0.0,on,4,4,0.0,0.20562500000000003,0.6201598594249342,0.6469051492474138,51.699999999999996
mppi,0.15,on,4,4,0.0,0.18944999999999998,1.187160654458411,0.6842551711052238,58.1
mppi,0.3,on,4,4,0.0,0.41070000000000007,1.2675153827231218,0.6631382038464518,58.574999999999996
