label,n_true,phi_true,throttle,steer_amp,seed,ok,wall_s,csv
grid_n070_phi24,0.700,24.00,0.50,0.50,0,0,-1.0,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n070_phi24_thr50_amp50_seed0.csv
grid_n070_phi24,0.700,24.00,0.50,0.50,0,1,10.2,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n070_phi24_thr50_amp50_seed0.csv
grid_n050_phi18,0.500,18.00,0.45,0.50,0,1,24.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n050_phi18_thr45_amp50_seed0.csv
grid_n050_phi24,0.500,24.00,0.45,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n050_phi24_thr45_amp50_seed0.csv
grid_n050_phi18,0.500,18.00,0.65,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n050_phi18_thr65_amp50_seed0.csv
grid_n050_phi12,0.500,12.00,0.65,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n050_phi12_thr65_amp50_seed0.csv
grid_n050_phi12,0.500,12.00,0.45,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n050_phi12_thr45_amp50_seed0.csv
grid_n050_phi24,0.500,24.00,0.65,0.50,0,1,24.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n050_phi24_thr65_amp50_seed0.csv
grid_n050_phi30,0.500,30.00,0.45,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n050_phi30_thr45_amp50_seed0.csv
grid_n050_phi35,0.500,35.00,0.65,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n050_phi35_thr65_amp50_seed0.csv
grid_n050_phi35,0.500,35.00,0.45,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n050_phi35_thr45_amp50_seed0.csv
grid_n050_phi30,0.500,30.00,0.65,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n050_phi30_thr65_amp50_seed0.csv
grid_n065_phi12,0.650,12.00,0.45,0.50,0,1,24.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n065_phi12_thr45_amp50_seed0.csv
grid_n065_phi12,0.650,12.00,0.65,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n065_phi12_thr65_amp50_seed0.csv
grid_n065_phi18,0.650,18.00,0.65,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n065_phi18_thr65_amp50_seed0.csv
grid_n065_phi18,0.650,18.00,0.45,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n065_phi18_thr45_amp50_seed0.csv
grid_n065_phi24,0.650,24.00,0.45,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n065_phi24_thr45_amp50_seed0.csv
grid_n065_phi24,0.650,24.00,0.65,0.50,0,1,24.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n065_phi24_thr65_amp50_seed0.csv
grid_n065_phi30,0.650,30.00,0.45,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n065_phi30_thr45_amp50_seed0.csv
