backend,idx,n_true,status,abs_dn,est_n
MLP,0,0.5243341538719134,ok,0.05503857679475321,0.5793727306666666
Bekker-UKF,0,0.5243341538719134,ok,0.02705343944832228,0.5513875933202357
NN-UKF,0,0.5243341538719134,ok,0.015721222128086576,0.540055376
Fused-UKF,0,0.5243341538719134,ok,0.09303267812808658,0.617366832
MLP,3,0.5414347345631585,ok,0.004739958537921973,0.5366947760252365
Bekker-UKF,2,0.5348056446724517,ok,0.015928132435982012,0.5507337771084337
Bekker-UKF,3,0.5414347345631585,ok,0.02602668265538466,0.5674614172185432
NN-UKF,3,0.5414347345631585,ok,0.0008720901187141417,0.5405626444444444
MLP,2,0.5348056446724517,ok,0.01128992816154828,0.5235157165109035
Bekker-UKF,1,0.529862382331146,ok,0.07168863850218732,0.6015510208333333
NN-UKF,2,0.5348056446724517,ok,0.004462152364759442,0.5303434923076923
Fused-UKF,3,0.5414347345631585,ok,0.02624773210350806,0.5676824666666666
NN-UKF,1,0.529862382331146,ok,0.009738501502130514,0.5201238808290155
Fused-UKF,1,0.529862382331146,ok,0.07239784215864986,0.6022602244897959
Fused-UKF,2,0.5348056446724517,ok,0.013605695753080238,0.548411340425532
MLP,1,0.529862382331146,ok,0.013611518903421826,0.5434739012345678
Bekker-UKF,4,0.5467589475836131,ok,0.12388918925849202,0.6706481368421051
MLP,5,0.5521706680730838,ok,0.010047936443690841,0.542122731629393
MLP,4,0.5467589475836131,ok,0.05349564538121099,0.6002545929648241
Fused-UKF,4,0.5467589475836131,ok,0.039899235025082413,0.5866581826086955
Bekker-UKF,5,0.5521706680730838,ok,0.010388067775972676,0.5625587358490565
NN-UKF,4,0.5467589475836131,ok,0.009590953872921304,0.5371679937106918
NN-UKF,5,0.5521706680730838,ok,0.011069240420350623,0.5411014276527332
Fused-UKF,6,0.5543275604298786,ok,0.011228524894353442,0.5655560853242321
Fused-UKF,5,0.5521706680730838,ok,0.02670344151595727,0.5788741095890411
Bekker-UKF,6,0.5543275604298786,ok,0.004668785482071169,0.5589963459119498
MLP,6,0.5543275604298786,ok,0.005191678656479626,0.549135881773399
NN-UKF,6,0.5543275604298786,ok,0.02366911505172742,0.5306584453781512
