backend,N_ok,median_abs_dn,mean_abs_dn,median_pct_err,pct_within_20
MLP,100,0.05467936574081267,0.0754188263696474,6.67441258543678,83.0
Bekker-UKF,100,0.18937460105831255,0.23852615172995684,23.765299974829276,41.0
NN-UKF,100,0.1858534143667015,0.20487988843307445,23.812723323360686,44.0
Fused-UKF,100,0.028022553556039054,0.056402936614966634,4.478735188296016,94.0
