backend,clay,dirt,sand,ALL,N
MLP(deployed),0.071,0.075,0.042,0.063,18
NN-UKF(live;per-tick-fix),0.044,0.057,0.429,0.177,18
Fused(regime;n0=0.85),0.044,0.044,0.037,0.042,18
