backend,idx,n_true,status,abs_dn,est_n
MLP,0,1.0227502931836912,ok,0.1887917331836912,0.8491993493333333
Bekker-UKF,0,1.0227502931836912,ok,0.470677473605956,0.5520728195777351
NN-UKF,0,1.0227502931836912,ok,0.4757236158503578,0.5508129306666666
Fused-UKF,0,1.0227502931836912,ok,0.2606589731836913,0.7620913199999998
Fused-UKF,1,0.9642192181968527,ok,0.3921955296722627,0.5720236885245901
MLP,2,0.5564988443777952,ok,0.0163673609453988,0.5558261309904154
Fused-UKF,3,0.5780581925183281,ok,0.0172924813167973,0.5953506738351255
Fused-UKF,2,0.5564988443777952,ok,0.0438632018268252,0.6003620462046204
NN-UKF,2,0.5564988443777952,ok,0.0322571418136925,0.5242417025641026
NN-UKF,1,0.9642192181968527,ok,0.15507477233698,0.8304104321766562
Bekker-UKF,1,0.9642192181968527,ok,0.3516272441708786,0.6125919740259741
MLP,1,0.9642192181968527,ok,0.4629928499428845,0.5407012727272728
MLP,3,0.5780581925183281,ok,0.0012667064715708,0.579324898989899
Bekker-UKF,2,0.5564988443777952,ok,0.0208071231018796,0.5773059674796748
Bekker-UKF,3,0.5780581925183281,ok,0.0115356825183281,0.56652251
NN-UKF,3,0.5780581925183281,ok,0.0440779886966721,0.5282772181208055
MLP,4,0.9109274584338014,ok,0.4222086571719717,0.48871880126182965
NN-UKF,5,1.035362280914547,ok,0.3175545564563428,0.6170495696202531
NN-UKF,4,0.9109274584338014,ok,0.0449886665661984,0.8978134826388889
Fused-UKF,4,0.9109274584338014,ok,0.3753096330369759,0.5356178253968255
MLP,6,0.9534153871913396,ok,0.0748096818621859,0.8786057053291536
MLP,5,1.035362280914547,ok,0.2624552887057061,1.2970578317757009
Bekker-UKF,4,0.9109274584338014,ok,0.1654832894197169,0.7454441690140845
Bekker-UKF,6,0.9534153871913396,ok,0.3677970059413395,0.5665945677419355
NN-UKF,6,0.9534153871913396,ok,0.3079763473903445,0.7676118859934854
Bekker-UKF,5,1.035362280914547,ok,0.4894731192983854,0.5458891616161616
Fused-UKF,5,1.035362280914547,ok,0.0646331599456677,1.0999954408602148
Fused-UKF,6,0.9534153871913396,ok,0.1921465522078411,0.7612688349834984
MLP,7,0.6707979197692363,ok,0.1235146535153663,0.5839429003021148
Bekker-UKF,7,0.6707979197692363,ok,0.1313860447692363,0.539411875
Bekker-UKF,8,0.7657719262611493,ok,0.107049717927816,0.6587222083333333
NN-UKF,7,0.6707979197692363,ok,0.1218119345475614,0.5489859852216749
MLP,8,0.7657719262611493,ok,0.1753252009525073,0.590446725308642
Fused-UKF,7,0.6707979197692363,ok,0.0929216395494562,0.5778762802197801
Fused-UKF,8,0.7657719262611493,ok,0.1785578580017637,0.5872140682593856
NN-UKF,9,1.0008148351503745,ok,0.0460070286987612,0.954807806451613
NN-UKF,8,0.7657719262611493,ok,0.0025798881718405,0.7683518144329898
Bekker-UKF,9,1.0008148351503745,ok,0.3381969331895899,0.7159014025974024
MLP,9,1.0008148351503745,ok,0.4857171553474185,0.50444606501548
Fused-UKF,9,1.0008148351503745,ok,0.4451115334554589,0.5557033016949153
MLP,10,0.7355694974377465,ok,0.2325759314000106,0.5029935660377358
Bekker-UKF,10,0.7355694974377465,ok,0.0491336922429412,0.6374454195804196
NN-UKF,10,0.7355694974377465,ok,0.0407217891864574,0.7762912866242039
MLP,12,0.9105260962732438,ok,0.3772568249798683,0.5887990598006644
Bekker-UKF,11,0.6331545304805908,ok,0.1293003982966828,0.503854132183908
Bekker-UKF,12,0.9105260962732438,ok,0.2821291712732439,0.6283969249999999
MLP,11,0.6331545304805908,ok,0.1487415418464533,0.7262746734693878
NN-UKF,11,0.6331545304805908,ok,0.1246132628749568,0.5085412676056339
Fused-UKF,10,0.7355694974377465,ok,0.1424401085488575,0.5931293888888889
Fused-UKF,11,0.6331545304805908,ok,0.01007887272658,0.6230756577540107
NN-UKF,12,0.9105260962732438,ok,0.2363432544365089,0.6741828418367348
Fused-UKF,12,0.9105260962732438,ok,0.2913023462732437,0.6192237500000001
MLP,13,0.5256136813416314,ok,0.0456841186583685,0.5712978
Bekker-UKF,13,0.5256136813416314,ok,0.0740425010483055,0.5986574967320261
NN-UKF,13,0.5256136813416314,ok,0.0867308882376566,0.6123445695792881
Fused-UKF,13,0.5256136813416314,ok,0.0692840631028129,0.5948977444444444
Fused-UKF,14,0.8099753760649511,ok,0.2582675208925373,0.5517078551724137
MLP,14,0.8099753760649511,ok,0.2980606599359189,0.5119147161290322
Bekker-UKF,15,0.6079207936436297,ok,0.0755358119901731,0.6834566056338028
MLP,15,0.6079207936436297,ok,0.0737165061036936,0.5239916666666667
Fused-UKF,15,0.6079207936436297,ok,0.0282347374638544,0.5796860561797753
NN-UKF,15,0.6079207936436297,ok,0.3211085553147035,0.9082177623762375
NN-UKF,14,0.8099753760649511,ok,0.0775729557322838,0.865509033444816
Bekker-UKF,14,0.8099753760649511,ok,0.1399340344500442,0.6067247604166667
MLP,16,0.8797107837761362,ok,0.3611342434034653,0.5248794580645161
Bekker-UKF,16,0.8797107837761362,ok,0.2538448429866625,0.5900297096774194
Fused-UKF,16,0.8797107837761362,ok,0.3487658318861019,0.5309449518900343
NN-UKF,16,0.8797107837761362,ok,0.1337999466425857,0.7459108371335504
Bekker-UKF,18,0.538758529403782,ok,0.0194909828199311,0.5179550256410257
Bekker-UKF,17,0.5727393148170837,ok,0.0372659389781576,0.5354733758389261
NN-UKF,18,0.538758529403782,ok,0.0084696075796777,0.5363618554216869
NN-UKF,17,0.5727393148170837,ok,0.0568138559563242,0.5175410781758958
Fused-UKF,17,0.5727393148170837,ok,0.3102789559011482,0.8830182707182319
MLP,18,0.538758529403782,ok,0.0875553514252335,0.5286242167832168
MLP,17,0.5727393148170837,ok,0.3935403533051871,0.9108849875776399
Fused-UKF,18,0.538758529403782,ok,0.095852973358649,0.6346115027624311
MLP,19,1.0663485169165834,ok,0.5781252220447886,0.4882232948717949
Fused-UKF,19,1.0663485169165834,ok,0.5122892893303764,0.554059227586207
NN-UKF,19,1.0663485169165834,ok,0.3356933104649705,0.7306552064516129
Bekker-UKF,19,1.0663485169165834,ok,0.4085043533945709,0.6578441635220125
Bekker-UKF,20,0.7777862647863056,ok,0.2475666390194345,0.5272649133333335
MLP,20,0.7777862647863056,ok,0.2079109906430034,0.6251504921465969
NN-UKF,20,0.7777862647863056,ok,0.2317214314529723,0.5468010876623378
MLP,21,0.9787872187782318,ok,0.0953014325038195,1.0740886512820513
NN-UKF,21,0.9787872187782318,ok,0.4729709149807635,0.5058163037974683
Bekker-UKF,21,0.9787872187782318,ok,0.4256481226243856,0.5531390961538462
Fused-UKF,21,0.9787872187782318,ok,0.0832174980359274,1.0620047168141593
Fused-UKF,20,0.7777862647863056,ok,0.1820506193962348,0.5957356453900708
MLP,22,0.9462382331145978,ok,0.2785106526729574,0.6677275804416404
Bekker-UKF,22,0.9462382331145978,ok,0.429502640091342,0.5167355930232558
NN-UKF,22,0.9462382331145978,ok,0.4269385180886911,0.5192997150259067
Fused-UKF,22,0.9462382331145978,ok,0.293871181568206,0.6523670515463917
MLP,23,0.9601960109550942,ok,0.2897688144417312,1.2376087631578947
Bekker-UKF,23,0.9601960109550942,ok,0.4274285650952216,0.5362465350318473
Fused-UKF,23,0.9601960109550942,ok,0.1398030977405577,1.099999108695652
NN-UKF,24,0.6453929608877946,ok,0.0852700779471569,0.7621221034482759
MLP,24,0.6453929608877946,ok,0.0410650055306517,0.5581466930379747
Bekker-UKF,24,0.6453929608877946,ok,0.0885664408877946,0.55682652
NN-UKF,23,0.9601960109550942,ok,0.3516120609550941,0.6198494498141264
Fused-UKF,24,0.6453929608877946,ok,0.0853844718768055,0.5600084890109891
MLP,25,0.6943810008391451,ok,0.1506698519718311,0.5177644709677419
Bekker-UKF,25,0.6943810008391451,ok,0.0164582905515834,0.7108392913907285
Fused-UKF,26,0.5917436342983057,ok,0.0735746319132983,0.6653182662116041
NN-UKF,25,0.6943810008391451,ok,0.0870129705894263,0.7813939714285715
Fused-UKF,25,0.6943810008391451,ok,0.1343584254966794,0.5600225753424657
Bekker-UKF,26,0.5917436342983057,ok,0.057873371672043,0.5338702626262626
NN-UKF,26,0.5917436342983057,ok,0.0750158009649724,0.5204696468646866
MLP,26,0.5917436342983057,ok,0.0617315687473797,0.6354685212765957
MLP,27,0.7722161252215176,ok,0.2431746096935674,0.5290415155279502
Bekker-UKF,27,0.7722161252215176,ok,0.1029138073407228,0.7096820198675495
Fused-UKF,27,0.7722161252215176,ok,0.1860074276270158,0.5862086975945018
NN-UKF,27,0.7722161252215176,ok,0.0067200715302424,0.7654960536912752
MLP,28,0.7276468935702456,ok,0.1720187348400867,0.5556281587301588
NN-UKF,28,0.7276468935702456,ok,0.1153180551477031,0.7056399999999999
Bekker-UKF,28,0.7276468935702456,ok,0.1541373401111259,0.5688957096774193
MLP,29,1.0509693081422882,ok,0.0261985106077118,1.07716781875
Fused-UKF,28,0.7276468935702456,ok,0.2067755705461905,0.520871323024055
NN-UKF,29,1.0509693081422882,ok,0.1004574588272196,0.9377603333333333
Bekker-UKF,29,1.0509693081422882,ok,0.512831968856574,0.5971379716312057
Fused-UKF,29,1.0509693081422882,ok,0.0040591276685226,1.0550284358108108
MLP,30,1.0389883937552171,ok,0.0656579327753952,1.127228643153527
Bekker-UKF,30,1.0389883937552171,ok,0.3855203163358622,0.5560286701030928
Fused-UKF,30,1.0389883937552171,ok,0.0429502626550393,1.0819386564102564
NN-UKF,30,1.0389883937552171,ok,0.0718262537552173,1.0013868148148146
MLP,31,0.8805644672451722,ok,0.0552114904111953,0.8253529768339769
Bekker-UKF,31,0.8805644672451722,ok,0.3578433813556015,0.5224154832214766
NN-UKF,31,0.8805644672451722,ok,0.3405617628426566,0.5400027044025156
MLP,32,1.0644313074505345,ok,0.0949752826827325,0.9694560247678019
Fused-UKF,31,0.8805644672451722,ok,0.1611140661462711,0.7194504010989011
NN-UKF,32,1.0644313074505345,ok,0.1737196461602117,0.8907116612903228
Fused-UKF,32,1.0644313074505345,ok,0.1209147750273264,0.9435165324232081
Bekker-UKF,32,1.0644313074505345,ok,0.4748675590228617,0.5629595217391304
Bekker-UKF,33,0.9496899625728475,ok,0.4193870035085202,0.521768018018018
NN-UKF,33,0.9496899625728475,ok,0.350671399121071,0.5558475906735751
MLP,33,0.9496899625728475,ok,0.3129049906981804,1.262594953271028
Fused-UKF,33,0.9496899625728475,ok,0.1503035548016695,1.0999935173745172
MLP,34,0.8340104029254944,ok,0.2477696404254945,0.6144092350993378
Bekker-UKF,34,0.8340104029254944,ok,0.2779532436898255,0.560289111111111
Fused-UKF,34,0.8340104029254944,ok,0.217135406588498,0.6168749963369964
NN-UKF,34,0.8340104029254944,ok,0.3134756205420748,0.5255417391304348
MLP,35,0.9807465034316648,ok,0.4879252000260921,0.49091145723684204
NN-UKF,35,0.9807465034316648,ok,0.0096057900766162,0.9915998260869564
Bekker-UKF,35,0.9807465034316648,ok,0.2259238322907252,0.7202652671232876
NN-UKF,36,0.7915479682527407,ok,0.2798034603663053,0.5127190638977636
Fused-UKF,35,0.9807465034316648,ok,0.4410797260465058,0.5396667773851591
Bekker-UKF,36,0.7915479682527407,ok,0.2307314182527408,0.5608165499999999
MLP,36,0.7915479682527407,ok,0.1880658688513315,1.0321153489932886
Fused-UKF,36,0.7915479682527407,ok,0.2407434727729005,1.0322914410256412
MLP,37,0.5905716527290747,ok,0.0925307586633303,0.6467147278688525
MLP,38,0.9808011146524058,ok,0.3038872843374931,1.284688398989899
Fused-UKF,37,0.5905716527290747,ok,0.001402104027682,0.5919737567567568
NN-UKF,37,0.5905716527290747,ok,0.0796472011161716,0.52652335
Bekker-UKF,37,0.5905716527290747,ok,0.0761023275757005,0.5134079250000001
NN-UKF,38,0.9808011146524058,ok,0.4190391629282679,0.5752286205787781
Bekker-UKF,38,0.9808011146524058,ok,0.4537366790695837,0.5316653269230769
Fused-UKF,38,0.9808011146524058,ok,0.1191987897844539,1.0999999044368598
MLP,39,0.7683119513433054,ok,0.0827687875101975,0.6362720673575128
Fused-UKF,39,0.7683119513433054,ok,0.0620577926131464,0.706254158730159
NN-UKF,39,0.7683119513433054,ok,0.039229221245527,0.8075411725888325
Bekker-UKF,39,0.7683119513433054,ok,0.1985604874257797,0.5726307373737374
MLP,40,0.6472536841994752,ok,0.0178514349227818,0.6392959178082191
Bekker-UKF,40,0.6472536841994752,ok,0.1288064853690658,0.5144467185628742
MLP,42,0.8499845444085445,ok,0.151357057581505,1.0332757053291537
Fused-UKF,40,0.6472536841994752,ok,0.016644312110488,0.6638979963099632
NN-UKF,40,0.6472536841994752,ok,0.1320039643297682,0.517439385620915
MLP,41,0.5667169022295997,ok,0.0161246553941566,0.550592246835443
Bekker-UKF,41,0.5667169022295997,ok,0.0484300241808192,0.5182868780487805
NN-UKF,41,0.5667169022295997,ok,0.0294422589174977,0.5375254031746033
Fused-UKF,42,0.8499845444085445,ok,0.1252594555914554,0.975244
Bekker-UKF,42,0.8499845444085445,ok,0.3154273897693692,0.5345571546391753
NN-UKF,42,0.8499845444085445,ok,0.1315736056330344,0.7184109387755101
Fused-UKF,41,0.5667169022295997,ok,0.027859782037292,0.5388571201923077
MLP,43,1.0188086417368645,ok,0.4984036965755739,0.6154181624999999
NN-UKF,43,1.0188086417368645,ok,0.4687940190953549,0.5305878823529412
Bekker-UKF,43,1.0188086417368645,ok,0.4749340595450835,0.5438745821917808
MLP,44,0.8305674807288675,ok,0.3042727050878417,0.5262947756410258
MLP,45,0.5557376634183382,ok,0.0132076876901827,0.5380107823834197
Bekker-UKF,44,0.8305674807288675,ok,0.1786072355675771,0.6501783599999998
Fused-UKF,43,1.0188086417368645,ok,0.4311263193324927,0.5876823224043716
NN-UKF,45,0.5557376634183382,ok,0.1280298060350381,0.6837674694533763
NN-UKF,44,0.8305674807288675,ok,0.1336160666395535,0.964183547368421
Fused-UKF,45,0.5557376634183382,ok,0.0119285678551982,0.5438090955631399
Bekker-UKF,45,0.5557376634183382,ok,0.0899643365816618,0.6459428888888888
Fused-UKF,44,0.8305674807288675,ok,0.2479743502940847,0.5825931304347828
MLP,46,0.983473456315846,ok,0.1137986333851506,1.1012831864951766
Bekker-UKF,46,0.983473456315846,ok,0.3862565530900396,0.6356377272727273
MLP,47,0.7548853185214938,ok,0.0932246262138014,0.6616606923076923
Fused-UKF,46,0.983473456315846,ok,0.1023239688542221,1.0857974251700682
NN-UKF,46,0.983473456315846,ok,0.1328878938158459,0.9316099838709676
Bekker-UKF,47,0.7548853185214938,ok,0.2091132697410058,0.5771845789473684
Fused-UKF,47,0.7548853185214938,ok,0.163624540743716,0.5912607777777777
NN-UKF,47,0.7548853185214938,ok,0.2302576207021791,0.5094708198198198
Bekker-UKF,48,0.8737320635083563,ok,0.3325897982022339,0.5411422653061224
MLP,48,0.8737320635083563,ok,0.0259814791333564,0.638284282051282
NN-UKF,48,0.8737320635083563,ok,0.0952350051190947,0.9382414935897437
Fused-UKF,48,0.8737320635083563,ok,0.2761507418523053,0.5975813216560509
MLP,49,0.6842768691898067,ok,0.1146039121345919,0.5696729570552147
NN-UKF,49,0.6842768691898067,ok,0.1166217494487064,0.5429128289473685
Bekker-UKF,49,0.6842768691898067,ok,0.1066543326044406,0.5804180185185186
MLP,50,1.07834595019886,ok,0.4528994884154206,0.6738922666666667
Fused-UKF,49,0.6842768691898067,ok,0.087807968846164,0.5964689003436426
Bekker-UKF,50,1.07834595019886,ok,0.46036912741405,0.6076134150943394
MLP,51,0.9445291344478094,ok,0.503232911517873,0.4274015431309904
NN-UKF,50,1.07834595019886,ok,0.3325787425864034,0.6173218414239483
Fused-UKF,50,1.07834595019886,ok,0.4029209015502114,0.6754250486486487
NN-UKF,51,0.9445291344478094,ok,0.0581499424752675,0.9937102286689422
Bekker-UKF,51,0.9445291344478094,ok,0.2483992097166267,0.6961299247311826
Fused-UKF,51,0.9445291344478094,ok,0.4445188961300523,0.500010238317757
MLP,52,0.7185345421527263,ok,0.0566159561654652,0.661918585987261
Fused-UKF,52,0.7185345421527263,ok,0.0468755629320194,0.7654101050847457
Bekker-UKF,52,0.7185345421527263,ok,0.1440665482133324,0.5819697922077922
MLP,53,0.6186460569621997,ok,0.090088166405498,0.6526555096153845
Bekker-UKF,53,0.6186460569621997,ok,0.0982545475282373,0.5162760943396227
NN-UKF,52,0.7185345421527263,ok,0.1621877632053578,0.5620600366492148
Fused-UKF,53,0.6186460569621997,ok,0.0107199589229838,0.6079260980392158
MLP,54,1.063590893661146,ok,0.2011226917684014,0.8624682018927445
Bekker-UKF,54,1.063590893661146,ok,0.4843818108585981,0.5479197378640777
NN-UKF,54,1.063590893661146,ok,0.37394171773522,0.689649175925926
NN-UKF,53,0.6186460569621997,ok,0.0886969741596519,0.5122505954692557
Fused-UKF,54,1.063590893661146,ok,0.3135469486062011,0.7500439450549449
MLP,55,0.5878737450913547,ok,0.0687438275655815,0.46246374074074076
Fused-UKF,55,0.5878737450913547,ok,0.0028901618853893,0.5907639069767441
Bekker-UKF,55,0.5878737450913547,ok,0.0067184141443141,0.5945921592356689
Bekker-UKF,56,1.0201478279404308,ok,0.4929347279404308,0.5272131
NN-UKF,55,0.5878737450913547,ok,0.0050361674516031,0.6104979285714285
Fused-UKF,56,1.0201478279404308,ok,0.0798516976568386,1.0999995255972694
MLP,56,1.0201478279404308,ok,0.193785275507845,1.2094404102564102
NN-UKF,57,0.9558947583613068,ok,0.0067255574043688,0.9533132577319587
Bekker-UKF,57,0.9558947583613068,ok,0.3536322583613066,0.6022625
MLP,57,0.9558947583613068,ok,0.444983177615965,0.5109115807453416
Fused-UKF,57,0.9558947583613068,ok,0.3945920151919078,0.5613027431693989
NN-UKF,56,1.0201478279404308,ok,0.4456736179090829,0.5744742100313479
MLP,58,0.6598114968719826,ok,0.0977513248974603,0.5620601719745223
NN-UKF,58,0.6598114968719826,ok,0.038925882222301,0.6208856146496815
Fused-UKF,58,0.6598114968719826,ok,0.0764743324884209,0.5833371643835616
