backend,clay,dirt,sand,ALL,rms_cte,N
MLP(deployed),0.07831486037887038,0.07751164395030018,0.03650891418844145,0.06411180617253734,,18
NN-UKF(live),0.043720223454959996,0.06542532181955608,0.4426747005374392,0.1687203984902525,,17
Bekker-UKF(live),0.049108932095614545,0.037240604033757584,0.4422223678344638,0.176190634654612,,18
Fused(regime),0.04608690161506429,0.05295150699943454,0.03778547159716339,0.04560796007055407,,18
