time,control_delay_s,manual_delay_s,camera_delay_s
0.000000,0.013983,0.013983,0.028275
0.051000,0.011855,0.011855,0.025190
0.102000,0.011780,0.011780,0.025080
0.153000,0.012594,0.012594,0.026261
0.204000,0.016835,0.016835,0.032411
0.255000,0.014422,0.014422,0.028912
0.306000,0.013656,0.013656,0.027801
0.357000,0.012021,0.012021,0.025430
0.408000,0.012320,0.012320,0.025864
0.459000,0.013438,0.013438,0.027485
0.510000,0.011714,0.011714,0.024986
0.561000,0.010500,0.010500,0.023225
0.612000,0.017811,0.017811,0.033826
0.663000,0.014865,0.014865,0.029555
0.714000,0.011542,0.011542,0.024736
0.765000,0.014957,0.014957,0.029687
0.816000,0.013017,0.013017,0.026874
0.867000,0.013095,0.013095,0.026988
0.918000,0.009989,0.009989,0.022484
0.969000,0.015624,0.015624,0.030655
1.020000,0.006710,0.006710,0.017729
1.071000,0.013164,0.013164,0.027087
1.122000,0.011508,0.011508,0.024687
1.173000,0.014137,0.014137,0.028499
1.224000,0.014385,0.014385,0.028859
1.275000,0.013764,0.013764,0.027958
1.326000,0.009756,0.009756,0.022146
1.377000,0.010787,0.010787,0.023642
1.428000,0.009090,0.009090,0.021181
1.479000,0.011928,0.011928,0.025295
1.530000,0.014799,0.014799,0.029458
1.581000,0.012431,0.012431,0.026025
1.632000,0.011977,0.011977,0.025367
1.683000,0.013716,0.013716,0.027888
1.734000,0.012474,0.012474,0.026087
1.785000,0.009926,0.009926,0.022392
1.836000,0.010821,0.010821,0.023690
1.887000,0.010648,0.010648,0.023439
1.938000,0.010392,0.010392,0.023068
1.989000,0.012138,0.012138,0.025601
2.040000,0.007058,0.007058,0.018233
2.091000,0.010431,0.010431,0.023125
2.142000,0.016389,0.016389,0.031764
2.193000,0.011649,0.011649,0.024891
2.244000,0.014938,0.014938,0.029660
2.295000,0.013306,0.013306,0.027294
2.346000,0.016119,0.016119,0.031372
2.397000,0.013301,0.013301,0.027287
2.448000,0.012564,0.012564,0.026218
2.499000,0.012889,0.012889,0.026689
2.550000,0.010459,0.010459,0.023166
2.601000,0.013370,0.013370,0.027386
2.652000,0.013004,0.013004,0.026856
2.703000,0.013982,0.013982,0.028274
2.754000,0.016215,0.016215,0.031511
2.805000,0.011879,0.011879,0.025225
2.856000,0.011705,0.011705,0.024972
2.907000,0.013664,0.013664,0.027813
2.958000,0.010570,0.010570,0.023326
3.009000,0.010388,0.010388,0.023063
3.060000,0.011854,0.011854,0.025188
3.111000,0.012107,0.012107,0.025555
3.162000,0.015644,0.015644,0.030683
3.213000,0.010403,0.010403,0.023084
3.264000,0.013485,0.013485,0.027554
3.315000,0.015312,0.015312,0.030203
3.366000,0.010957,0.010957,0.023888
3.417000,0.013786,0.013786,0.027989
3.468000,0.013026,0.013026,0.026887
3.519000,0.016044,0.016044,0.031264
3.570000,0.013589,0.013589,0.027704
3.621000,0.016817,0.016817,0.032384
3.672000,0.012361,0.012361,0.025923
3.723000,0.450000,0.450000,0.660500
3.774000,0.013749,0.013749,0.027936
3.825000,0.016850,0.016850,0.032432
3.876000,0.007244,0.007244,0.018503
3.927000,0.010974,0.010974,0.023912
3.978000,0.450000,0.450000,0.660500
4.029000,0.013089,0.013089,0.026980
4.080000,0.012076,0.012076,0.025511
4.131000,0.010118,0.010118,0.022671
4.182000,0.016105,0.016105,0.031352
4.233000,0.011245,0.011245,0.024305
4.284000,0.012443,0.012443,0.026043
4.335000,0.015886,0.015886,0.031035
4.386000,0.013073,0.013073,0.026955
4.437000,0.014045,0.014045,0.028365
4.488000,0.013790,0.013790,0.027996
4.539000,0.008723,0.008723,0.020649
4.590000,0.009327,0.009327,0.021524
4.641000,0.010366,0.010366,0.023030
4.692000,0.010426,0.010426,0.023118
4.743000,0.014898,0.014898,0.029602
4.794000,0.010903,0.010903,0.023809
4.845000,0.011966,0.011966,0.025351
4.896000,0.014766,0.014766,0.029411
4.947000,0.011827,0.011827,0.025149
4.998000,0.013526,0.013526,0.027612
5.049000,0.013061,0.013061,0.026938
5.100000,0.011720,0.011720,0.024994
5.151000,0.013361,0.013361,0.027374
5.202000,0.015578,0.015578,0.030588
5.253000,0.013192,0.013192,0.027129
5.304000,0.012006,0.012006,0.025409
5.355000,0.014285,0.014285,0.028713
5.406000,0.012471,0.012471,0.026082
5.457000,0.013397,0.013397,0.027426
5.508000,0.010199,0.010199,0.022788
5.559000,0.012764,0.012764,0.026508
5.610000,0.014061,0.014061,0.028388
5.661000,0.016795,0.016795,0.032353
5.712000,0.011749,0.011749,0.025036
5.763000,0.011700,0.011700,0.024965
5.814000,0.015619,0.015619,0.030648
5.865000,0.009997,0.009997,0.022495
5.916000,0.013115,0.013115,0.027016
5.967000,0.013895,0.013895,0.028147
6.018000,0.014902,0.014902,0.029607
6.069000,0.015994,0.015994,0.031192
6.120000,0.017260,0.017260,0.033027
6.171000,0.011010,0.011010,0.023965
6.222000,0.012181,0.012181,0.025662
6.273000,0.008828,0.008828,0.020801
6.324000,0.013404,0.013404,0.027436
6.375000,0.015513,0.015513,0.030493
6.426000,0.015219,0.015219,0.030067
6.477000,0.450000,0.450000,0.660500
6.528000,0.019159,0.019159,0.035780
6.579000,0.013158,0.013158,0.027079
