variant,n_runs,n_ok,collisions_mean,collisions_std,near_misses_mean,near_misses_std,min_clearance_m_mean,min_clearance_m_std,intervention_rate_pct_mean,intervention_rate_pct_std,mean_abs_dsteer_mean,mean_abs_dsteer_std,mean_abs_dthrottle_mean,mean_abs_dthrottle_std,rt_factor_mean,rt_factor_std,rms_cte_m_mean,rms_cte_m_std
none_blind,1,1,0.0,,1.0,,0.0889000000000002,,,,,,,,1.0,,0.0715763600164328,
dob_cbf_blind,1,1,0.0,,1.0,,0.7247000000000003,,38.3,,,,,,1.0,,0.9670727782402543,
mppi_blind,1,1,0.0,,1.0,,0.05699999999999994,,42.0,,0.5234722222222223,,0.10533333333333333,,1.0,,0.6858387070627046,
nmpc_blind,1,1,1.0,,1.0,,-0.02519999999999989,,39.5,,0.8844705882352941,,0.24567647058823533,,0.92,,0.7270711367559266,
